Specimen_ID,Mix_ID,Target_Temperature_C,Cooling_Method,Surface_Color_Change,Color_Description,Crack_Density_per_cm2,Max_Crack_Width_mm,Crack_Pattern,Surface_Texture,Aggregate_Exposure,Rubber_Condition,Damage_Rating,Photo_ID,Test_Date,Operator,Notes
VDA-CTRL-200-FC-1,CTRL,200,Furnace_Cooling,Slight,Light_Pink,0.2,0.1,Random_Micro,Slightly_Rough,None,NA,1,IMG_001,2024-04-12,Tech_A,Minimal visible damage
VDA-CTRL-200-FC-2,CTRL,200,Furnace_Cooling,Slight,Light_Pink,0.3,0.1,Random_Micro,Slightly_Rough,None,NA,1,IMG_002,2024-04-12,Tech_A,Minimal visible damage
VDA-CTRL-400-FC-1,CTRL,400,Furnace_Cooling,Moderate,Pink_Red,1.5,0.5,Network,Rough,Slight,NA,3,IMG_003,2024-04-12,Tech_A,Visible microcracking
VDA-CTRL-400-FC-2,CTRL,400,Furnace_Cooling,Moderate,Pink_Red,1.7,0.6,Network,Rough,Slight,NA,3,IMG_004,2024-04-12,Tech_A,Visible microcracking
VDA-CTRL-400-WQ-1,CTRL,400,Water_Quench,Moderate,Pink_Red,3.2,1.2,Radial,Very_Rough,Moderate,NA,4,IMG_005,2024-04-12,Tech_A,Thermal shock cracking
VDA-CTRL-400-WQ-2,CTRL,400,Water_Quench,Moderate,Pink_Red,3.5,1.4,Radial,Very_Rough,Moderate,NA,4,IMG_006,2024-04-12,Tech_A,Thermal shock cracking
VDA-CTRL-600-FC-1,CTRL,600,Furnace_Cooling,Severe,Gray_Brown,5.8,2.5,Interconnected,Very_Rough,Extensive,NA,5,IMG_007,2024-04-13,Tech_B,Significant deterioration
VDA-CTRL-600-FC-2,CTRL,600,Furnace_Cooling,Severe,Gray_Brown,6.1,2.8,Interconnected,Very_Rough,Extensive,NA,5,IMG_008,2024-04-13,Tech_B,Significant deterioration
VDA-CTRL-600-WQ-1,CTRL,600,Water_Quench,Severe,Gray_Brown,12.5,5.2,Explosive,Spalled,Complete,NA,7,IMG_009,2024-04-13,Tech_B,Explosive spalling damage
VDA-CTRL-600-WQ-2,CTRL,600,Water_Quench,Severe,Gray_Brown,13.2,5.8,Explosive,Spalled,Complete,NA,7,IMG_010,2024-04-13,Tech_B,Explosive spalling damage
VDA-CTRL-800-FC-1,CTRL,800,Furnace_Cooling,Complete,White_Gray,15.2,8.5,Continuous,Severely_Spalled,Complete,NA,8,IMG_011,2024-04-14,Tech_A,Structural failure
VDA-CTRL-800-FC-2,CTRL,800,Furnace_Cooling,Complete,White_Gray,16.8,9.2,Continuous,Severely_Spalled,Complete,NA,8,IMG_012,2024-04-14,Tech_A,Structural failure
VDA-CTRL-800-WQ-1,CTRL,800,Water_Quench,Complete,White_Gray,25.5,15.2,Catastrophic,Destroyed,Complete,NA,10,IMG_013,2024-04-14,Tech_A,Complete failure
VDA-CTRL-800-WQ-2,CTRL,800,Water_Quench,Complete,White_Gray,28.2,16.8,Catastrophic,Destroyed,Complete,NA,10,IMG_014,2024-04-14,Tech_A,Complete failure
