Specimen_ID,Mix_ID,Curing_Age_days,Test_Type,Test_Date,Compressive_Strength_MPa,Tensile_Strength_MPa,Flexural_Strength_MPa,Modulus_of_Elasticity_MPa,Dry_Density_kgm3,UPV_mps,Porosity_pct,Moisture_Content_pct
C-7-A-1,C,7,Ambient,2024-06-21,49.96074074796488,4.8345576919074285,7.166940390897759,30520.749360339825,2394.38031900664,4637.072687076722,12.0,4.439819704323988
C-7-A-2,C,7,Ambient,2024-12-25,50.62062215231022,4.737678742114027,7.192493576450443,30395.6464518673,2388.822485914314,4458.292407646878,12.0,3.082458280396084
C-7-A-3,C,7,Ambient,2024-09-03,46.28122414418485,4.966917344784118,7.366270100456595,28669.45135012976,2435.175570454117,4372.892666879824,12.0,4.219880813472641
C-28-A-1,C,28,Ambient,2024-12-08,60.369568394806265,6.2952020880592965,9.810691264573888,37677.87977990289,2426.8661666774838,4317.595234584292,12.0,2.568777042230437
C-28-A-2,C,28,Ambient,2024-08-14,64.25428602504614,6.651846076169888,10.573262192979419,33228.833240508306,2466.679512997259,4598.27930379219,12.0,2.8919657248382906
C-28-A-3,C,28,Ambient,2024-12-28,67.86572337658298,6.454897169868587,9.459342562377874,34578.454826174995,2382.723738998527,4366.933020866932,12.0,3.585392166316497
C-56-A-1,C,56,Ambient,2024-07-09,69.35593654555974,6.540312447956766,10.267283393604425,34733.35538356309,2424.7439885399026,4555.050865995678,12.0,3.746596253655116
C-56-A-2,C,56,Ambient,2024-11-03,67.19481276740773,6.502515708657547,10.150033207271932,35434.87898132407,2371.291041022064,4400.429852339457,12.0,3.444429850323899
C-56-A-3,C,56,Ambient,2024-10-28,69.48408293547506,6.435855394575122,10.409019615327056,36216.07292466601,2399.140175061361,4638.4232909819375,12.0,2.715782853986609
R5S-7-A-1,R5S,7,Ambient,2024-11-04,44.506816603102045,4.297327573003091,6.375191204958304,26874.680002693134,2313.093373615419,4357.983187558589,13.553566885726761,4.385707141115962
R5S-7-A-2,R5S,7,Ambient,2024-04-11,46.21899256734219,4.486287534244124,6.623050467245378,27518.848459262383,2345.596400390603,4428.006843382853,13.277636362971164,3.148690042010548
R5S-7-A-3,R5S,7,Ambient,2024-06-08,42.2608384340391,4.190964140489193,5.862302836532148,26262.581316977816,2370.878552523919,4327.537922527339,13.34713908219479,3.568178838750884
R5S-28-A-1,R5S,28,Ambient,2024-01-26,62.54357950128734,5.64755893152948,8.229977958911512,30839.05635148175,2348.5983047814693,4278.890188504314,13.18626004954691,4.4248945898842225
