Specimen_ID,Mix_ID,Peak_Temperature_C,Heating_Rate,Cooling_Method,Test_Type,Exposure_Duration_hours,Mass_Loss_pct,UPV_mps,Residual_Compressive_Strength_MPa,Residual_Elastic_Modulus_MPa,Strength_Retention_pct,Spalling_Occurred,Spalling_Depth_mm,Visual_Cracking_Rating,Color_Change,Test_Date
C-28-R-23-F-5-1,C,23,5_C_per_min,Furnace,Residual,2,0.0,4455.101716192451,58.332682067163375,32959.18585295392,101.28716254737779,False,0.0,None,No change,2024-12-26
C-28-R-23-F-5-2,C,23,5_C_per_min,Furnace,Residual,2,0.0,4519.0191781221965,63.22147909457308,34121.55718673781,101.5768690515837,False,0.0,None,No change,2024-06-15
C-28-R-23-F-5-3,C,23,5_C_per_min,Furnace,Residual,2,0.0,4327.892397546777,62.24647949318754,32946.28510564949,100.04662805418904,False,0.0,Minor,No change,2024-08-22
C-28-R-23-Q-5-1,C,23,5_C_per_min,Quench,Residual,2,0.0,4473.744465120001,64.46153126208222,38003.273654126235,98.94446613246963,False,0.0,None,No change,2024-03-07
C-28-R-23-Q-5-2,C,23,5_C_per_min,Quench,Residual,2,0.0,4162.253628847273,67.08360409375051,36891.258837556175,100.74866202161333,False,0.0,None,No change,2024-07-05
C-28-R-23-Q-5-3,C,23,5_C_per_min,Quench,Residual,2,0.0,4240.29331831257,69.37644439733869,35045.32168003277,98.72913551390383,False,0.0,None,No change,2024-04-25
C-28-R-200-F-5-1,C,200,5_C_per_min,Furnace,Residual,2,1.4601641408823847,4499.258417926346,69.58026507776407,36540.69701087345,100.0,False,0.0,None,No change,2024-02-15
C-28-R-200-F-5-2,C,200,5_C_per_min,Furnace,Residual,2,1.5379089296324138,4349.609557131765,61.90205829067926,38499.35388092159,100.0,False,0.0,None,No change,2024-10-02
C-28-R-200-F-5-3,C,200,5_C_per_min,Furnace,Residual,2,1.679452505434368,4456.293437647342,64.105561509855,31706.041099750055,100.0,False,0.0,None,No change,2024-05-06
C-28-R-200-Q-5-1,C,200,5_C_per_min,Quench,Residual,2,1.9003572199881835,3737.7361885580426,53.63887310593928,24284.738377719827,85.0,False,0.0,None,No change,2024-06-17
C-28-R-200-Q-5-2,C,200,5_C_per_min,Quench,Residual,2,1.8596758629713483,3865.130402118473,62.3711909741947,28003.62686681987,85.0,False,0.0,None,No change,2024-10-19
C-28-R-200-Q-5-3,C,200,5_C_per_min,Quench,Residual,2,1.872742433223051,3559.6202170757597,52.659124691956116,28964.08914903604,85.0,False,0.0,None,No change,2024-01-26
C-28-R-400-F-5-1,C,400,5_C_per_min,Furnace,Residual,2,3.4445607035548877,2263.9353594412346,34.68708414902219,16298.060289822446,55.00000000000001,False,0.0,Moderate,Light gray to pink,2024-03-01
C-28-R-400-F-5-2,C,400,5_C_per_min,Furnace,Residual,2,3.839042610189743,2487.174010233538,33.17810165867028,14089.472255508897,55.00000000000001,False,0.0,Moderate,Light gray to pink,2024-08-02
C-28-R-400-F-5-3,C,400,5_C_per_min,Furnace,Residual,2,3.1317737193903477,2280.762622818878,42.03681360354113,15577.556338299968,55.00000000000001,False,0.0,Severe,Light gray to pink,2024-12-12
