Specimen_ID,Mix_ID,Test_Temperature_C,Test_Type,InSitu_Compressive_Strength_MPa,InSitu_Modulus_of_Elasticity_MPa,Peak_Strain,Ultimate_Strain,Toughness_MPa,Poissons_Ratio,Thermal_Strain_pct,Test_Duration_min
C-28-IS-23-1,C,23,In-Situ,59.3337239779784,34064.7077192912,0.0018083333333333337,0.035805000000000003,0.8566017907778828,0.19540000000000002,0.0028592179785735653,15.22026921223817
C-28-IS-23-2,C,23,In-Situ,61.02937470036425,35709.08070349791,0.0018083333333333337,0.035805000000000003,0.8788941553917016,0.19540000000000002,0.0034695515797586625,17.672526297935953
C-28-IS-200-1,C,200,In-Situ,59.06921994643359,29284.80026895499,0.003393939393939394,0.042,1.0994610477225233,0.16,0.18550825916432212,23.354078308421258
C-28-IS-200-2,C,200,In-Situ,65.45513835639372,28902.70758541551,0.0025454545454545456,0.042,1.2206936540845892,0.16,0.19696028672695248,15.308579043080725
C-28-IS-400-1,C,400,In-Situ,50.284393456798654,18046.502645694283,0.0034646464646464646,0.049,1.1701932712269962,0.12000000000000001,0.40455930003733576,19.98040393056869
C-28-IS-400-2,C,400,In-Situ,44.35744773269839,18370.803938408495,0.0034646464646464646,0.049,1.0218611395799868,0.12000000000000001,0.3465055228785932,20.821438075777984
C-28-IS-600-1,C,600,In-Situ,22.05650649412039,6889.927611562375,0.004525252525252526,0.05600000000000001,0.6143095171401265,0.1,0.5071905052902027,20.99771314970498
C-28-IS-600-2,C,600,In-Situ,23.01223279868096,7430.05252930276,0.00395959595959596,0.05600000000000001,0.6381815679535183,0.1,0.553136278441778,24.102130348677566
R10S-28-IS-23-1,R10S,23,In-Situ,51.33420878842033,27118.329626313607,0.0027125,0.044756250000000004,1.0607856927799078,0.19540000000000002,0.0032899089235638554,19.065567838081044
R10S-28-IS-23-2,R10S,23,In-Situ,53.894474735091656,27245.809698638444,0.0027125,0.044756250000000004,1.1225609185960164,0.19540000000000002,0.00353931582598215,17.730406193278068
R10S-28-IS-200-1,R10S,200,In-Situ,45.47466894481014,22810.71162710273,0.0031818181818181824,0.052500000000000005,1.1938537223095178,0.16,0.196731591437029,22.500284121421913
R10S-28-IS-200-2,R10S,200,In-Situ,49.069657502179275,27439.242172740265,0.0037121212121212126,0.052500000000000005,1.2791880353689875,0.16,0.21613844783909378,19.843911856008493
R10S-28-IS-400-1,R10S,400,In-Situ,42.53208819555053,17296.554694748753,0.004949494949494949,0.06125,1.3779592606100397,0.12000000000000001,0.4111919035425519,15.424699092565332
R10S-28-IS-400-2,R10S,400,In-Situ,38.063476666968675,16165.4210172126,0.004330808080808081,0.06125,1.2309619339343132,0.12000000000000001,0.4485291395559589,16.625379874687077
R10S-28-IS-600-1,R10S,600,In-Situ,18.903207364876767,5689.576796115656,0.006363636363636365,0.07,0.7287280656267765,0.1,0.6413379233510743,24.631590270650666
R10S-28-IS-600-2,R10S,600,In-Situ,19.833690152839328,5654.795499799148,0.00494949494949495,0.07,0.7672714791151626,0.1,0.6182759868354544,18.088022753496155
R20S-28-IS-23-1,R20S,23,In-Situ,31.13946793216009,20877.088486842586,0.0037975,0.053707500000000005,0.8501287881401274,0.19540000000000002,0.003873272542339823,21.296283449385925
R20S-28-IS-23-2,R20S,23,In-Situ,31.119683364552984,22160.37482156899,0.003255,0.053707500000000005,0.8446193165165864,0.19540000000000002,0.003603723845700874,24.525167896845986
R20S-28-IS-200-1,R20S,200,In-Situ,31.124738125261718,21629.25577081245,0.0038181818181818187,0.063,1.0700252961817374,0.16,0.24023714897496104,22.96300663415132
R20S-28-IS-200-2,R20S,200,In-Situ,29.791189036749966,20298.100614629486,0.005090909090909091,0.063,1.0224668582581444,0.16,0.20641265963029432,15.409339443743454
R20S-28-IS-400-1,R20S,400,In-Situ,27.95356183946807,12396.82030731338,0.0059393939393939405,0.07350000000000001,1.1790526180947745,0.12000000000000001,0.48654613833699495,24.97518131172675
R20S-28-IS-400-2,R20S,400,In-Situ,28.076131600786187,12121.605029939361,0.005196969696969698,0.07350000000000001,1.1876446868269734,0.12000000000000001,0.5057415136542117,22.128823693447366
R20S-28-IS-600-1,R20S,600,In-Situ,11.59863617187274,4467.717298968477,0.00678787878787879,0.08400000000000002,0.5793277047019598,0.1,0.6198933233354567,17.324040462144133
R20S-28-IS-600-2,R20S,600,In-Situ,13.370476227028348,4453.4728179386175,0.008484848484848487,0.08400000000000002,0.6664628661428302,0.1,0.7727253292786738,15.570943379079438
