firm_id,country,country_name,segment,founding_year,initial_funding_stage,regulatory_strictness,mobile_penetration,base_scale
FIRM_001,CM,Cameroon,payments_gateway,2013,seed,0.6,0.5,4.474529764167828
FIRM_002,ET,Ethiopia,wealth_investing,2013,seed,0.7,0.35,0.8074156849895986
FIRM_003,ZW,Zimbabwe,mobile_money,2017,seed,0.7,0.4,15.19922939417622
FIRM_004,ZM,Zambia,mobile_money,2015,seed,0.6,0.5,6.149429890203004
FIRM_005,ZA,South Africa,payments_gateway,2011,seed,0.65,0.8,0.49343674659323267
FIRM_006,ZA,South Africa,digital_lending,2011,seed,0.65,0.8,1.7261463748763517
FIRM_007,KE,Kenya,payments_gateway,2011,seed,0.5,0.75,1.0562747761890965
FIRM_008,CM,Cameroon,digital_lending,2011,series_a,0.6,0.5,1.2903175150307036
FIRM_009,ET,Ethiopia,payments_gateway,2018,seed,0.7,0.35,6.103268091504421
FIRM_010,CI,Cote d'Ivoire,wealth_investing,2018,series_a,0.55,0.55,0.633322559422337
FIRM_011,NG,Nigeria,savings_wallet,2010,series_c_plus,0.55,0.55,0.05613213171335502
FIRM_012,NG,Nigeria,payments_gateway,2016,seed,0.55,0.55,7.7403629492046875
FIRM_013,SN,Senegal,mobile_money,2017,series_b,0.55,0.55,7.368907856822088
FIRM_014,TZ,Tanzania,mobile_money,2017,series_c_plus,0.6,0.55,22.843286025137242
FIRM_015,TZ,Tanzania,mobile_money,2017,seed,0.6,0.55,20.68976310769802
FIRM_016,SN,Senegal,payments_gateway,2020,series_c_plus,0.55,0.55,0.22357356927867675
FIRM_017,ZA,South Africa,insuretech,2012,series_a,0.65,0.8,0.18537099911826105
FIRM_018,NG,Nigeria,mobile_money,2010,series_c_plus,0.55,0.55,1.938391563076794
FIRM_019,GH,Ghana,wealth_investing,2021,series_a,0.55,0.6,0.41464952331353977
FIRM_020,UG,Uganda,insuretech,2017,series_a,0.6,0.55,0.18353959773335413
FIRM_021,ZA,South Africa,mobile_money,2019,series_a,0.65,0.8,0.34736313594317425
FIRM_022,NG,Nigeria,digital_lending,2011,series_a,0.55,0.55,1.3541801891152105
FIRM_023,NG,Nigeria,wealth_investing,2016,series_a,0.55,0.55,1.4634655456350858
FIRM_024,ZM,Zambia,payments_gateway,2024,seed,0.6,0.5,1.131648124060401
FIRM_025,ZW,Zimbabwe,insuretech,2023,seed,0.7,0.4,0.1843492445013696
FIRM_026,KE,Kenya,payments_gateway,2021,series_a,0.5,0.75,2.023485233321207
FIRM_027,CM,Cameroon,digital_lending,2018,series_a,0.6,0.5,1.6713876867382358
FIRM_028,ET,Ethiopia,insuretech,2023,series_a,0.7,0.35,0.15785032320756576
FIRM_029,SN,Senegal,mobile_money,2015,series_c_plus,0.55,0.55,8.805824496307105
FIRM_030,ZM,Zambia,digital_lending,2019,series_b,0.6,0.5,0.02931566274589271
FIRM_031,CI,Cote d'Ivoire,digital_lending,2020,series_b,0.55,0.55,0.12099609164227433
FIRM_032,RW,Rwanda,payments_gateway,2020,series_a,0.5,0.65,3.5821455882070703
FIRM_033,NG,Nigeria,digital_lending,2011,series_a,0.55,0.55,1.2129141967026
FIRM_034,NG,Nigeria,payments_gateway,2023,seed,0.55,0.55,1.7907646728971556
FIRM_035,ZW,Zimbabwe,mobile_money,2010,seed,0.7,0.4,2.818491372621356
FIRM_036,BW,Botswana,digital_lending,2014,series_b,0.5,0.55,2.1634417677892364
FIRM_037,ZM,Zambia,digital_lending,2020,seed,0.6,0.5,0.057030667487468635
FIRM_038,CI,Cote d'Ivoire,payments_gateway,2011,seed,0.55,0.55,1.7642776964871485
FIRM_039,CM,Cameroon,payments_gateway,2017,series_a,0.6,0.5,1.6443642352138474
FIRM_040,TZ,Tanzania,digital_lending,2023,seed,0.6,0.55,0.18877192326117595
FIRM_041,KE,Kenya,digital_lending,2020,series_a,0.5,0.75,0.9402605230468954
FIRM_042,RW,Rwanda,mobile_money,2018,series_a,0.5,0.65,7.9851060613214875
FIRM_043,CM,Cameroon,wealth_investing,2015,series_b,0.6,0.5,1.3255224895043145
FIRM_044,ZA,South Africa,payments_gateway,2013,series_b,0.65,0.8,0.21884961473844144
FIRM_045,NG,Nigeria,payments_gateway,2010,series_c_plus,0.55,0.55,2.209486902851583
FIRM_046,TZ,Tanzania,payments_gateway,2016,series_b,0.6,0.55,4.658129411473567
FIRM_047,ZM,Zambia,digital_lending,2017,series_a,0.6,0.5,0.3155368474454757
FIRM_048,GH,Ghana,digital_lending,2019,series_b,0.55,0.6,0.032524433549427294
FIRM_049,ET,Ethiopia,payments_gateway,2023,seed,0.7,0.35,2.374133897028653
FIRM_050,GH,Ghana,insuretech,2015,series_b,0.55,0.6,0.8154473636481577
FIRM_051,GH,Ghana,mobile_money,2017,series_b,0.55,0.6,0.6459262244451045
FIRM_052,TZ,Tanzania,payments_gateway,2011,series_b,0.6,0.55,3.5491408565162526
FIRM_053,NG,Nigeria,payments_gateway,2021,pre_seed,0.55,0.55,2.396955649377967
FIRM_054,ZA,South Africa,mobile_money,2020,series_a,0.65,0.8,26.36676175876579
FIRM_055,NG,Nigeria,wealth_investing,2024,bootstrapped,0.55,0.55,0.037176715355012685
FIRM_056,ZA,South Africa,payments_gateway,2018,seed,0.65,0.8,0.4028381508170946
FIRM_057,KE,Kenya,insuretech,2021,pre_seed,0.5,0.75,0.7950226220460181
FIRM_058,SN,Senegal,mobile_money,2023,seed,0.55,0.55,1.4968892800286382
FIRM_059,KE,Kenya,digital_lending,2018,seed,0.5,0.75,0.17279167268737122
