firm_id,date,country,segment,is_active,revenue_usd,net_income_usd,burn_rate_usd,active_users,transaction_volume_usd,transaction_count,agents_count,cac_usd,churn_rate,funding_round_amount_usd,funding_stage,cumulative_funding_usd,regulatory_sanction_flag,sanction_severity,downturn_flag,distress_event,distress_type,distress_event_t_plus_3m,distress_event_t_plus_6m
FIRM_001,2017-01-01,CM,payments_gateway,1,1004358.4435475755,375421.1020378573,-0.0,1559482,133949350.62746288,2551086,,3.062928372018956,0.05659469236028432,0.0,seed,610668.8498651793,0,0.0,0,0,none,0,0
FIRM_001,2017-02-01,CM,payments_gateway,1,1014009.1276256414,378555.71521131275,-0.0,1535863,125877956.80734599,2889626,,6.801587884784999,0.0636130828239728,0.0,seed,610668.8498651793,0,0.0,0,0,none,0,0
FIRM_001,2017-03-01,CM,payments_gateway,1,907783.5004297969,289199.13937692216,-0.0,1437377,115961060.91237286,2667534,,5.708334272909531,0.02925517991352644,0.0,seed,610668.8498651793,0,0.0,0,0,none,0,0
FIRM_001,2017-04-01,CM,payments_gateway,1,853609.5460275789,241651.04379394068,-0.0,1385761,108573357.3298944,2537482,,6.167144549417146,0.01887655189843272,0.0,seed,610668.8498651793,0,0.0,0,0,none,0,0
FIRM_001,2017-05-01,CM,payments_gateway,1,887693.3152515249,265066.082138804,-0.0,1297730,102090370.04238759,2225761,,2.5800964612434103,0.05718673222246708,1476664.7433621683,seed,2087333.5932273476,0,0.0,0,0,none,0,0
FIRM_001,2017-06-01,CM,payments_gateway,1,900433.2256434646,272035.7305561509,-0.0,1222405,92542010.46717559,2031998,,2.4577488785935606,0.07322353952092592,0.0,seed,2087333.5932273476,0,0.0,0,0,none,0,0
FIRM_001,2017-07-01,CM,payments_gateway,1,773089.7647876953,166652.69629143435,-0.0,1183502,105317487.28712375,2151871,,5.325536314994352,0.0635869357516603,0.0,seed,2087333.5932273476,0,0.0,0,0,none,0,0
FIRM_001,2017-08-01,CM,payments_gateway,1,684935.5545066952,94949.76076851285,-0.0,1116639,77126308.89535588,1658120,,2.1529123060550233,0.03398888075042361,0.0,seed,2087333.5932273476,0,0.0,0,0,none,0,1
FIRM_001,2017-09-01,CM,payments_gateway,1,837561.02798504,214936.27672928956,-0.0,1054655,91141847.24299143,1927161,,2.48267087866725,0.05348920928052959,0.0,seed,2087333.5932273476,0,0.0,0,0,none,0,0
FIRM_001,2017-10-01,CM,payments_gateway,1,645425.2492055327,60921.57913454028,-0.0,1000383,79888153.20942742,1711438,,7.678423949530118,0.07841174559315481,0.0,seed,2087333.5932273476,0,0.0,0,0,none,0,0
