country_code,country_name,year,digital_lending_regulation_dummy,open_banking_initiative_dummy,fintech_regulatory_sandbox_dummy,bank_npl_ratio,domestic_credit_private,regulatory_quality,bank_roa,bank_zscore
NGA,Nigeria,2010,0,0,0,11.99,38.24,0.005,1.43,8.25
NGA,Nigeria,2011,0,0,0,10.73,43.7,-0.147,1.38,7.16
NGA,Nigeria,2012,0,0,0,10.46,34.28,-0.393,1.77,8.79
NGA,Nigeria,2013,0,0,0,12.08,28.78,-0.412,0.54,9.18
NGA,Nigeria,2014,0,0,0,9.77,33.66,-0.582,1.66,7.06
NGA,Nigeria,2015,0,0,0,14.93,39.34,-0.585,1.39,5.44
NGA,Nigeria,2016,0,0,0,11.11,34.05,-0.225,1.56,11.22
NGA,Nigeria,2017,0,0,0,11.2,37.59,0.07,1.35,10.14
NGA,Nigeria,2018,0,0,1,12.57,45.51,-0.544,0.97,5.88
NGA,Nigeria,2019,0,1,1,13.22,35.56,-0.261,0.52,8.06
NGA,Nigeria,2020,1,1,1,14.48,42.42,-0.36,1.59,6.48
NGA,Nigeria,2021,1,1,1,10.24,41.5,-0.089,1.14,8.08
NGA,Nigeria,2022,1,1,1,14.09,46.22,-0.377,0.62,7.5
NGA,Nigeria,2023,1,1,1,12.25,50.55,-0.114,1.81,5.37
ZAF,South Africa,2010,0,0,0,4.32,66.66,0.395,2.05,14.95
ZAF,South Africa,2011,0,0,0,5.24,60.27,-0.039,2.11,15.64
ZAF,South Africa,2012,0,0,0,8.03,66.24,0.401,2.88,15.68
ZAF,South Africa,2013,0,0,0,7.32,69.21,0.508,1.88,17.35
ZAF,South Africa,2014,0,0,0,6.73,55.1,0.364,2.98,16.33
ZAF,South Africa,2015,0,0,0,7.17,69.46,-0.198,2.05,13.62
ZAF,South Africa,2016,0,0,1,6.76,77.19,0.096,2.38,18.97
ZAF,South Africa,2017,0,0,1,5.78,75.18,0.266,1.95,16.77
ZAF,South Africa,2018,0,1,1,6.54,71.89,0.394,2.46,17.7
ZAF,South Africa,2019,1,1,1,6.4,70.24,-0.093,2.04,14.24
ZAF,South Africa,2020,1,1,1,8.59,73.03,0.153,2.33,15.68
ZAF,South Africa,2021,1,1,1,5.37,72.09,0.04,1.99,17.18
ZAF,South Africa,2022,1,1,1,8.08,84.03,0.235,2.4,15.24
ZAF,South Africa,2023,1,1,1,9.12,65.81,0.195,2.16,17.0
KEN,Kenya,2010,0,0,0,6.12,34.04,-0.24,2.73,12.79
KEN,Kenya,2011,0,0,0,6.13,41.51,-0.15,0.92,12.19
KEN,Kenya,2012,0,0,0,7.98,43.61,-0.58,1.05,10.44
