country_code,country_name,year,bank_zscore
NGA,Nigeria,2010,8.25
NGA,Nigeria,2011,7.16
NGA,Nigeria,2012,8.79
NGA,Nigeria,2013,9.18
NGA,Nigeria,2014,7.06
NGA,Nigeria,2015,5.44
NGA,Nigeria,2016,11.22
NGA,Nigeria,2017,10.14
NGA,Nigeria,2018,5.88
NGA,Nigeria,2019,8.06
NGA,Nigeria,2020,6.48
NGA,Nigeria,2021,8.08
NGA,Nigeria,2022,7.5
NGA,Nigeria,2023,5.37
ZAF,South Africa,2010,14.95
ZAF,South Africa,2011,15.64
ZAF,South Africa,2012,15.68
ZAF,South Africa,2013,17.35
ZAF,South Africa,2014,16.33
ZAF,South Africa,2015,13.62
ZAF,South Africa,2016,18.97
ZAF,South Africa,2017,16.77
ZAF,South Africa,2018,17.7
ZAF,South Africa,2019,14.24
ZAF,South Africa,2020,15.68
ZAF,South Africa,2021,17.18
ZAF,South Africa,2022,15.24
ZAF,South Africa,2023,17.0
KEN,Kenya,2010,12.79
KEN,Kenya,2011,12.19
KEN,Kenya,2012,10.44
KEN,Kenya,2013,16.62
KEN,Kenya,2014,12.78
KEN,Kenya,2015,12.64
KEN,Kenya,2016,14.49
KEN,Kenya,2017,11.48
KEN,Kenya,2018,13.28
KEN,Kenya,2019,9.76
KEN,Kenya,2020,11.23
KEN,Kenya,2021,13.15
KEN,Kenya,2022,15.42
KEN,Kenya,2023,14.24
GHA,Ghana,2010,9.76
GHA,Ghana,2011,10.37
GHA,Ghana,2012,8.95
GHA,Ghana,2013,8.45
GHA,Ghana,2014,9.96
GHA,Ghana,2015,13.17
GHA,Ghana,2016,10.9
GHA,Ghana,2017,6.9
GHA,Ghana,2018,11.8
GHA,Ghana,2019,10.49
GHA,Ghana,2020,10.9
GHA,Ghana,2021,12.06
GHA,Ghana,2022,13.41
GHA,Ghana,2023,10.03
ETH,Ethiopia,2010,3.0
ETH,Ethiopia,2011,4.27
ETH,Ethiopia,2012,5.17
ETH,Ethiopia,2013,8.57
ETH,Ethiopia,2014,4.2
ETH,Ethiopia,2015,4.6
ETH,Ethiopia,2016,3.0
ETH,Ethiopia,2017,3.0
ETH,Ethiopia,2018,6.4
ETH,Ethiopia,2019,8.73
ETH,Ethiopia,2020,4.24
ETH,Ethiopia,2021,7.71
ETH,Ethiopia,2022,5.98
ETH,Ethiopia,2023,3.57
TZA,Tanzania,2010,8.7
TZA,Tanzania,2011,9.9
TZA,Tanzania,2012,7.63
TZA,Tanzania,2013,12.06
TZA,Tanzania,2014,3.0
TZA,Tanzania,2015,10.68
TZA,Tanzania,2016,8.49
TZA,Tanzania,2017,7.93
TZA,Tanzania,2018,8.59
TZA,Tanzania,2019,3.84
TZA,Tanzania,2020,9.2
TZA,Tanzania,2021,9.86
TZA,Tanzania,2022,11.34
TZA,Tanzania,2023,7.3
UGA,Uganda,2010,4.12
UGA,Uganda,2011,5.14
UGA,Uganda,2012,7.9
UGA,Uganda,2013,7.74
UGA,Uganda,2014,3.92
UGA,Uganda,2015,6.94
UGA,Uganda,2016,6.95
UGA,Uganda,2017,7.99
UGA,Uganda,2018,4.61
UGA,Uganda,2019,4.92
UGA,Uganda,2020,4.86
UGA,Uganda,2021,3.3
UGA,Uganda,2022,8.63
UGA,Uganda,2023,6.74
RWA,Rwanda,2010,13.71
RWA,Rwanda,2011,14.01
RWA,Rwanda,2012,11.06
RWA,Rwanda,2013,12.91
RWA,Rwanda,2014,12.4
RWA,Rwanda,2015,13.08
RWA,Rwanda,2016,12.43
RWA,Rwanda,2017,14.18
RWA,Rwanda,2018,17.27
RWA,Rwanda,2019,12.08
RWA,Rwanda,2020,14.99
RWA,Rwanda,2021,12.57
RWA,Rwanda,2022,11.03
RWA,Rwanda,2023,15.15
BWA,Botswana,2010,19.9
BWA,Botswana,2011,22.88
BWA,Botswana,2012,18.44
BWA,Botswana,2013,18.75
BWA,Botswana,2014,19.68
BWA,Botswana,2015,17.17
BWA,Botswana,2016,22.01
BWA,Botswana,2017,20.48
BWA,Botswana,2018,20.05
BWA,Botswana,2019,17.65
BWA,Botswana,2020,20.88
BWA,Botswana,2021,17.37
BWA,Botswana,2022,19.89
BWA,Botswana,2023,22.23
ZMB,Zambia,2010,3.0
ZMB,Zambia,2011,3.0
ZMB,Zambia,2012,5.09
ZMB,Zambia,2013,3.17
ZMB,Zambia,2014,3.0
ZMB,Zambia,2015,4.87
ZMB,Zambia,2016,3.0
ZMB,Zambia,2017,5.52
ZMB,Zambia,2018,3.0
ZMB,Zambia,2019,8.18
ZMB,Zambia,2020,4.04
ZMB,Zambia,2021,3.55
ZMB,Zambia,2022,6.05
ZMB,Zambia,2023,3.0
