country_code,country_name,year,value,indicator
BW,Botswana,2020,4.3234394,GFDD.SI.02
BW,Botswana,2019,4.7879742,GFDD.SI.02
BW,Botswana,2018,5.4263192,GFDD.SI.02
BW,Botswana,2017,5.276903,GFDD.SI.02
BW,Botswana,2016,4.8526413,GFDD.SI.02
BW,Botswana,2015,3.7343552,GFDD.SI.02
BW,Botswana,2014,3.5494549,GFDD.SI.02
BW,Botswana,2013,3.6134301,GFDD.SI.02
BW,Botswana,2012,2.6206081,GFDD.SI.02
ET,Ethiopia,2020,3.4297719,GFDD.SI.02
ET,Ethiopia,2019,2.6717358,GFDD.SI.02
ET,Ethiopia,2018,3.5605232,GFDD.SI.02
ET,Ethiopia,2017,3.4128643,GFDD.SI.02
GH,Ghana,2020,14.815376,GFDD.SI.02
GH,Ghana,2019,13.941911,GFDD.SI.02
GH,Ghana,2018,18.187153,GFDD.SI.02
GH,Ghana,2017,21.591249,GFDD.SI.02
GH,Ghana,2016,17.294401,GFDD.SI.02
GH,Ghana,2015,14.673617,GFDD.SI.02
GH,Ghana,2014,11.269173,GFDD.SI.02
GH,Ghana,2013,11.998935,GFDD.SI.02
GH,Ghana,2012,13.196671,GFDD.SI.02
GH,Ghana,2011,14.145989,GFDD.SI.02
GH,Ghana,2010,18.081857,GFDD.SI.02
KE,Kenya,2020,14.138663,GFDD.SI.02
KE,Kenya,2019,12.014092,GFDD.SI.02
KE,Kenya,2018,11.69122,GFDD.SI.02
KE,Kenya,2017,9.9491283,GFDD.SI.02
KE,Kenya,2016,11.66126,GFDD.SI.02
KE,Kenya,2015,5.9887641,GFDD.SI.02
KE,Kenya,2014,5.4551197,GFDD.SI.02
KE,Kenya,2013,5.0464177,GFDD.SI.02
KE,Kenya,2012,4.5942296,GFDD.SI.02
KE,Kenya,2011,4.4286704,GFDD.SI.02
KE,Kenya,2010,6.2914888,GFDD.SI.02
NG,Nigeria,2020,6.0245155,GFDD.SI.02
NG,Nigeria,2019,6.0583903,GFDD.SI.02
NG,Nigeria,2018,11.674526,GFDD.SI.02
NG,Nigeria,2017,14.80963,GFDD.SI.02
NG,Nigeria,2016,12.815064,GFDD.SI.02
NG,Nigeria,2015,4.8608856,GFDD.SI.02
NG,Nigeria,2014,2.9595384,GFDD.SI.02
NG,Nigeria,2013,3.3933912,GFDD.SI.02
NG,Nigeria,2012,3.7052249,GFDD.SI.02
NG,Nigeria,2011,5.7716286,GFDD.SI.02
NG,Nigeria,2010,20.1431,GFDD.SI.02
RW,Rwanda,2020,4.3728554,GFDD.SI.02
RW,Rwanda,2019,4.3815274,GFDD.SI.02
RW,Rwanda,2018,5.8113029,GFDD.SI.02
RW,Rwanda,2017,7.2249359,GFDD.SI.02
RW,Rwanda,2016,7.6168375,GFDD.SI.02
RW,Rwanda,2015,5.9061271,GFDD.SI.02
RW,Rwanda,2014,5.2237264,GFDD.SI.02
RW,Rwanda,2013,5.9327651,GFDD.SI.02
RW,Rwanda,2012,5.1062103,GFDD.SI.02
RW,Rwanda,2011,5.5928051,GFDD.SI.02
RW,Rwanda,2010,7.3323491,GFDD.SI.02
TZ,Tanzania,2020,8.6967719,GFDD.SI.02
TZ,Tanzania,2019,9.6137167,GFDD.SI.02
TZ,Tanzania,2018,9.9300908,GFDD.SI.02
TZ,Tanzania,2017,11.523562,GFDD.SI.02
TZ,Tanzania,2016,9.6080995,GFDD.SI.02
TZ,Tanzania,2015,8.5825027,GFDD.SI.02
TZ,Tanzania,2014,6.5839847,GFDD.SI.02
TZ,Tanzania,2013,5.1151449,GFDD.SI.02
TZ,Tanzania,2012,6.4018855,GFDD.SI.02
TZ,Tanzania,2011,5.3963723,GFDD.SI.02
TZ,Tanzania,2010,7.8437612,GFDD.SI.02
UG,Uganda,2020,5.2158675,GFDD.SI.02
UG,Uganda,2019,4.7499796,GFDD.SI.02
UG,Uganda,2018,3.3356999,GFDD.SI.02
UG,Uganda,2017,5.5057768,GFDD.SI.02
UG,Uganda,2016,10.401311,GFDD.SI.02
UG,Uganda,2015,5.1269555,GFDD.SI.02
UG,Uganda,2014,4.0105966,GFDD.SI.02
UG,Uganda,2013,5.7568891,GFDD.SI.02
UG,Uganda,2012,4.0558491,GFDD.SI.02
UG,Uganda,2011,2.0321277,GFDD.SI.02
UG,Uganda,2010,1.8615819,GFDD.SI.02
ZA,South Africa,2020,5.1802833,GFDD.SI.02
ZA,South Africa,2019,3.8923904,GFDD.SI.02
ZA,South Africa,2018,3.7280208,GFDD.SI.02
ZA,South Africa,2017,2.842,GFDD.SI.02
ZA,South Africa,2016,2.8578079,GFDD.SI.02
ZA,South Africa,2015,3.1216856,GFDD.SI.02
ZA,South Africa,2014,3.2448467,GFDD.SI.02
ZA,South Africa,2013,3.6412867,GFDD.SI.02
ZA,South Africa,2012,4.0428918,GFDD.SI.02
ZA,South Africa,2011,4.680856,GFDD.SI.02
ZA,South Africa,2010,5.7921381,GFDD.SI.02
ZM,Zambia,2020,11.630566,GFDD.SI.02
ZM,Zambia,2019,8.9072779,GFDD.SI.02
ZM,Zambia,2018,10.951198,GFDD.SI.02
ZM,Zambia,2017,11.983703,GFDD.SI.02
ZM,Zambia,2016,9.6649441,GFDD.SI.02
ZM,Zambia,2015,7.2792101,GFDD.SI.02
ZM,Zambia,2014,6.1043178,GFDD.SI.02
ZM,Zambia,2013,6.9583623,GFDD.SI.02
ZM,Zambia,2012,8.1053913,GFDD.SI.02
ZM,Zambia,2011,10.376193,GFDD.SI.02
ZM,Zambia,2010,14.823594,GFDD.SI.02
