country_code,country_name,year,digital_lending_regulation_dummy,open_banking_initiative_dummy,fintech_regulatory_sandbox_dummy
NGA,Nigeria,2010,0,0,0
NGA,Nigeria,2011,0,0,0
NGA,Nigeria,2012,0,0,0
NGA,Nigeria,2013,0,0,0
NGA,Nigeria,2014,0,0,0
NGA,Nigeria,2015,0,0,0
NGA,Nigeria,2016,0,0,0
NGA,Nigeria,2017,0,0,0
NGA,Nigeria,2018,0,0,1
NGA,Nigeria,2019,0,1,1
NGA,Nigeria,2020,1,1,1
NGA,Nigeria,2021,1,1,1
NGA,Nigeria,2022,1,1,1
NGA,Nigeria,2023,1,1,1
ZAF,South Africa,2010,0,0,0
ZAF,South Africa,2011,0,0,0
ZAF,South Africa,2012,0,0,0
ZAF,South Africa,2013,0,0,0
ZAF,South Africa,2014,0,0,0
ZAF,South Africa,2015,0,0,0
ZAF,South Africa,2016,0,0,1
ZAF,South Africa,2017,0,0,1
ZAF,South Africa,2018,0,1,1
ZAF,South Africa,2019,1,1,1
ZAF,South Africa,2020,1,1,1
ZAF,South Africa,2021,1,1,1
ZAF,South Africa,2022,1,1,1
ZAF,South Africa,2023,1,1,1
KEN,Kenya,2010,0,0,0
KEN,Kenya,2011,0,0,0
KEN,Kenya,2012,0,0,0
KEN,Kenya,2013,0,0,0
KEN,Kenya,2014,0,0,0
KEN,Kenya,2015,0,0,0
KEN,Kenya,2016,0,0,0
KEN,Kenya,2017,0,0,0
KEN,Kenya,2018,0,0,0
KEN,Kenya,2019,0,0,1
KEN,Kenya,2020,0,1,1
KEN,Kenya,2021,1,1,1
KEN,Kenya,2022,1,1,1
KEN,Kenya,2023,1,1,1
GHA,Ghana,2010,0,0,0
GHA,Ghana,2011,0,0,0
GHA,Ghana,2012,0,0,0
GHA,Ghana,2013,0,0,0
GHA,Ghana,2014,0,0,0
GHA,Ghana,2015,0,0,0
GHA,Ghana,2016,0,0,0
GHA,Ghana,2017,0,0,0
GHA,Ghana,2018,0,0,0
GHA,Ghana,2019,0,0,0
GHA,Ghana,2020,0,0,1
GHA,Ghana,2021,1,1,1
GHA,Ghana,2022,1,1,1
GHA,Ghana,2023,1,1,1
ETH,Ethiopia,2010,0,0,0
ETH,Ethiopia,2011,0,0,0
ETH,Ethiopia,2012,0,0,0
ETH,Ethiopia,2013,0,0,0
ETH,Ethiopia,2014,0,0,0
ETH,Ethiopia,2015,0,0,0
ETH,Ethiopia,2016,0,0,0
ETH,Ethiopia,2017,0,0,0
ETH,Ethiopia,2018,0,0,0
ETH,Ethiopia,2019,0,0,0
ETH,Ethiopia,2020,0,0,0
ETH,Ethiopia,2021,1,0,1
ETH,Ethiopia,2022,1,0,1
ETH,Ethiopia,2023,1,1,1
TZA,Tanzania,2010,0,0,0
TZA,Tanzania,2011,0,0,0
TZA,Tanzania,2012,0,0,0
TZA,Tanzania,2013,0,0,0
TZA,Tanzania,2014,0,0,0
TZA,Tanzania,2015,0,0,0
TZA,Tanzania,2016,0,0,0
TZA,Tanzania,2017,0,0,0
TZA,Tanzania,2018,0,0,0
TZA,Tanzania,2019,0,0,0
TZA,Tanzania,2020,1,0,1
TZA,Tanzania,2021,1,0,1
TZA,Tanzania,2022,1,1,1
TZA,Tanzania,2023,1,1,1
UGA,Uganda,2010,0,0,0
UGA,Uganda,2011,0,0,0
UGA,Uganda,2012,0,0,0
UGA,Uganda,2013,0,0,0
UGA,Uganda,2014,0,0,0
UGA,Uganda,2015,0,0,0
UGA,Uganda,2016,0,0,0
UGA,Uganda,2017,0,0,0
UGA,Uganda,2018,0,0,0
UGA,Uganda,2019,0,0,1
UGA,Uganda,2020,0,0,1
UGA,Uganda,2021,0,1,1
UGA,Uganda,2022,1,1,1
UGA,Uganda,2023,1,1,1
RWA,Rwanda,2010,0,0,0
RWA,Rwanda,2011,0,0,0
RWA,Rwanda,2012,0,0,0
RWA,Rwanda,2013,0,0,0
RWA,Rwanda,2014,0,0,0
RWA,Rwanda,2015,0,0,0
RWA,Rwanda,2016,0,0,0
RWA,Rwanda,2017,0,0,0
RWA,Rwanda,2018,0,0,1
RWA,Rwanda,2019,1,0,1
RWA,Rwanda,2020,1,1,1
RWA,Rwanda,2021,1,1,1
RWA,Rwanda,2022,1,1,1
RWA,Rwanda,2023,1,1,1
BWA,Botswana,2010,0,0,0
BWA,Botswana,2011,0,0,0
BWA,Botswana,2012,0,0,0
BWA,Botswana,2013,0,0,0
BWA,Botswana,2014,0,0,0
BWA,Botswana,2015,0,0,0
BWA,Botswana,2016,0,0,0
BWA,Botswana,2017,0,0,0
BWA,Botswana,2018,0,0,0
BWA,Botswana,2019,0,0,1
BWA,Botswana,2020,1,0,1
BWA,Botswana,2021,1,1,1
BWA,Botswana,2022,1,1,1
BWA,Botswana,2023,1,1,1
ZMB,Zambia,2010,0,0,0
ZMB,Zambia,2011,0,0,0
ZMB,Zambia,2012,0,0,0
ZMB,Zambia,2013,0,0,0
ZMB,Zambia,2014,0,0,0
ZMB,Zambia,2015,0,0,0
ZMB,Zambia,2016,0,0,0
ZMB,Zambia,2017,0,0,0
ZMB,Zambia,2018,0,0,0
ZMB,Zambia,2019,0,0,0
ZMB,Zambia,2020,0,0,1
ZMB,Zambia,2021,1,0,1
ZMB,Zambia,2022,1,1,1
ZMB,Zambia,2023,1,1,1
