Material,Relative_Density,Temperature_C,Youngs_Modulus_GPa,Standard_Deviation_GPa,Measurement_Method,Notes
8YSZ,0.55,25,45.0,2.0,Nanoindentation,Green state
8YSZ,0.60,25,60.0,2.5,Nanoindentation,
8YSZ,0.70,25,95.0,3.0,Nanoindentation,
8YSZ,0.80,25,140.0,3.5,Nanoindentation,
8YSZ,0.90,25,180.0,4.0,Nanoindentation,
8YSZ,0.95,25,190.0,4.0,Nanoindentation,
8YSZ,0.98,25,195.0,4.0,Nanoindentation,
8YSZ,0.99,25,200.0,4.0,Resonant Ultrasound Spectroscopy,Fully sintered
8YSZ,0.99,100,195.0,4.0,Resonant Ultrasound Spectroscopy,
8YSZ,0.99,200,190.0,4.0,Resonant Ultrasound Spectroscopy,
8YSZ,0.99,300,185.0,4.0,Resonant Ultrasound Spectroscopy,
8YSZ,0.99,400,180.0,4.0,Resonant Ultrasound Spectroscopy,
8YSZ,0.99,500,175.0,4.0,Resonant Ultrasound Spectroscopy,
8YSZ,0.99,600,173.0,4.0,Resonant Ultrasound Spectroscopy,
8YSZ,0.99,700,171.0,4.0,Resonant Ultrasound Spectroscopy,
8YSZ,0.99,800,170.0,4.0,Resonant Ultrasound Spectroscopy,
8YSZ,0.99,900,168.0,4.0,Resonant Ultrasound Spectroscopy,
8YSZ,0.99,1000,165.0,4.0,Resonant Ultrasound Spectroscopy,
Ni-YSZ,0.58,25,12.0,0.8,Nanoindentation,Green state
Ni-YSZ,0.65,25,18.0,1.0,Nanoindentation,
Ni-YSZ,0.75,25,30.0,1.5,Nanoindentation,
Ni-YSZ,0.85,25,42.0,2.0,Nanoindentation,
Ni-YSZ,0.92,25,50.0,2.5,Nanoindentation,
Ni-YSZ,0.96,25,53.0,2.5,Nanoindentation,
Ni-YSZ,0.98,25,54.5,2.5,Nanoindentation,
Ni-YSZ,0.99,25,55.0,2.5,Resonant Ultrasound Spectroscopy,Fully sintered
Ni-YSZ,0.99,100,53.0,2.5,Resonant Ultrasound Spectroscopy,
Ni-YSZ,0.99,200,50.0,2.5,Resonant Ultrasound Spectroscopy,
Ni-YSZ,0.99,300,47.0,2.5,Resonant Ultrasound Spectroscopy,
Ni-YSZ,0.99,400,43.0,2.5,Resonant Ultrasound Spectroscopy,
Ni-YSZ,0.99,500,38.0,2.5,Resonant Ultrasound Spectroscopy,
Ni-YSZ,0.99,600,34.0,2.5,Resonant Ultrasound Spectroscopy,
Ni-YSZ,0.99,700,31.0,2.5,Resonant Ultrasound Spectroscopy,
Ni-YSZ,0.99,800,29.0,2.5,Resonant Ultrasound Spectroscopy,
Ni-YSZ,0.99,900,27.0,2.5,Resonant Ultrasound Spectroscopy,
Ni-YSZ,0.99,1000,25.0,2.5,Resonant Ultrasound Spectroscopy,
LSM-YSZ,0.60,25,15.0,1.0,Nanoindentation,Green state
LSM-YSZ,0.70,25,25.0,1.5,Nanoindentation,
LSM-YSZ,0.80,25,35.0,2.0,Nanoindentation,
LSM-YSZ,0.90,25,41.0,2.2,Nanoindentation,
LSM-YSZ,0.95,25,43.0,2.2,Nanoindentation,
LSM-YSZ,0.98,25,44.5,2.2,Nanoindentation,
LSM-YSZ,0.99,25,45.0,2.2,Resonant Ultrasound Spectroscopy,Fully sintered
LSM-YSZ,0.99,100,44.0,2.2,Resonant Ultrasound Spectroscopy,
LSM-YSZ,0.99,200,43.0,2.2,Resonant Ultrasound Spectroscopy,
LSM-YSZ,0.99,300,42.5,2.2,Resonant Ultrasound Spectroscopy,
LSM-YSZ,0.99,400,42.0,2.2,Resonant Ultrasound Spectroscopy,
LSM-YSZ,0.99,500,41.5,2.2,Resonant Ultrasound Spectroscopy,
LSM-YSZ,0.99,600,41.2,2.2,Resonant Ultrasound Spectroscopy,
LSM-YSZ,0.99,700,40.8,2.2,Resonant Ultrasound Spectroscopy,
LSM-YSZ,0.99,800,40.0,2.2,Resonant Ultrasound Spectroscopy,
LSM-YSZ,0.99,900,39.5,2.2,Resonant Ultrasound Spectroscopy,
LSM-YSZ,0.99,1000,39.0,2.2,Resonant Ultrasound Spectroscopy
