Temperature_C,Thermal_Conductivity_W_mK,Standard_Deviation,Test_Method,Specimen_ID,Rubber_Content_Percent
20,1.45,0.08,Hot_Disk,RC-T-01,0
20,1.38,0.07,Hot_Disk,RC-T-02,10
20,1.29,0.09,Hot_Disk,RC-T-03,20
20,1.18,0.06,Hot_Disk,RC-T-04,30
100,1.32,0.09,Hot_Disk,RC-T-01,0
100,1.26,0.08,Hot_Disk,RC-T-02,10
100,1.18,0.07,Hot_Disk,RC-T-03,20
100,1.09,0.08,Hot_Disk,RC-T-04,30
200,1.18,0.10,Hot_Disk,RC-T-01,0
200,1.13,0.09,Hot_Disk,RC-T-02,10
200,1.06,0.08,Hot_Disk,RC-T-03,20
200,0.98,0.09,Hot_Disk,RC-T-04,30
300,1.05,0.11,Hot_Disk,RC-T-01,0
300,1.01,0.10,Hot_Disk,RC-T-02,10
300,0.95,0.09,Hot_Disk,RC-T-03,20
300,0.88,0.10,Hot_Disk,RC-T-04,30
400,0.93,0.12,Hot_Disk,RC-T-01,0
400,0.89,0.11,Hot_Disk,RC-T-02,10
400,0.84,0.10,Hot_Disk,RC-T-03,20
400,0.78,0.11,Hot_Disk,RC-T-04,30
500,0.82,0.13,Hot_Disk,RC-T-01,0
500,0.79,0.12,Hot_Disk,RC-T-02,10
500,0.74,0.11,Hot_Disk,RC-T-03,20
500,0.69,0.12,Hot_Disk,RC-T-04,30
600,0.73,0.14,Hot_Disk,RC-T-01,0
600,0.70,0.13,Hot_Disk,RC-T-02,10
600,0.66,0.12,Hot_Disk,RC-T-03,20
600,0.62,0.13,Hot_Disk,RC-T-04,30
700,0.65,0.15,Hot_Disk,RC-T-01,0
700,0.63,0.14,Hot_Disk,RC-T-02,10
700,0.59,0.13,Hot_Disk,RC-T-03,20
700,0.56,0.14,Hot_Disk,RC-T-04,30
800,0.59,0.16,Hot_Disk,RC-T-01,0
800,0.57,0.15,Hot_Disk,RC-T-02,10
800,0.54,0.14,Hot_Disk,RC-T-03,20
800,0.51,0.15,Hot_Disk,RC-T-04,30
900,0.54,0.17,Hot_Disk,RC-T-01,0
900,0.52,0.16,Hot_Disk,RC-T-02,10
900,0.49,0.15,Hot_Disk,RC-T-03,20
900,0.47,0.16,Hot_Disk,RC-T-04,30
1000,0.50,0.18,Hot_Disk,RC-T-01,0
1000,0.48,0.17,Hot_Disk,RC-T-02,10
1000,0.46,0.16,Hot_Disk,RC-T-03,20
1000,0.44,0.17,Hot_Disk,RC-T-04,30
