Temperature_C,Specific_Heat_J_kgK,Standard_Deviation,Test_Method,Specimen_ID,Rubber_Content_Percent
20,880,25,DSC,RC-SH-01,0
20,920,28,DSC,RC-SH-02,10
20,965,30,DSC,RC-SH-03,20
20,1015,32,DSC,RC-SH-04,30
100,920,28,DSC,RC-SH-01,0
100,965,31,DSC,RC-SH-02,10
100,1012,33,DSC,RC-SH-03,20
100,1068,35,DSC,RC-SH-04,30
200,1020,32,DSC,RC-SH-01,0
200,1068,35,DSC,RC-SH-02,10
200,1118,37,DSC,RC-SH-03,20
200,1175,40,DSC,RC-SH-04,30
300,1150,38,DSC,RC-SH-01,0
300,1205,41,DSC,RC-SH-02,10
300,1262,43,DSC,RC-SH-03,20
300,1325,45,DSC,RC-SH-04,30
400,1320,45,DSC,RC-SH-01,0
400,1382,48,DSC,RC-SH-02,10
400,1448,51,DSC,RC-SH-03,20
400,1520,53,DSC,RC-SH-04,30
500,1580,55,DSC,RC-SH-01,0
500,1655,58,DSC,RC-SH-02,10
500,1735,61,DSC,RC-SH-03,20
500,1822,64,DSC,RC-SH-04,30
600,1920,68,DSC,RC-SH-01,0
600,2010,72,DSC,RC-SH-02,10
600,2108,75,DSC,RC-SH-03,20
600,2215,79,DSC,RC-SH-04,30
700,2180,78,DSC,RC-SH-01,0
700,2285,82,DSC,RC-SH-02,10
700,2398,86,DSC,RC-SH-03,20
700,2520,90,DSC,RC-SH-04,30
800,2350,85,DSC,RC-SH-01,0
800,2465,89,DSC,RC-SH-02,10
800,2588,93,DSC,RC-SH-03,20
800,2720,97,DSC,RC-SH-04,30
900,2480,92,DSC,RC-SH-01,0
900,2605,96,DSC,RC-SH-02,10
900,2738,100,DSC,RC-SH-03,20
900,2880,105,DSC,RC-SH-04,30
1000,2580,98,DSC,RC-SH-01,0
1000,2715,102,DSC,RC-SH-02,10
1000,2858,107,DSC,RC-SH-03,20
1000,3010,112,DSC,RC-SH-04,30
