epd_reference,material_id,epd_publisher,manufacturer,product_name,publication_date,expiry_date,verification_body,pcr_reference,geographic_scope,technology_scope,declaration_type,lca_methodology,functional_unit_description,reference_service_life_years,data_quality_rating,uncertainty_level,url,notes
EPD-PIR-2023-001,MAT001,IBU (Institut Bauen und Umwelt),Generic Industry Average,Polyisocyanurate Rigid Foam Insulation,2023-03-15,2028-03-15,TÜV Rheinland,PCR-PIR-2019-v2.1,Europe & North America,Pentane-blown PIR,Industry-wide,ISO 14025 / EN 15804,1 m³ of PIR insulation with λ=0.023 W/mK,30,A,±12%,https://epd-online.com/PIR-2023-001,Generic EPD based on industry average data
EPD-MW-2022-045,MAT002,EPD Australasia,Knauf Insulation,Stone Wool Insulation Batts,2022-08-22,2027-08-22,DNV GL,PCR-INSUL-2020-v1.5,Global,Stone wool (basalt),Product-specific,ISO 14025 / ISO 21930,1 m³ of mineral wool insulation with λ=0.035 W/mK,40,A+,±8%,https://epd-australasia.com/MW-2022-045,High recycled content product
EPD-XPS-2023-012,MAT003,UL Environment,Owens Corning,Foamular XPS Insulation,2023-01-10,2028-01-10,SCS Global Services,PCR-FOAM-2021-v3.0,North America,CO2-blown XPS,Product-specific,ISO 14025 / ISO 21930,1 m³ of XPS insulation with λ=0.029 W/mK,50,A,±10%,https://spot.ul.com/XPS-2023-012,Transitioning to low-GWP blowing agents
EPD-SPF-2022-089,MAT004,NSF International,Generic Industry Average,Closed-Cell Spray Polyurethane Foam,2022-11-05,2027-11-05,NSF International,PCR-SPF-2020-v2.0,North America,HFC-245fa / pentane blend,Industry-wide,ISO 14025 / ISO 21930,1 m³ of closed-cell SPF with λ=0.024 W/mK,25,B+,±15%,https://info.nsf.org/SPF-2022-089,Installation emissions significant; on-site curing
EPD-CEL-2023-034,MAT005,The EPD Hub,Nu-Wool Co.,Cellulose Insulation (Recycled Content),2023-05-18,2028-05-18,Bureau Veritas,PCR-INSUL-2020-v1.5,North America,Recycled newspaper with fire retardant,Product-specific,ISO 14025 / ISO 21930,1 m³ of cellulose insulation with λ=0.039 W/mK,30,A,±9%,https://theepdhub.com/CEL-2023-034,85% recycled content; biogenic carbon storage
EPD-FG-2023-067,MAT006,IBU (Institut Bauen und Umwelt),Owens Corning,Fiberglass Batt Insulation,2023-02-28,2028-02-28,TÜV SÜD,PCR-INSUL-2020-v1.5,Global,Fiberglass with recycled glass content,Product-specific,ISO 14025 / EN 15804,1 m³ of fiberglass insulation with λ=0.040 W/mK,50,A,±10%,https://epd-online.com/FG-2023-067,Contains 35% recycled glass content
EPD-WIN-2023-123,MAT007,IBU (Institut Bauen und Umwelt),Generic Industry Average,Triple-Pane Window Assembly with PVC Frame,2023-04-12,2028-04-12,DEKRA,PCR-WIN-2021-v2.5,Europe,Low-E coated glass; argon fill; PVC frame,Industry-wide,ISO 14025 / EN 15804,1 m² of window with U=0.18 W/m²K,25,A-,±13%,https://epd-online.com/WIN-2023-123,Average of multiple manufacturers
EPD-WIN-2022-098,MAT008,The EPD Hub,Pella Corporation,Double-Pane Low-E Window,2022-09-14,2027-09-14,SCS Global Services,PCR-WIN-2021-v2.5,North America,Low-E coated glass; PVC frame,Product-specific,ISO 14025 / ISO 21930,1 m² of window with U=0.28 W/m²K,25,A,±11%,https://theepdhub.com/WIN-2022-098,EnergyStar certified product
EPD-FILM-2023-045,MAT009,UL Environment,3M Company,Low-E Window Film,2023-06-20,2028-06-20,UL Environment,PCR-FILM-2022-v1.0,Global,Metallized polyester film,Product-specific,ISO 14025 / ISO 21930,1 m² of window film,15,B+,±12%,https://spot.ul.com/FILM-2023-045,Retrofit application product
EPD-ASHP-2023-156,MAT010,EPD Norway,Generic Industry Average,Air Source Heat Pump (Residential),2023-07-08,2028-07-08,EPD Norge,PCR-HVAC-2021-v3.2,Global,R-410A refrigerant; variable speed compressor,Industry-wide,ISO 14025 / EN 15804,1 complete ASHP unit with COP 3.5 @ A7/W35,18,B+,±16%,https://epd-norge.no/ASHP-2023-156,Refrigerant emissions included in A1-A3
