climate_zone,ashrae_zone,iecc_zone,description,heating_degree_days_65f,cooling_degree_days_65f,design_winter_temp_f,design_summer_temp_f,typical_humidity_percent,annual_precipitation_inches,recommended_r_value_wall,recommended_r_value_roof,recommended_r_value_foundation,window_u_value_max,hvac_priority,primary_energy_concern,typical_cities
1,1A,1,Very Hot - Humid,0,7500,-10,97,70,65,R-13,R-30,R-0,0.65,Cooling,Cooling dominates year-round,"Miami FL, Key West FL, Honolulu HI"
2,2A,2,Hot - Humid,1500,4500,15,95,68,55,R-13,R-38,R-0,0.60,Cooling,Cooling with minimal heating,"Houston TX, New Orleans LA, Orlando FL"
3,2B,2,Hot - Dry,1500,4000,20,102,35,12,R-13,R-38,R-0,0.60,Cooling,Cooling with solar heat gain concern,"Phoenix AZ, Las Vegas NV, Tucson AZ"
4,3A,3,Warm - Humid,2500,2500,20,92,65,48,R-13 to R-20,R-38,R-5,0.55,Mixed,Balanced heating and cooling,"Atlanta GA, Birmingham AL, Memphis TN"
5,3B,3,Warm - Dry,2500,2000,22,95,32,15,R-13 to R-20,R-38,R-5,0.55,Mixed,Balanced with lower humidity,"El Paso TX, Las Cruces NM, San Diego CA"
6,3C,3,Warm - Marine,2500,500,28,82,70,42,R-13 to R-20,R-38,R-5,0.55,Heating,Mild with marine influence,"San Francisco CA, Portland OR coast"
7,4A,4,Mixed - Humid,4500,1500,10,90,62,42,R-20,R-49,R-10,0.40,Heating,Significant heating with summer cooling,"New York NY, Philadelphia PA, Kansas City MO"
8,4B,4,Mixed - Dry,4500,1200,12,92,28,18,R-20,R-49,R-10,0.40,Heating,Dry with moderate heating,"Albuquerque NM, Salt Lake City UT"
9,4C,4,Mixed - Marine,4500,200,22,80,68,38,R-20,R-49,R-10,0.40,Heating,Marine climate with mild summers,"Seattle WA, Portland OR"
10,5A,5,Cool - Humid,6000,1000,5,88,65,38,R-20 to R-21,R-49,R-15,0.35,Heating,Heating dominates,"Chicago IL, Boston MA, Detroit MI"
11,5B,5,Cool - Dry,6000,800,8,90,30,18,R-20 to R-21,R-49,R-15,0.35,Heating,Cold dry winters,"Denver CO, Boise ID"
12,5C,5,Cool - Marine,5500,100,25,75,72,42,R-20 to R-21,R-49,R-15,0.35,Heating,Oceanic climate,"Vancouver BC, Halifax NS"
13,6A,6,Cold - Humid,7000,600,0,85,65,35,R-20 to R-21,R-49,R-15,0.32,Heating,Long cold winters,"Minneapolis MN, Milwaukee WI, Burlington VT"
14,6B,6,Cold - Dry,7000,400,2,88,28,15,R-20 to R-21,R-49,R-15,0.32,Heating,Cold dry continental,"Helena MT, Casper WY"
15,7,7,Very Cold,9000,300,-10,82,58,28,R-21,R-49,R-20,0.30,Heating,Extreme heating requirements,"Duluth MN, Fargo ND, International Falls MN"
16,8,8,Subarctic,12000,100,-30,75,55,18,R-21 to R-30,R-60,R-20,0.28,Heating,Arctic conditions,"Fairbanks AK, Anchorage AK"
