sample_id,sand_content_percent,fines_content_percent,d10_mm,d30_mm,d50_mm,d60_mm,d90_mm,cu,cc,relative_density_percent,void_ratio,porosity,friction_angle_deg,dilation_angle_deg,critical_state_phi_deg,mean_effective_stress_kpa,cyclic_stress_ratio,n1_60,qc1n,b_pt,ru_peak,liquefaction_triggered,k0,material,dataset,liquid_limit,plastic_limit,plasticity_index,preconsolidation_stress_kpa,vertical_effective_stress_kpa,ocr,natural_water_content_percent,su_kpa,sensitivity,pore_pressure_ratio,clay_mineral,log10_k_m_per_s,case_id,case_type,magnitude_mw,peak_ground_acc_g,groundwater_depth_m,pore_pressure_ratio_peak,uplift_displacement_m,structural_damage_index,notes,groundwater_level_m,rainfall_event_mm,slope_angle_deg,depth_to_slip_surface_m,factor_of_safety,slip_surface_formed
SAND_00001,81.92,17.06,0.1206,0.2823,0.3444,0.4769,0.7484,3.955,1.386,55.6,0.771,0.435,30.27,0.0,32.75,161.1,0.314,21.8,99.7,0.453,0.782,0,0.496,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00002,98.74,5.97,0.4958,0.9717,1.0081,1.4092,2.1294,2.842,1.351,55.0,0.787,0.44,36.3,3.12,33.17,95.6,0.195,24.2,107.7,0.502,0.628,0,0.408,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00003,80.14,18.13,0.1937,0.297,0.2892,0.4179,0.479,2.158,1.09,35.8,0.748,0.428,30.15,0.0,33.63,59.4,0.164,16.7,68.0,0.498,0.549,0,0.498,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00004,95.29,3.07,0.1848,0.3638,0.4018,0.4718,0.7388,2.554,1.518,77.6,0.648,0.393,37.69,5.94,31.75,86.1,0.179,27.4,132.7,0.555,0.484,0,0.389,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00005,82.17,17.74,0.1742,0.3919,0.4033,0.533,0.5417,3.06,1.654,61.3,0.743,0.426,34.4,1.75,32.65,181.3,0.277,27.3,121.4,0.435,0.685,0,0.435,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00006,88.22,9.51,0.1213,0.1587,0.182,0.2466,0.2325,2.032,0.842,38.6,0.816,0.449,32.63,1.34,31.29,113.3,0.19,16.8,66.4,0.51,0.534,0,0.461,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00007,85.35,16.31,0.2167,0.2954,0.2999,0.4059,0.4521,1.873,0.992,46.4,0.736,0.424,34.41,0.0,35.0,112.3,0.259,16.7,83.7,0.447,0.685,0,0.435,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00008,83.0,17.98,0.1253,0.2679,0.2557,0.2889,0.5096,2.305,1.982,79.7,0.69,0.408,35.86,4.64,31.22,124.0,0.278,28.5,109.8,0.568,0.606,0,0.414,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00009,83.59,17.98,0.1913,0.393,0.4191,0.65,0.6362,3.398,1.242,100.0,0.486,0.327,39.01,8.37,30.64,128.2,0.198,34.7,174.8,0.801,0.299,0,0.371,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00010,81.79,19.13,0.1227,0.3321,0.3183,0.396,0.6509,3.227,2.27,43.8,0.801,0.445,30.76,0.0,32.98,186.4,0.183,15.2,80.5,0.552,0.548,0,0.489,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
