building_id,embodied_carbon_kgco2e
B00001,5602734.381715718
B00002,2363266.1757557914
B00003,3361322.4739351673
B00004,2854461.3727603815
B00005,151840.35886734063
B00006,6539655.1601896
B00007,378618.8228988339
B00008,1932467.0676890076
B00009,3191828.6464885967
B00010,982381.0399136017
B00011,2294940.923281341
B00012,1771359.5496863727
B00013,1964498.228733457
B00014,4169601.365218597
B00015,424148.8781476879
B00016,52217.77955399477
B00017,350501.0917662149
B00018,4802032.6119812615
B00019,738506.1631464385
B00020,3365842.057840098
B00021,2853348.602186897
B00022,338323.6614293371
B00023,607595.8298512428
B00024,1340271.8088504493
B00025,486703.4260872593
B00026,783378.5501769107
B00027,2533342.6980625745
B00028,3734883.922324779
B00029,2994375.3681988623
B00030,5184998.958254763
B00031,5177029.909892161
B00032,133072.04916703503
B00033,6411339.501008733
B00034,7773033.938277254
B00035,4653826.634610719
B00036,2869249.9291773466
B00037,3184642.6893760143
B00038,995611.794933927
B00039,304063.32221114234
B00040,1728092.1165386424
B00041,399042.94452200853
B00042,439492.09272240533
B00043,829426.5826372027
B00044,111178.66555892944
B00045,413115.2678585108
B00046,2734226.842258729
B00047,393482.6840177579
B00048,3444252.0529131554
B00049,1334392.3590449723
B00050,726131.3238276953
B00051,960894.1956039004
B00052,502900.09386723407
B00053,2481188.3140482875
B00054,1806370.689225192
B00055,1177083.0879208366
B00056,2208776.048186476
B00057,3065517.5272220774
B00058,1633475.8752907503
B00059,1461255.2386824745
B00060,66337.61681310073
B00061,597795.4195265952
B00062,150080.83297320473
B00063,837567.1236166698
B00064,1013177.3592153627
B00065,303856.6108028244
B00066,341476.3352160838
B00067,956035.7383822553
B00068,3837854.664489661
B00069,2829793.9176197443
B00070,5633721.528633825
B00071,358871.23144784314
B00072,1236136.904859077
B00073,235317.80379308976
B00074,41221.76332406432
B00075,635336.3311948746
B00076,5715473.23898088
B00077,568533.9652130482
B00078,1523651.9506599328
B00079,272639.4177673993
B00080,1115060.4160329583
B00081,1878168.1360766084
B00082,1617554.9165748789
B00083,861089.9551932125
B00084,1369485.3950274785
B00085,1323017.6523840507
B00086,444354.4676289838
B00087,4511830.36842666
B00088,258699.7155825229
B00089,842288.5882377395
B00090,3052006.9577538264
B00091,88749.52562901712
B00092,1100261.324296147
B00093,135045.33331157727
B00094,1470134.4101126348
B00095,5798395.547778365
B00096,278523.62258567265
B00097,1553515.8661153743
B00098,4446714.789726116
B00099,847098.0527345843
B00100,2726684.9229295338
B00101,101460.79141878113
B00102,67264.13183736216
B00103,1902517.7873429772
B00104,521427.12821784406
B00105,650344.9299491297
B00106,575186.436378201
B00107,1182851.9514372754
B00108,78896.68763789526
B00109,1014638.3159228864
B00110,4697762.253599065
B00111,5028952.509647034
B00112,1298238.1197362011
B00113,4091241.787853072
B00114,3104848.142482952
B00115,3509825.7842267775
B00116,2332938.0523520014
B00117,715105.6486228184
B00118,3970593.7706147316
B00119,491664.50214078167
B00120,997384.6169568894
B00121,849049.3128151663
B00122,1153490.6094691404
B00123,2427184.5259627113
B00124,3925189.6475763754
B00125,1848949.3111026175
B00126,3073007.09387474
B00127,3048199.3802080024
B00128,2684206.37741046
B00129,1506891.5745898145
B00130,1461192.5895963702
B00131,1215480.830774646
B00132,3075002.866817939
B00133,4496848.729400428
B00134,679019.6593587578
B00135,1731710.250597091
B00136,1208696.8866985096
B00137,696299.9677303743
B00138,770706.2224448759
B00139,370618.80163422483
B00140,27410.19143791629
B00141,3381000.7904737648
B00142,838921.6723150169
B00143,1283395.3336793457
B00144,840517.6765883887
B00145,1724834.0238919207
B00146,1030594.9127789477
B00147,438917.6857554519
B00148,6009201.591124162
B00149,2063062.9021372101
B00150,3539025.8159696963
