as_of,country,firm,type,details
2019-04-01,Nigeria,Flutterwave,funding_round,Raised USD 37m
2019-11-01,Nigeria,Flutterwave,regulatory_sanction,Reported regulatory action impacting operations
2021-12-01,Nigeria,Flutterwave,funding_round,Raised USD 16m
2024-04-01,Nigeria,Flutterwave,funding_round,Raised USD 24m
2024-12-01,Nigeria,Flutterwave,funding_round,Raised USD 25m
2019-08-01,Nigeria,Paystack,regulatory_sanction,Reported regulatory action impacting operations
2023-09-01,Nigeria,Paystack,regulatory_sanction,Reported regulatory action impacting operations
2020-01-01,Nigeria,OPay,funding_round,Raised USD 17m
2023-08-01,Nigeria,OPay,funding_round,Raised USD 5m
2023-12-01,Nigeria,OPay,funding_round,Raised USD 21m
2024-03-01,Nigeria,OPay,regulatory_sanction,Reported regulatory action impacting operations
2022-11-01,Nigeria,Paga,funding_round,Raised USD 28m
2023-12-01,Nigeria,Paga,regulatory_sanction,Reported regulatory action impacting operations
2021-01-01,Nigeria,Moniepoint,regulatory_sanction,Reported regulatory action impacting operations
2023-01-01,Nigeria,Moniepoint,regulatory_sanction,Reported regulatory action impacting operations
2023-08-01,Nigeria,Moniepoint,regulatory_sanction,Reported regulatory action impacting operations
2022-02-01,Kenya,M-Pesa,regulatory_sanction,Reported regulatory action impacting operations
2022-04-01,Kenya,M-Pesa,regulatory_sanction,Reported regulatory action impacting operations
2022-04-01,Kenya,M-Pesa,funding_round,Raised USD 42m
2020-03-01,Kenya,M-KOPA,regulatory_sanction,Reported regulatory action impacting operations
2022-06-01,Kenya,M-KOPA,regulatory_sanction,Reported regulatory action impacting operations
2023-06-01,Kenya,M-KOPA,regulatory_sanction,Reported regulatory action impacting operations
2024-01-01,Kenya,M-KOPA,funding_round,Raised USD 46m
2019-09-01,Kenya,Airtel Money,regulatory_sanction,Reported regulatory action impacting operations
2020-12-01,Kenya,Kopo Kopo,regulatory_sanction,Reported regulatory action impacting operations
2022-12-01,Kenya,Kopo Kopo,regulatory_sanction,Reported regulatory action impacting operations
2023-12-01,Kenya,Kopo Kopo,regulatory_sanction,Reported regulatory action impacting operations
2019-07-01,Ghana,ExpressPay,funding_round,Raised USD 21m
2020-04-01,Ghana,ExpressPay,regulatory_sanction,Reported regulatory action impacting operations
2021-10-01,Ghana,ExpressPay,regulatory_sanction,Reported regulatory action impacting operations
2022-03-01,Ghana,ExpressPay,funding_round,Raised USD 12m
2022-08-01,Ghana,ExpressPay,regulatory_sanction,Reported regulatory action impacting operations
2020-10-01,Ghana,Zeepay,regulatory_sanction,Reported regulatory action impacting operations
2023-07-01,Ghana,Zeepay,funding_round,Raised USD 47m
2021-12-01,Ghana,MTN MoMo,funding_round,Raised USD 19m
2021-02-01,Ghana,Hubtel,regulatory_sanction,Reported regulatory action impacting operations
2022-02-01,Ghana,Hubtel,regulatory_sanction,Reported regulatory action impacting operations
2024-10-01,Ghana,Hubtel,funding_round,Raised USD 35m
2021-07-01,Ghana,AirtelTigo,regulatory_sanction,Reported regulatory action impacting operations
2020-06-01,South Africa,Yoco,funding_round,Raised USD 48m
2021-10-01,South Africa,Yoco,regulatory_sanction,Reported regulatory action impacting operations
2021-11-01,South Africa,Yoco,regulatory_sanction,Reported regulatory action impacting operations
2022-06-01,South Africa,Yoco,funding_round,Raised USD 38m
2019-03-01,South Africa,TymeBank,funding_round,Raised USD 46m
2020-08-01,South Africa,TymeBank,regulatory_sanction,Reported regulatory action impacting operations
2021-09-01,South Africa,TymeBank,funding_round,Raised USD 34m
2021-10-01,South Africa,TymeBank,funding_round,Raised USD 32m
2022-08-01,South Africa,TymeBank,funding_round,Raised USD 8m
2021-07-01,South Africa,PayFast,regulatory_sanction,Reported regulatory action impacting operations
2022-04-01,South Africa,PayFast,regulatory_sanction,Reported regulatory action impacting operations
2022-09-01,South Africa,PayFast,regulatory_sanction,Reported regulatory action impacting operations
2020-07-01,South Africa,Luno,funding_round,Raised USD 46m
2021-12-01,South Africa,Luno,funding_round,Raised USD 37m
2019-07-01,Uganda,Airtel Money,regulatory_sanction,Reported regulatory action impacting operations
2021-12-01,Uganda,Airtel Money,funding_round,Raised USD 46m
2022-03-01,Uganda,Airtel Money,regulatory_sanction,Reported regulatory action impacting operations
2019-01-01,Uganda,Wave,regulatory_sanction,Reported regulatory action impacting operations
