material,kgco2e_per_kg,source_note
brick,0.22,illustrative_factor_not_for_design_use
concrete,0.12,illustrative_factor_not_for_design_use
wood,0.05,illustrative_factor_not_for_design_use
steel,1.9,illustrative_factor_not_for_design_use
aerated_concrete,0.18,illustrative_factor_not_for_design_use
bitumen,0.5,illustrative_factor_not_for_design_use
metal,2.0,illustrative_factor_not_for_design_use
tile,0.2,illustrative_factor_not_for_design_use
membrane,2.5,illustrative_factor_not_for_design_use
glass,1.4,illustrative_factor_not_for_design_use
insulation_mineral_wool,1.2,illustrative_factor_not_for_design_use
insulation_eps,2.6,illustrative_factor_not_for_design_use
