country,month,year,cyber_incidents,hhi,new_fintech_licenses,google_trend_mobile_money_fraud,sentiment_score
Cameroon,2018-01,2018,42,3017.9026999999996,19,36.0,0.213
Cameroon,2018-02,2018,42,3017.9026999999996,19,42.0,0.009
Cameroon,2018-03,2018,42,3017.9026999999996,19,38.0,0.217
Cameroon,2018-04,2018,42,3017.9026999999996,19,27.0,-0.001
Cameroon,2018-05,2018,42,3017.9026999999996,19,55.0,-0.016
Cameroon,2018-06,2018,42,3017.9026999999996,19,46.0,-0.015
Cameroon,2018-07,2018,42,3017.9026999999996,19,31.0,0.173
Cameroon,2018-08,2018,42,3017.9026999999996,19,33.0,0.157
Cameroon,2018-09,2018,42,3017.9026999999996,19,30.0,0.215
Cameroon,2018-10,2018,42,3017.9026999999996,19,28.0,-0.145
Cameroon,2018-11,2018,42,3017.9026999999996,19,37.0,-0.029
Cameroon,2018-12,2018,42,3017.9026999999996,19,22.0,0.041
Cameroon,2019-01,2019,46,2731.5190999999995,21,26.0,0.123
Cameroon,2019-02,2019,46,2731.5190999999995,21,30.0,0.093
Cameroon,2019-03,2019,46,2731.5190999999995,21,38.0,0.017
Cameroon,2019-04,2019,46,2731.5190999999995,21,28.0,-0.003
Cameroon,2019-05,2019,46,2731.5190999999995,21,31.0,-0.221
Cameroon,2019-06,2019,46,2731.5190999999995,21,39.0,0.106
Cameroon,2019-07,2019,46,2731.5190999999995,21,43.0,0.091
Cameroon,2019-08,2019,46,2731.5190999999995,21,40.0,0.182
Cameroon,2019-09,2019,46,2731.5190999999995,21,42.0,0.13
Cameroon,2019-10,2019,46,2731.5190999999995,21,50.0,-0.069
Cameroon,2019-11,2019,46,2731.5190999999995,21,59.0,-0.047
Cameroon,2019-12,2019,46,2731.5190999999995,21,51.0,-0.204
Cameroon,2020-01,2020,45,4877.581700000001,20,50.0,0.228
Cameroon,2020-02,2020,45,4877.581700000001,20,57.0,0.253
Cameroon,2020-03,2020,45,4877.581700000001,20,41.0,-0.121
Cameroon,2020-04,2020,45,4877.581700000001,20,43.0,-0.036
Cameroon,2020-05,2020,45,4877.581700000001,20,46.0,-0.127
Cameroon,2020-06,2020,45,4877.581700000001,20,56.0,-0.013
Cameroon,2020-07,2020,45,4877.581700000001,20,47.0,0.188
Cameroon,2020-08,2020,45,4877.581700000001,20,54.0,0.242
Cameroon,2020-09,2020,45,4877.581700000001,20,62.0,0.24
Cameroon,2020-10,2020,45,4877.581700000001,20,71.0,0.131
Cameroon,2020-11,2020,45,4877.581700000001,20,58.0,-0.039
Cameroon,2020-12,2020,45,4877.581700000001,20,68.0,-0.086
Cameroon,2021-01,2021,47,2691.1237000000006,21,65.0,0.099
Cameroon,2021-02,2021,47,2691.1237000000006,21,69.0,0.242
Cameroon,2021-03,2021,47,2691.1237000000006,21,90.0,-0.066
Cameroon,2021-04,2021,47,2691.1237000000006,21,67.0,0.196
Cameroon,2021-05,2021,47,2691.1237000000006,21,69.0,0.048
Cameroon,2021-06,2021,47,2691.1237000000006,21,76.0,0.043
Cameroon,2021-07,2021,47,2691.1237000000006,21,59.0,0.022
Cameroon,2021-08,2021,47,2691.1237000000006,21,61.0,0.061
Cameroon,2021-09,2021,47,2691.1237000000006,21,67.0,0.112
Cameroon,2021-10,2021,47,2691.1237000000006,21,66.0,0.036
Cameroon,2021-11,2021,47,2691.1237000000006,21,38.0,0.047
Cameroon,2021-12,2021,47,2691.1237000000006,21,63.0,-0.077
Cameroon,2022-01,2022,49,1636.9624,26,68.0,0.194
Cameroon,2022-02,2022,49,1636.9624,26,58.0,0.117
Cameroon,2022-03,2022,49,1636.9624,26,60.0,0.103
Cameroon,2022-04,2022,49,1636.9624,26,55.0,-0.038
Cameroon,2022-05,2022,49,1636.9624,26,49.0,0.021
Cameroon,2022-06,2022,49,1636.9624,26,73.0,0.069
Cameroon,2022-07,2022,49,1636.9624,26,63.0,0.115
Cameroon,2022-08,2022,49,1636.9624,26,61.0,0.245
Cameroon,2022-09,2022,49,1636.9624,26,50.0,0.012
Cameroon,2022-10,2022,49,1636.9624,26,73.0,-0.011
Cameroon,2022-11,2022,49,1636.9624,26,53.0,0.122
Cameroon,2022-12,2022,49,1636.9624,26,58.0,-0.024
Cameroon,2023-01,2023,48,1903.7612000000001,19,61.0,0.083
Cameroon,2023-02,2023,48,1903.7612000000001,19,75.0,0.18
Cameroon,2023-03,2023,48,1903.7612000000001,19,76.0,0.167
Cameroon,2023-04,2023,48,1903.7612000000001,19,65.0,-0.121
Cameroon,2023-05,2023,48,1903.7612000000001,19,63.0,-0.146
Cameroon,2023-06,2023,48,1903.7612000000001,19,52.0,0.058
Cameroon,2023-07,2023,48,1903.7612000000001,19,80.0,0.141
Cameroon,2023-08,2023,48,1903.7612000000001,19,64.0,0.15
Cameroon,2023-09,2023,48,1903.7612000000001,19,72.0,-0.157
Cameroon,2023-10,2023,48,1903.7612000000001,19,75.0,0.056
Cameroon,2023-11,2023,48,1903.7612000000001,19,63.0,-0.092
Cameroon,2023-12,2023,48,1903.7612000000001,19,51.0,0.173
Cameroon,2024-01,2024,51,2229.2382000000002,22,44.0,0.2
Cameroon,2024-02,2024,51,2229.2382000000002,22,79.0,0.127
Cameroon,2024-03,2024,51,2229.2382000000002,22,75.0,0.056
Cameroon,2024-04,2024,51,2229.2382000000002,22,76.0,-0.102
Cameroon,2024-05,2024,51,2229.2382000000002,22,83.0,0.258
Cameroon,2024-06,2024,51,2229.2382000000002,22,49.0,-0.046
Cameroon,2024-07,2024,51,2229.2382000000002,22,65.0,0.259
Cameroon,2024-08,2024,51,2229.2382000000002,22,73.0,-0.04
Cameroon,2024-09,2024,51,2229.2382000000002,22,88.0,0.124
Cameroon,2024-10,2024,51,2229.2382000000002,22,100.0,0.159
Cameroon,2024-11,2024,51,2229.2382000000002,22,73.0,-0.088
Cameroon,2024-12,2024,51,2229.2382000000002,22,76.0,-0.011
Ethiopia,2018-01,2018,16,3952.479100000001,2,36.0,0.349
Ethiopia,2018-02,2018,16,3952.479100000001,2,42.0,0.351
Ethiopia,2018-03,2018,16,3952.479100000001,2,38.0,0.016
Ethiopia,2018-04,2018,16,3952.479100000001,2,27.0,0.078
Ethiopia,2018-05,2018,16,3952.479100000001,2,55.0,-0.009
Ethiopia,2018-06,2018,16,3952.479100000001,2,46.0,0.155
Ethiopia,2018-07,2018,16,3952.479100000001,2,31.0,0.207
Ethiopia,2018-08,2018,16,3952.479100000001,2,33.0,-0.035
Ethiopia,2018-09,2018,16,3952.479100000001,2,30.0,0.109
Ethiopia,2018-10,2018,16,3952.479100000001,2,28.0,0.068
Ethiopia,2018-11,2018,16,3952.479100000001,2,37.0,-0.141
Ethiopia,2018-12,2018,16,3952.479100000001,2,22.0,0.107
Ethiopia,2019-01,2019,17,2684.1332,8,26.0,0.018
Ethiopia,2019-02,2019,17,2684.1332,8,30.0,0.122
Ethiopia,2019-03,2019,17,2684.1332,8,38.0,0.25
Ethiopia,2019-04,2019,17,2684.1332,8,28.0,-0.051
Ethiopia,2019-05,2019,17,2684.1332,8,31.0,0.072
Ethiopia,2019-06,2019,17,2684.1332,8,39.0,-0.095
Ethiopia,2019-07,2019,17,2684.1332,8,43.0,0.376
Ethiopia,2019-08,2019,17,2684.1332,8,40.0,0.183
