as_of,country,firm,vertical,revenue_usd,revenue_growth_pct,net_income_usd,burn_rate_usd,funding_stage,funding_total_usd,active_users,tx_volume_usd,tx_count,agents,cac_usd,churn_rate_pct,regulatory_sanction,distress_label
2019-01-01,Nigeria,Flutterwave,Lending,3120176.81,-8.46,-720925.37,720925.37,Series B,85401372.97,419223,107861673.13,296987,9007,1.98,0.415,0,0
2019-02-01,Nigeria,Flutterwave,Lending,3172167.32,1.67,-494742.15,494742.15,Series B,85401372.97,439137,124425115.85,309780,9084,1.04,0.32,0,0
2019-03-01,Nigeria,Flutterwave,Lending,3080068.44,-2.9,-164297.36,164297.36,Series B,85401372.97,463596,136400136.95,313734,9130,1.23,0.54,0,0
2019-04-01,Nigeria,Flutterwave,Lending,3554596.24,15.41,-299662.63,299662.63,Series B,85401372.97,500294,157601452.53,332465,9136,1.82,0.591,0,0
2019-05-01,Nigeria,Flutterwave,Lending,4097499.07,15.27,198419.83,-0.0,Series B,85401372.97,503654,161985628.51,329513,9181,2.47,0.53,0,0
2019-06-01,Nigeria,Flutterwave,Lending,4179160.33,1.99,609650.98,-0.0,Series B,85401372.97,507897,163005484.32,334169,9359,0.5,1.201,0,0
2019-07-01,Nigeria,Flutterwave,Lending,3830526.71,-8.34,-430144.74,430144.74,Series B,85401372.97,539168,166038661.24,346484,9506,0.89,1.398,0,0
2019-08-01,Nigeria,Flutterwave,Lending,3487621.78,-8.95,284787.19,-0.0,Series B,85401372.97,556404,153793026.31,355358,9588,1.88,0.711,0,0
2019-09-01,Nigeria,Flutterwave,Lending,2871687.01,-17.66,-161237.59,161237.59,Series B,85401372.97,561336,142449776.09,349597,9442,1.9,0.692,0,0
2019-10-01,Nigeria,Flutterwave,Lending,2794394.64,-2.69,154969.57,-0.0,Series B,85401372.97,542118,128180235.67,341292,9529,2.06,1.07,0,0
2019-11-01,Nigeria,Flutterwave,Lending,2844408.77,1.79,85004.23,-0.0,Series B,85401372.97,500027,114639693.14,315387,9481,2.36,0.797,1,0
2019-12-01,Nigeria,Flutterwave,Lending,2750519.73,-3.3,147478.26,-0.0,Series B,85401372.97,502574,114554785.24,307401,9536,1.57,1.22,0,0
2020-01-01,Nigeria,Flutterwave,Lending,2169143.3,-21.14,-265600.07,265600.07,Series B,85401372.97,496947,117125698.0,311940,9579,1.63,0.738,0,0
2020-02-01,Nigeria,Flutterwave,Lending,2784089.21,28.35,-1448067.42,1448067.42,Series B,85401372.97,522370,129241830.79,318901,9722,2.14,1.342,0,0
2020-03-01,Nigeria,Flutterwave,Lending,2901559.82,4.22,34891.05,-0.0,Series B,85401372.97,544844,142705522.49,328425,9843,1.22,1.868,0,0
2020-04-01,Nigeria,Flutterwave,Lending,2747449.36,-5.31,438886.66,-0.0,Series B,85401372.97,526610,154904696.79,317488,10018,2.17,0.459,0,0
2020-05-01,Nigeria,Flutterwave,Lending,2863760.1,4.23,-901872.55,901872.55,Series B,85401372.97,528910,164932590.9,307820,10067,2.11,1.155,0,0
2020-06-01,Nigeria,Flutterwave,Lending,2845945.88,-0.62,-719321.44,719321.44,Series B,85401372.97,511062,157455937.84,298050,10018,1.92,0.903,0,0
2020-07-01,Nigeria,Flutterwave,Lending,3153945.19,10.82,477827.29,-0.0,Series B,85401372.97,521687,156963545.36,298599,9934,1.89,0.557,0,0
2020-08-01,Nigeria,Flutterwave,Lending,3512078.22,11.36,67727.57,-0.0,Series B,85401372.97,542165,153479573.37,301572,10068,1.89,1.068,0,0
2020-09-01,Nigeria,Flutterwave,Lending,3270624.41,-6.87,-264964.14,264964.14,Series B,85401372.97,564671,145964410.81,307169,9935,1.29,0.2,0,0
2020-10-01,Nigeria,Flutterwave,Lending,3442004.73,5.24,11022.07,-0.0,Series B,85401372.97,593778,135422771.47,313460,9887,2.44,0.999,0,0
2020-11-01,Nigeria,Flutterwave,Lending,2337832.54,-32.08,-885492.36,885492.36,Series B,85401372.97,598896,130847249.1,302511,9985,1.15,0.384,0,1
2020-12-01,Nigeria,Flutterwave,Lending,2315109.81,-0.97,-452251.35,452251.35,Series B,85401372.97,644847,140456906.34,315448,9987,1.41,0.2,0,0
2021-01-01,Nigeria,Flutterwave,Lending,2951802.63,27.5,-1114836.62,1114836.62,Series B,85401372.97,664661,153309992.36,322973,10208,1.51,0.52,0,0
2021-02-01,Nigeria,Flutterwave,Lending,3475623.71,17.75,-222588.76,222588.76,Series B,85401372.97,648323,165394584.53,310338,10542,1.12,1.183,0,0
2021-03-01,Nigeria,Flutterwave,Lending,3803008.4,9.42,-587234.67,587234.67,Series B,85401372.97,659601,183298302.22,311264,10667,1.55,0.375,0,0
2021-04-01,Nigeria,Flutterwave,Lending,3489887.07,-8.23,431807.94,-0.0,Series B,85401372.97,658542,196796957.92,304883,10726,0.63,1.15,0,0
2021-05-01,Nigeria,Flutterwave,Lending,4112709.85,17.85,243108.23,-0.0,Series B,85401372.97,678515,218014680.16,314295,10691,1.83,1.148,0,0
2021-06-01,Nigeria,Flutterwave,Lending,4232287.06,2.91,-4253.95,4253.95,Series B,85401372.97,677502,220199578.4,313012,10708,1.27,0.866,0,0
2021-07-01,Nigeria,Flutterwave,Lending,3281884.52,-22.46,-645000.47,645000.47,Series B,85401372.97,667123,215686584.76,310869,10707,2.32,0.517,0,0
2021-08-01,Nigeria,Flutterwave,Lending,3641226.5,10.95,148329.69,-0.0,Series B,85401372.97,711680,217453973.57,330181,10893,1.34,1.154,0,0
2021-09-01,Nigeria,Flutterwave,Lending,4269434.01,17.25,-384281.62,384281.62,Series B,85401372.97,727353,212222016.21,333812,11026,0.81,0.914,0,0
2021-10-01,Nigeria,Flutterwave,Lending,3615647.04,-15.31,825653.3,-0.0,Series B,85401372.97,742340,200165442.36,341711,11164,2.44,1.211,0,0
2021-11-01,Nigeria,Flutterwave,Lending,2691161.81,-25.57,-572204.82,572204.82,Series B,85401372.97,747076,186867701.63,333208,11333,2.26,0.582,0,1
2021-12-01,Nigeria,Flutterwave,Lending,2347943.77,-12.75,-424288.25,424288.25,Series B,85401372.97,764522,187332196.4,336734,11460,1.71,0.713,0,0
2022-01-01,Nigeria,Flutterwave,Lending,3402981.91,44.93,136745.33,-0.0,Series B,85401372.97,798756,211169766.3,350169,11528,1.3,0.348,0,0
2022-02-01,Nigeria,Flutterwave,Lending,4534030.08,33.24,113494.6,-0.0,Series B,85401372.97,788079,221477473.31,351020,11564,1.01,0.553,0,0
2022-03-01,Nigeria,Flutterwave,Lending,4440882.0,-2.05,825136.49,-0.0,Series B,85401372.97,785892,244448477.05,345597,11632,1.15,1.071,0,0
