building_id,component,material,mass_kg
B00001,walls,steel,2453186.2676058346
B00001,roof,membrane,12296.673020580625
B00001,windows,glass,219034.48817909238
B00001,envelope_insulation,insulation_mineral_wool,503575.4227187088
B00002,walls,concrete,11887033.298110057
B00002,roof,bitumen,25796.513233745784
B00002,windows,glass,154779.0794024747
B00002,envelope_insulation,insulation_eps,272012.77392394125
B00003,walls,steel,1456081.8491808348
B00003,roof,tile,86671.53864171637
B00003,windows,glass,130007.30796257453
B00003,envelope_insulation,insulation_mineral_wool,329518.6846796946
B00004,walls,steel,1229985.1552906588
B00004,roof,bitumen,10459.057442947778
B00004,windows,glass,109820.10315095168
B00004,envelope_insulation,insulation_mineral_wool,298759.92047943606
B00005,walls,wood,513907.03382815095
B00005,roof,membrane,1784.3994230144133
B00005,windows,glass,26765.991345216196
B00005,envelope_insulation,insulation_mineral_wool,70176.35061257865
B00006,walls,steel,2858990.603365379
B00006,roof,membrane,20944.986105240874
B00006,windows,glass,255267.01815762313
B00006,envelope_insulation,insulation_mineral_wool,581530.6025930053
B00007,walls,aerated_concrete,1041131.7626863067
B00007,roof,metal,21690.245055964726
B00007,windows,glass,27112.806319955904
B00007,envelope_insulation,insulation_mineral_wool,91563.9055461925
B00008,walls,concrete,10933399.301390303
B00008,roof,bitumen,14601.227699506282
B00008,windows,glass,142361.97007018625
B00008,envelope_insulation,insulation_mineral_wool,344876.48297846445
B00009,walls,steel,1204450.813039643
B00009,roof,bitumen,28677.400310467696
B00009,windows,glass,107540.25116425384
B00009,envelope_insulation,insulation_eps,284029.6345877254
B00010,walls,aerated_concrete,3223431.717962623
B00010,roof,bitumen,15989.244632751106
B00010,windows,glass,83943.53432194331
B00010,envelope_insulation,insulation_mineral_wool,230539.80026102785
B00011,walls,concrete,10928083.11270551
B00011,roof,metal,71146.3744316765
B00011,windows,glass,142292.748863353
B00011,envelope_insulation,insulation_eps,246949.36634024323
B00012,walls,wood,4703810.495853883
B00012,roof,bitumen,21776.900443767983
B00012,windows,glass,244990.12999238976
B00012,envelope_insulation,insulation_eps,454728.61257017264
B00013,walls,steel,790755.694099166
B00013,roof,metal,70603.18697313982
B00013,windows,glass,70603.18697313982
B00013,envelope_insulation,insulation_mineral_wool,185009.6451969718
B00014,walls,aerated_concrete,13271301.171670126
B00014,roof,membrane,19402.48709308498
B00014,windows,glass,345606.8013455762
B00014,envelope_insulation,insulation_mineral_wool,1040342.8455845461
B00015,walls,aerated_concrete,1334503.262266395
B00015,roof,tile,59576.03849403549
B00015,windows,glass,34752.6891215207
B00015,envelope_insulation,insulation_mineral_wool,102807.76539233394
B00016,walls,concrete,246393.95811580075
B00016,roof,bitumen,855.5345767909749
B00016,windows,glass,3208.2546629661556
B00016,envelope_insulation,insulation_eps,6819.684909057913
B00017,walls,brick,1176154.31158131
B00017,roof,bitumen,3203.0346175961604
B00017,windows,glass,21620.48366877408
B00017,envelope_insulation,insulation_mineral_wool,49897.45731103743
B00018,walls,steel,2027200.5258236553
B00018,roof,metal,80444.46531046252
B00018,windows,glass,181000.04694854064
B00018,envelope_insulation,insulation_mineral_wool,446718.8471395287
B00019,walls,steel,286513.8601423146
B00019,roof,membrane,5457.406859853611
B00019,windows,glass,25581.594655563804
B00019,envelope_insulation,insulation_eps,55643.107387929784
B00020,walls,aerated_concrete,10981576.08508586
B00020,roof,tile,190652.36258829618
B00020,windows,glass,285978.54388244427
B00020,envelope_insulation,insulation_mineral_wool,792214.940476302
B00021,walls,steel,1227516.22063245
B00021,roof,tile,146132.883408625
B00021,windows,glass,109599.66255646876
B00021,envelope_insulation,insulation_mineral_wool,282001.39893705054
B00022,walls,wood,597473.7284363727
