signal_id,rms_amplitude,peak_amplitude,crest_factor,kurtosis,skewness,zero_crossing_rate,spectral_centroid_hz,spectral_bandwidth_hz,spectral_rolloff_hz,mfcc_1,mfcc_2,mfcc_3,fundamental_frequency_hz,harmonic_ratio,noise_ratio_db,leak_probability,leak_location_estimate_m,processing_method
ESC001,0.245,0.892,3.64,2.85,0.12,0.045,1250.5,485.2,2850.0,12.5,−8.3,4.7,1000.0,0.78,−15.2,0.15,2.3,fft_analysis
ESC002,0.312,1.125,3.61,3.12,−0.08,0.052,1875.8,625.7,3420.0,15.2,−6.8,3.9,1500.0,0.82,−12.8,0.08,4.7,fft_analysis
ESC003,0.189,0.745,3.94,2.45,0.25,0.038,2250.2,742.1,4125.0,18.7,−9.5,5.2,2000.0,0.75,−18.5,0.22,1.8,fft_analysis
ESC004,0.278,0.985,3.54,2.98,−0.15,0.048,1650.3,558.9,3250.0,14.8,−7.2,4.1,1250.0,0.80,−14.1,0.12,3.5,fft_analysis
ESC005,0.356,1.245,3.50,3.25,0.05,0.055,2125.7,685.4,3875.0,16.9,−5.9,3.6,1750.0,0.85,−11.5,0.05,6.2,fft_analysis
ESC006,0.198,0.825,4.17,2.15,0.32,0.035,2850.5,892.3,4950.0,21.3,−10.8,6.1,2500.0,0.72,−20.8,0.28,1.2,fft_analysis
ESC007,0.425,1.485,3.49,3.58,−0.22,0.062,1425.8,512.7,2975.0,13.6,−6.1,3.8,1100.0,0.88,−9.8,0.03,8.1,wavelet_analysis
ESC008,0.289,1.058,3.66,2.78,0.18,0.046,1950.2,642.5,3650.0,17.4,−8.7,4.9,1600.0,0.76,−16.3,0.18,2.9,wavelet_analysis
ESC009,0.367,1.325,3.61,3.15,−0.11,0.058,2475.6,758.9,4225.0,19.8,−7.4,4.3,2100.0,0.83,−13.2,0.09,5.4,wavelet_analysis
ESC010,0.234,0.895,3.82,2.62,0.28,0.041,2750.3,825.1,4750.0,22.1,−9.9,5.8,2300.0,0.74,−19.1,0.25,1.6,wavelet_analysis
ESC011,0.312,1.158,3.71,2.95,0.02,0.049,1725.4,598.6,3425.0,15.7,−7.8,4.5,1350.0,0.79,−15.8,0.14,3.2,stft_analysis
ESC012,0.278,1.025,3.69,2.88,−0.19,0.047,2085.7,672.3,3925.0,18.2,−8.1,4.7,1850.0,0.77,−16.5,0.17,2.7,stft_analysis
ESC013,0.389,1.395,3.58,3.22,0.14,0.056,2325.9,715.8,4175.0,20.5,−6.5,3.9,1950.0,0.84,−12.4,0.07,5.8,stft_analysis
ESC014,0.245,0.925,3.78,2.55,0.31,0.042,2625.1,798.4,4625.0,23.8,−10.2,6.3,2200.0,0.73,−20.2,0.26,1.4,stft_analysis
ESC015,0.356,1.285,3.61,3.08,−0.07,0.054,1825.6,615.2,3575.0,16.3,−7.6,4.2,1450.0,0.81,−14.7,0.11,4.1,hilbert_transform
