measurement_id,sensor_pair,lag_samples,lag_time_s,correlation_coefficient,max_correlation,max_lag_samples,max_lag_time_s,time_delay_estimate_s,confidence_interval_s,sampling_rate_hz,signal_length_samples,flow_velocity_estimate_ms,sensor_distance_m
CC001,S001_S002,−500,−0.01,0.25,0.87,−125,−0.0025,0.0025,0.0003,50000,25000,0.4,0.001
CC002,S001_S002,−400,−0.008,0.32,0.87,−125,−0.0025,0.0025,0.0003,50000,25000,0.4,0.001
CC003,S001_S002,−300,−0.006,0.45,0.87,−125,−0.0025,0.0025,0.0003,50000,25000,0.4,0.001
CC004,S001_S002,−200,−0.004,0.68,0.87,−125,−0.0025,0.0025,0.0003,50000,25000,0.4,0.001
CC005,S001_S002,−125,−0.0025,0.87,0.87,−125,−0.0025,0.0025,0.0003,50000,25000,0.4,0.001
CC006,S001_S002,−100,−0.002,0.82,0.87,−125,−0.0025,0.0025,0.0003,50000,25000,0.4,0.001
CC007,S001_S002,0,0,0.45,0.87,−125,−0.0025,0.0025,0.0003,50000,25000,0.4,0.001
CC008,S001_S002,100,0.002,0.28,0.87,−125,−0.0025,0.0025,0.0003,50000,25000,0.4,0.001
CC009,S001_S002,200,0.004,0.15,0.87,−125,−0.0025,0.0025,0.0003,50000,25000,0.4,0.001
CC010,S001_S002,300,0.006,0.08,0.87,−125,−0.0025,0.0025,0.0003,50000,25000,0.4,0.001
CC011,S002_S003,−750,−0.015,0.18,0.92,−187,−0.00374,0.00374,0.0004,50000,25000,0.534,0.002
CC012,S002_S003,−500,−0.01,0.35,0.92,−187,−0.00374,0.00374,0.0004,50000,25000,0.534,0.002
CC013,S002_S003,−300,−0.006,0.58,0.92,−187,−0.00374,0.00374,0.0004,50000,25000,0.534,0.002
CC014,S002_S003,−187,−0.00374,0.92,0.92,−187,−0.00374,0.00374,0.0004,50000,25000,0.534,0.002
CC015,S002_S003,−100,−0.002,0.78,0.92,−187,−0.00374,0.00374,0.0004,50000,25000,0.534,0.002
CC016,S002_S003,0,0,0.42,0.92,−187,−0.00374,0.00374,0.0004,50000,25000,0.534,0.002
CC017,S002_S003,200,0.004,0.22,0.92,−187,−0.00374,0.00374,0.0004,50000,25000,0.534,0.002
CC018,S002_S003,400,0.008,0.11,0.92,−187,−0.00374,0.00374,0.0004,50000,25000,0.534,0.002
CC019,S003_S004,−1000,−0.02,0.12,0.85,−250,−0.005,0.005,0.0005,50000,25000,0.6,0.003
CC020,S003_S004,−500,−0.01,0.28,0.85,−250,−0.005,0.005,0.0005,50000,25000,0.6,0.003
CC021,S003_S004,−250,−0.005,0.85,0.85,−250,−0.005,0.005,0.0005,50000,25000,0.6,0.003
CC022,S003_S004,0,0,0.38,0.85,−250,−0.005,0.005,0.0005,50000,25000,0.6,0.003
CC023,S003_S004,250,0.005,0.18,0.85,−250,−0.005,0.005,0.0005,50000,25000,0.6,0.003
CC024,S003_S004,500,0.01,0.09,0.85,−250,−0.005,0.005,0.0005,50000,25000,0.6,0.003
CC025,S003_S004,750,0.015,0.05,0.85,−250,−0.005,0.005,0.0005,50000,25000,0.6,0.003
