rubber_content,temperature,specimen_condition,pore_connectivity,crack_connectivity,overall_connectivity,pore_percolates,crack_percolates,euler_number,coordination_number,mean_throat_diameter_um,constrictivity,formation_factor,tortuosity_factor,effective_diffusivity_ratio,permeability_enhancement_factor,critical_path_length_mm,connectivity_density_per_mm3,specimen_id,analysis_algorithm,voxel_resolution_um
0,20,before_heating,0.7,0.1,0.7,True,False,-450.0,5.8,10.0,0.29000000000000004,1.7074694419062768,1.4285714285714286,0.5262310526550318,0.3429999999999999,28.571428571428573,700.0,CON_0_20_before,burning_algorithm,10
0,100,before_heating,0.7,0.1,0.7,True,False,-450.0,5.8,10.0,0.29000000000000004,1.7074694419062768,1.4285714285714286,0.5262310526550318,0.3429999999999999,28.571428571428573,700.0,CON_0_100_before,burning_algorithm,10
0,100,after_heating,0.75,0.15,0.825,True,False,-512.5,6.3,10.0,0.25250000000000006,1.3345015334864978,1.2121212121212122,0.7073219041291797,0.561515625,24.242424242424242,825.0,CON_0_100_after_,burning_algorithm,10
0,200,before_heating,0.7,0.1,0.7,True,False,-450.0,5.8,10.0,0.29000000000000004,1.7074694419062768,1.4285714285714286,0.5262310526550318,0.3429999999999999,28.571428571428573,700.0,CON_0_200_before,burning_algorithm,10
0,200,after_heating,0.75,0.15,0.825,True,False,-512.5,6.3,10.0,0.25250000000000006,1.3345015334864978,1.2121212121212122,0.7073219041291797,0.561515625,24.242424242424242,825.0,CON_0_200_after_,burning_algorithm,10
0,300,before_heating,0.7,0.1,0.7,True,False,-450.0,5.8,10.0,0.29000000000000004,1.7074694419062768,1.4285714285714286,0.5262310526550318,0.3429999999999999,28.571428571428573,700.0,CON_0_300_before,burning_algorithm,10
0,300,after_heating,0.8749999999999999,0.35,0.98,True,True,-590.0,6.92,10.0,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_0_300_after_,burning_algorithm,10
0,400,before_heating,0.7,0.1,0.7,True,False,-450.0,5.8,10.0,0.29000000000000004,1.7074694419062768,1.4285714285714286,0.5262310526550318,0.3429999999999999,28.571428571428573,700.0,CON_0_400_before,burning_algorithm,10
0,400,after_heating,0.95,0.5,0.98,True,True,-590.0,6.92,12.0,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_0_400_after_,burning_algorithm,10
0,500,before_heating,0.7,0.1,0.7,True,False,-450.0,5.8,10.0,0.29000000000000004,1.7074694419062768,1.4285714285714286,0.5262310526550318,0.3429999999999999,28.571428571428573,700.0,CON_0_500_before,burning_algorithm,10
0,500,after_heating,1.05,0.7,0.98,True,True,-590.0,6.92,14.0,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_0_500_after_,burning_algorithm,10
0,600,before_heating,0.7,0.1,0.7,True,False,-450.0,5.8,10.0,0.29000000000000004,1.7074694419062768,1.4285714285714286,0.5262310526550318,0.3429999999999999,28.571428571428573,700.0,CON_0_600_before,burning_algorithm,10
0,600,after_heating,1.15,0.9,0.98,True,True,-590.0,6.92,16.0,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_0_600_after_,burning_algorithm,10
0,700,before_heating,0.7,0.1,0.7,True,False,-450.0,5.8,10.0,0.29000000000000004,1.7074694419062768,1.4285714285714286,0.5262310526550318,0.3429999999999999,28.571428571428573,700.0,CON_0_700_before,burning_algorithm,10
0,700,after_heating,0.95,0.9500000000000001,0.98,True,True,-590.0,6.92,18.0,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_0_700_after_,burning_algorithm,10
0,800,before_heating,0.7,0.1,0.7,True,False,-450.0,5.8,10.0,0.29000000000000004,1.7074694419062768,1.4285714285714286,0.5262310526550318,0.3429999999999999,28.571428571428573,700.0,CON_0_800_before,burning_algorithm,10
0,800,after_heating,0.95,0.99,0.98,True,True,-590.0,6.92,20.0,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_0_800_after_,burning_algorithm,10
5,20,before_heating,0.725,0.1,0.725,True,False,-462.5,5.9,12.5,0.2825,1.6199178469371132,1.3793103448275863,0.560542326657282,0.381078125,27.586206896551726,725.0,CON_5_20_before,burning_algorithm,10
5,100,before_heating,0.725,0.1,0.725,True,False,-462.5,5.9,12.5,0.2825,1.6199178469371132,1.3793103448275863,0.560542326657282,0.381078125,27.586206896551726,725.0,CON_5_100_before,burning_algorithm,10
5,100,after_heating,0.775,0.15,0.85,True,False,-525.0,6.4,12.5,0.245,1.2760615165803306,1.1764705882352942,0.746369813472316,0.6141249999999999,23.529411764705884,850.0,CON_5_100_after_,burning_algorithm,10
5,200,before_heating,0.725,0.1,0.725,True,False,-462.5,5.9,12.5,0.2825,1.6199178469371132,1.3793103448275863,0.560542326657282,0.381078125,27.586206896551726,725.0,CON_5_200_before,burning_algorithm,10
5,200,after_heating,0.775,0.15,0.85,True,False,-525.0,6.4,12.5,0.245,1.2760615165803306,1.1764705882352942,0.746369813472316,0.6141249999999999,23.529411764705884,850.0,CON_5_200_after_,burning_algorithm,10
5,300,before_heating,0.725,0.1,0.725,True,False,-462.5,5.9,12.5,0.2825,1.6199178469371132,1.3793103448275863,0.560542326657282,0.381078125,27.586206896551726,725.0,CON_5_300_before,burning_algorithm,10
5,300,after_heating,0.8999999999999999,0.35,0.98,True,True,-590.0,6.92,12.5,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_5_300_after_,burning_algorithm,10
5,400,before_heating,0.725,0.1,0.725,True,False,-462.5,5.9,12.5,0.2825,1.6199178469371132,1.3793103448275863,0.560542326657282,0.381078125,27.586206896551726,725.0,CON_5_400_before,burning_algorithm,10
5,400,after_heating,0.975,0.5,0.98,True,True,-590.0,6.92,14.5,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_5_400_after_,burning_algorithm,10
5,500,before_heating,0.725,0.1,0.725,True,False,-462.5,5.9,12.5,0.2825,1.6199178469371132,1.3793103448275863,0.560542326657282,0.381078125,27.586206896551726,725.0,CON_5_500_before,burning_algorithm,10
5,500,after_heating,1.075,0.7,0.98,True,True,-590.0,6.92,16.5,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_5_500_after_,burning_algorithm,10
5,600,before_heating,0.725,0.1,0.725,True,False,-462.5,5.9,12.5,0.2825,1.6199178469371132,1.3793103448275863,0.560542326657282,0.381078125,27.586206896551726,725.0,CON_5_600_before,burning_algorithm,10
5,600,after_heating,1.175,0.9,0.98,True,True,-590.0,6.92,18.5,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_5_600_after_,burning_algorithm,10
5,700,before_heating,0.725,0.1,0.725,True,False,-462.5,5.9,12.5,0.2825,1.6199178469371132,1.3793103448275863,0.560542326657282,0.381078125,27.586206896551726,725.0,CON_5_700_before,burning_algorithm,10
5,700,after_heating,0.95,0.9500000000000001,0.98,True,True,-590.0,6.92,20.5,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_5_700_after_,burning_algorithm,10
5,800,before_heating,0.725,0.1,0.725,True,False,-462.5,5.9,12.5,0.2825,1.6199178469371132,1.3793103448275863,0.560542326657282,0.381078125,27.586206896551726,725.0,CON_5_800_before,burning_algorithm,10
5,800,after_heating,0.95,0.99,0.98,True,True,-590.0,6.92,22.5,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_5_800_after_,burning_algorithm,10
10,20,before_heating,0.75,0.1,0.75,True,False,-475.0,6.0,15.0,0.275,1.539600717839002,1.3333333333333333,0.5958134105899568,0.421875,26.666666666666668,750.0,CON_10_20_before,burning_algorithm,10
10,100,before_heating,0.75,0.1,0.75,True,False,-475.0,6.0,15.0,0.275,1.539600717839002,1.3333333333333333,0.5958134105899568,0.421875,26.666666666666668,750.0,CON_10_100_before,burning_algorithm,10
10,100,after_heating,0.8,0.15,0.875,True,False,-537.5,6.5,15.0,0.2375,1.22176567731394,1.1428571428571428,0.7863474729277848,0.669921875,22.857142857142858,875.0,CON_10_100_after_,burning_algorithm,10
10,200,before_heating,0.75,0.1,0.75,True,False,-475.0,6.0,15.0,0.275,1.539600717839002,1.3333333333333333,0.5958134105899568,0.421875,26.666666666666668,750.0,CON_10_200_before,burning_algorithm,10
10,200,after_heating,0.8,0.15,0.875,True,False,-537.5,6.5,15.0,0.2375,1.22176567731394,1.1428571428571428,0.7863474729277848,0.669921875,22.857142857142858,875.0,CON_10_200_after_,burning_algorithm,10
10,300,before_heating,0.75,0.1,0.75,True,False,-475.0,6.0,15.0,0.275,1.539600717839002,1.3333333333333333,0.5958134105899568,0.421875,26.666666666666668,750.0,CON_10_300_before,burning_algorithm,10
10,300,after_heating,0.9249999999999999,0.35,0.98,True,True,-590.0,6.92,15.0,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_10_300_after_,burning_algorithm,10
10,400,before_heating,0.75,0.1,0.75,True,False,-475.0,6.0,15.0,0.275,1.539600717839002,1.3333333333333333,0.5958134105899568,0.421875,26.666666666666668,750.0,CON_10_400_before,burning_algorithm,10
10,400,after_heating,1.0,0.5,0.98,True,True,-590.0,6.92,17.0,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_10_400_after_,burning_algorithm,10
10,500,before_heating,0.75,0.1,0.75,True,False,-475.0,6.0,15.0,0.275,1.539600717839002,1.3333333333333333,0.5958134105899568,0.421875,26.666666666666668,750.0,CON_10_500_before,burning_algorithm,10
10,500,after_heating,1.1,0.7,0.98,True,True,-590.0,6.92,19.0,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_10_500_after_,burning_algorithm,10
10,600,before_heating,0.75,0.1,0.75,True,False,-475.0,6.0,15.0,0.275,1.539600717839002,1.3333333333333333,0.5958134105899568,0.421875,26.666666666666668,750.0,CON_10_600_before,burning_algorithm,10
10,600,after_heating,1.2,0.9,0.98,True,True,-590.0,6.92,21.0,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_10_600_after_,burning_algorithm,10
10,700,before_heating,0.75,0.1,0.75,True,False,-475.0,6.0,15.0,0.275,1.539600717839002,1.3333333333333333,0.5958134105899568,0.421875,26.666666666666668,750.0,CON_10_700_before,burning_algorithm,10
10,700,after_heating,0.95,0.9500000000000001,0.98,True,True,-590.0,6.92,23.0,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_10_700_after_,burning_algorithm,10
10,800,before_heating,0.75,0.1,0.75,True,False,-475.0,6.0,15.0,0.275,1.539600717839002,1.3333333333333333,0.5958134105899568,0.421875,26.666666666666668,750.0,CON_10_800_before,burning_algorithm,10
10,800,after_heating,0.95,0.99,0.98,True,True,-590.0,6.92,25.0,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_10_800_after_,burning_algorithm,10
15,20,before_heating,0.7749999999999999,0.1,0.7749999999999999,True,False,-487.49999999999994,6.1,17.5,0.26750000000000007,1.4657079593472644,1.2903225806451615,0.6320378171695784,0.46548437499999984,25.806451612903228,774.9999999999999,CON_15_20_before,burning_algorithm,10
15,100,before_heating,0.7749999999999999,0.1,0.7749999999999999,True,False,-487.49999999999994,6.1,17.5,0.26750000000000007,1.4657079593472644,1.2903225806451615,0.6320378171695784,0.46548437499999984,25.806451612903228,774.9999999999999,CON_15_100_before,burning_algorithm,10
15,100,after_heating,0.825,0.15,0.8999999999999999,True,False,-550.0,6.6,17.5,0.23000000000000004,1.171213948210511,1.1111111111111112,0.8272495069561092,0.7289999999999998,22.222222222222225,899.9999999999999,CON_15_100_after_,burning_algorithm,10
15,200,before_heating,0.7749999999999999,0.1,0.7749999999999999,True,False,-487.49999999999994,6.1,17.5,0.26750000000000007,1.4657079593472644,1.2903225806451615,0.6320378171695784,0.46548437499999984,25.806451612903228,774.9999999999999,CON_15_200_before,burning_algorithm,10
15,200,after_heating,0.825,0.15,0.8999999999999999,True,False,-550.0,6.6,17.5,0.23000000000000004,1.171213948210511,1.1111111111111112,0.8272495069561092,0.7289999999999998,22.222222222222225,899.9999999999999,CON_15_200_after_,burning_algorithm,10
15,300,before_heating,0.7749999999999999,0.1,0.7749999999999999,True,False,-487.49999999999994,6.1,17.5,0.26750000000000007,1.4657079593472644,1.2903225806451615,0.6320378171695784,0.46548437499999984,25.806451612903228,774.9999999999999,CON_15_300_before,burning_algorithm,10
15,300,after_heating,0.9499999999999998,0.35,0.98,True,True,-590.0,6.92,17.5,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_15_300_after_,burning_algorithm,10
15,400,before_heating,0.7749999999999999,0.1,0.7749999999999999,True,False,-487.49999999999994,6.1,17.5,0.26750000000000007,1.4657079593472644,1.2903225806451615,0.6320378171695784,0.46548437499999984,25.806451612903228,774.9999999999999,CON_15_400_before,burning_algorithm,10
15,400,after_heating,1.025,0.5,0.98,True,True,-590.0,6.92,19.5,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_15_400_after_,burning_algorithm,10
15,500,before_heating,0.7749999999999999,0.1,0.7749999999999999,True,False,-487.49999999999994,6.1,17.5,0.26750000000000007,1.4657079593472644,1.2903225806451615,0.6320378171695784,0.46548437499999984,25.806451612903228,774.9999999999999,CON_15_500_before,burning_algorithm,10
15,500,after_heating,1.125,0.7,0.98,True,True,-590.0,6.92,21.5,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_15_500_after_,burning_algorithm,10
15,600,before_heating,0.7749999999999999,0.1,0.7749999999999999,True,False,-487.49999999999994,6.1,17.5,0.26750000000000007,1.4657079593472644,1.2903225806451615,0.6320378171695784,0.46548437499999984,25.806451612903228,774.9999999999999,CON_15_600_before,burning_algorithm,10
15,600,after_heating,1.2249999999999999,0.9,0.98,True,True,-590.0,6.92,23.5,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_15_600_after_,burning_algorithm,10
15,700,before_heating,0.7749999999999999,0.1,0.7749999999999999,True,False,-487.49999999999994,6.1,17.5,0.26750000000000007,1.4657079593472644,1.2903225806451615,0.6320378171695784,0.46548437499999984,25.806451612903228,774.9999999999999,CON_15_700_before,burning_algorithm,10
15,700,after_heating,0.95,0.9500000000000001,0.98,True,True,-590.0,6.92,25.5,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_15_700_after_,burning_algorithm,10
15,800,before_heating,0.7749999999999999,0.1,0.7749999999999999,True,False,-487.49999999999994,6.1,17.5,0.26750000000000007,1.4657079593472644,1.2903225806451615,0.6320378171695784,0.46548437499999984,25.806451612903228,774.9999999999999,CON_15_800_before,burning_algorithm,10
15,800,after_heating,0.95,0.99,0.98,True,True,-590.0,6.92,27.5,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_15_800_after_,burning_algorithm,10
20,20,before_heating,0.7999999999999999,0.1,0.7999999999999999,True,False,-499.99999999999994,6.199999999999999,20.0,0.26,1.3975424859373689,1.25,0.6692093136584147,0.5119999999999999,25.000000000000004,799.9999999999999,CON_20_20_before,burning_algorithm,10
20,100,before_heating,0.7999999999999999,0.1,0.7999999999999999,True,False,-499.99999999999994,6.199999999999999,20.0,0.26,1.3975424859373689,1.25,0.6692093136584147,0.5119999999999999,25.000000000000004,799.9999999999999,CON_20_100_before,burning_algorithm,10
20,100,after_heating,0.85,0.15,0.9249999999999999,True,False,-562.5,6.699999999999999,20.0,0.22250000000000003,1.124054583589268,1.0810810810810811,0.8690707212905054,0.7914531249999999,21.621621621621625,924.9999999999999,CON_20_100_after_,burning_algorithm,10
20,200,before_heating,0.7999999999999999,0.1,0.7999999999999999,True,False,-499.99999999999994,6.199999999999999,20.0,0.26,1.3975424859373689,1.25,0.6692093136584147,0.5119999999999999,25.000000000000004,799.9999999999999,CON_20_200_before,burning_algorithm,10
20,200,after_heating,0.85,0.15,0.9249999999999999,True,False,-562.5,6.699999999999999,20.0,0.22250000000000003,1.124054583589268,1.0810810810810811,0.8690707212905054,0.7914531249999999,21.621621621621625,924.9999999999999,CON_20_200_after_,burning_algorithm,10
