rubber_content,temperature,specimen_condition,crack_volume_fraction,crack_density_per_mm3,mean_crack_length_um,std_crack_length_um,max_crack_length_um,mean_crack_width_um,std_crack_width_um,mean_crack_aperture_um,crack_connectivity,preferred_orientation_deg,orientation_strength,fractal_dimension,total_crack_surface_area_mm2_per_mm3,crack_network_percolation,branching_frequency,crack_tortuosity,specimen_id,analysis_method,segmentation_threshold
0,20,before_heating,0.001,5.0,50.0,40.30227822015794,577.0598334019627,0.5,0.21797633766263116,0.525,0.1,64.9238495239206,0.2,1.55,309.75713496811477,0,0.5,1.08,CRK_0_20_before,3D_skeletonization,0.39045248297866575
0,100,before_heating,0.001,5.0,50.0,37.44220992823248,336.1353650023988,0.5,0.21587999219348522,0.525,0.1,60.70833795315265,0.2,1.55,319.7308277658475,0,0.5,1.08,CRK_0_100_before,3D_skeletonization,0.23278513047357763
0,100,after_heating,0.002,8.0,75.0,59.67305262492253,534.6078186958858,0.8,0.3654987909193126,0.86,0.15,98.44966391861814,0.2,1.575,1222.8340234885352,0,0.75,1.12,CRK_0_100_after_,3D_skeletonization,0.3978704994425861
0,200,before_heating,0.001,5.0,50.0,35.29136064615156,326.1363362004433,0.5,0.2164214675324918,0.525,0.1,10.924547476489806,0.2,1.55,315.1162243807397,0,0.5,1.08,CRK_0_200_before,3D_skeletonization,0.2154545663830151
0,200,after_heating,0.002,8.0,75.0,53.86081738772077,386.9301608763698,0.8,0.3450433310708471,0.86,0.15,98.51745477286953,0.2,1.575,1207.287012473044,0,0.75,1.12,CRK_0_200_after_,3D_skeletonization,0.3286757306472865
0,300,before_heating,0.001,5.0,50.0,41.52259177393861,400.00739890359785,0.5,0.23926639631631816,0.525,0.1,174.54953631050623,0.2,1.55,329.33501512078595,0,0.5,1.08,CRK_0_300_before,3D_skeletonization,0.32206423229785
0,300,after_heating,0.01,35.0,150.0,117.7269454324042,891.3241667179855,2.5,1.1239874870967785,3.0,0.4,37.747948945256454,0.6,1.7,33177.64729001245,0,2.0,1.32,CRK_0_300_after_,3D_skeletonization,0.38254737585787596
0,400,before_heating,0.001,5.0,50.0,43.43894467001019,394.83185560403854,0.5,0.22199545989295147,0.525,0.1,149.80505721431965,0.2,1.55,328.5326326649688,0,0.5,1.08,CRK_0_400_before,3D_skeletonization,0.26433015685518685
0,400,after_heating,0.015,50.0,200.0,160.91880730417722,1449.129162590215,3.5,1.6422442327422007,4.375,0.5,17.62675943840515,0.7,1.75,91729.51872194468,0,2.5,1.4,CRK_0_400_after_,3D_skeletonization,0.32061264771278253
0,500,before_heating,0.001,5.0,50.0,36.621071486010045,319.1143453806543,0.5,0.2355103792948882,0.525,0.1,34.02121452049123,0.2,1.55,325.24418326038625,0,0.5,1.08,CRK_0_500_before,3D_skeletonization,0.35192391101447895
0,500,after_heating,0.05,100.0,400.0,328.446976594871,2867.3398905711006,7.0,3.1806219545725494,9.625,0.75,56.845568503635064,0.8,1.875,765006.5632743862,1,3.75,1.6,CRK_0_500_after_,3D_skeletonization,0.23764367072703038
0,600,before_heating,0.001,5.0,50.0,38.8492109681849,266.67615764833846,0.5,0.22085188831718278,0.525,0.1,120.29735955711782,0.2,1.55,332.74034202161795,0,0.5,1.08,CRK_0_600_before,3D_skeletonization,0.34435942306595535
