rubber_content,temperature,specimen_condition,total_porosity,connected_porosity,isolated_porosity,total_pore_count,pore_density_per_mm3,specific_surface_area_m2_g,tortuosity,permeability_m2,thermal_microcracking_porosity,voxel_size_um,scan_voltage_kv,scan_current_ua,exposure_time_ms,reconstruction_algorithm,segmentation_method,specimen_id,analysis_software,scan_date,gel_pores_mean_diameter_um,gel_pores_volume_fraction,gel_pores_count,capillary_pores_mean_diameter_um,capillary_pores_volume_fraction,capillary_pores_count,air_voids_mean_diameter_um,air_voids_volume_fraction,air_voids_count,macropores_mean_diameter_um,macropores_volume_fraction,macropores_count
0,20,before_heating,0.12,0.102,0.018,383800,244.3346686346777,37357964.01686871,1.74,3.197731467071498e-19,0.0,15,80,120,2000,Feldkamp-Davis-Kress,Otsu_thresholding,CT_0_20_before,ImageJ-BoneJ,2025-10-18,0.0033703933019427774,0.048,97400,0.6853341627138781,0.054,100000,149.28627978963408,0.0144,97800,2586.3873283098715,0.0036,88600
0,100,before_heating,0.12,0.102,0.018,383500,244.14368270296742,36915668.561695166,1.74,3.274816072912806e-19,0.0,10,100,120,1500,Feldkamp-Davis-Kress,Otsu_thresholding,CT_0_100_before,ImageJ-BoneJ,2025-10-18,0.0034105787460045165,0.048,97900,0.7008327942561395,0.054,100000,150.0205763042008,0.0144,97800,2589.15257948467,0.0036,87800
0,100,after_heating,0.128,0.1088,0.0192,384000,244.46199258915124,40326318.35934511,1.756,3.3919526883723445e-19,0.0,10,80,80,1500,Feldkamp-Davis-Kress,Otsu_thresholding,CT_0_100_after_,ImageJ-BoneJ,2025-10-18,0.0033298491576501587,0.0512,97700,0.7003030917760925,0.057600000000000005,100000,155.88037246862442,0.01536,98700,2528.037487277597,0.00384,87600
0,200,before_heating,0.12,0.102,0.018,382100,243.2524150216528,36555607.2725859,1.74,3.3396456100519456e-19,0.0,5,80,120,1000,Feldkamp-Davis-Kress,Otsu_thresholding,CT_0_200_before,ImageJ-BoneJ,2025-10-18,0.0034454534174169914,0.048,97200,0.6627216534356214,0.054,100000,149.592634597262,0.0144,97800,2616.244885996157,0.0036,87100
0,200,after_heating,0.138,0.1173,0.0207,382900,243.76171083954688,43006040.81610178,1.776,3.824668488473513e-19,0.0,5,120,80,1000,Feldkamp-Davis-Kress,Otsu_thresholding,CT_0_200_after_,ImageJ-BoneJ,2025-10-18,0.003367171583523127,0.055200000000000006,98200,0.6752727503657215,0.06210000000000001,100000,159.91401033517218,0.016560000000000002,97000,2568.1930666500693,0.0041400000000000005,87700
0,300,before_heating,0.12,0.102,0.018,383100,243.8890347940204,37757390.95036149,1.74,3.130433165004246e-19,0.0,10,100,100,1500,Feldkamp-Davis-Kress,Otsu_thresholding,CT_0_300_before,ImageJ-BoneJ,2025-10-18,0.003334681337799635,0.048,97800,0.6801875685168544,0.054,100000,149.50330979631616,0.0144,97600,2625.4765878977887,0.0036,87700
0,300,after_heating,0.188,0.1598,0.0282,385400,245.35326027046585,59824380.40916117,1.876,5.631642350145434e-19,0.0,20,100,80,1000,Feldkamp-Davis-Kress,Otsu_thresholding,CT_0_300_after_,ImageJ-BoneJ,2025-10-18,0.0032972530731308954,0.0752,98100,0.6732027747783891,0.08460000000000001,100000,154.70610802252585,0.02256,98400,2644.9036189130297,0.00564,88900
0,400,before_heating,0.12,0.102,0.018,384400,244.71664049809826,37746201.82092482,1.74,3.13228935247197e-19,0.0,5,140,120,1000,Feldkamp-Davis-Kress,Otsu_thresholding,CT_0_400_before,ImageJ-BoneJ,2025-10-18,0.0033358459622305357,0.048,98900,0.6739357087206742,0.054,100000,149.9397096282946,0.0144,97600,2628.4703016922613,0.0036,87900
0,400,after_heating,0.238,0.20229999999999998,0.035699999999999996,386900,246.3081899290172,68264610.96335037,1.976,9.964595759179124e-19,0.0,10,80,80,1500,Feldkamp-Davis-Kress,Otsu_thresholding,CT_0_400_after_,ImageJ-BoneJ,2025-10-18,0.003657570426023152,0.0952,98000,0.7665299029750293,0.1071,100000,167.2739309514173,0.02856,98100,2746.0553996590165,0.00714,90800
0,500,before_heating,0.12,0.102,0.018,381700,242.9977671127058,37634013.17541154,1.74,3.1509921720975776e-19,0.0,5,120,80,1500,Feldkamp-Davis-Kress,Otsu_thresholding,CT_0_500_before,ImageJ-BoneJ,2025-10-18,0.003345567998024415,0.048,96600,0.6840928748759345,0.054,100000,152.97001399356867,0.0144,98000,2576.1784054240616,0.0036,87100
