title,authors,year,venue,arxiv_doi,summary,relevance_to_pinn_thermomechanics
Attention Is All You Need,Vaswani et al.,2017,NeurIPS,arXiv:1706.03762,Seminal transformer paper introducing multi-head self-attention; baseline architecture for all subsequent attention-based scientific ML models.,Establishes the attention mechanism foundation; spatial attention directly applicable to non-uniform temperature/stress field encoding.
Physics-Guided Transformer (PGT) for Scientific Machine Learning,Unknown (preprint),2026,arXiv preprint,arXiv:2603.27929,Integrates physics constraints into the transformer architecture via physics-guided attention masks and physics-residual loss terms.,Directly applicable to coupled thermo-mechanical PINNs where attention masks can encode spatial physics constraints.
PINNs with Fourier Features and Attention-Driven Decoding,Unknown (preprint),2025,arXiv preprint,arXiv:2510.05385,"Combines random Fourier feature embeddings with cross-attention decoding in PINNs, improving convergence on high-frequency solutions.",Useful for capturing high-frequency thermal gradients near electrode interfaces in SOFC stacks.
Residual-based Attention in Physics-Informed Neural Networks,Anagnostopoulos et al.,2024,Computer Methods in Applied Mechanics and Engineering (CMAME),DOI:10.1016/j.cma.2024.116866,Proposes point-wise residual-based attention weights that focus network capacity on high-residual regions of the PDE domain.,Critical for SOFC geometry where residuals concentrate near triple-phase boundaries and crack tips.
PINNpapers – Survey Repository,idrl-lab,2023,GitHub,https://github.com/idrl-lab/PINNpapers,"Curated survey of 400+ PINN papers organised by physics domain, including attention mechanisms, transfer learning, and domain decomposition.",Comprehensive entry point for literature on PINNs in heat transfer and solid mechanics.
Physics-informed attention-based neural network for hyperbolic PDEs: New possibilities for real-time underreporting assessment,Rodríguez-Torrado et al.,2022,Scientific Reports,DOI:10.1038/s41598-022-15928-5,"Applies spatial attention in PINNs for hyperbolic PDEs (transport equations), demonstrating improved accuracy with fewer collocation points.",Transport-type equations appear in SOFC gas channel and ion-transport subproblems.
Fourier Neural Operator for Parametric Partial Differential Equations,Li et al.,2021,ICLR,arXiv:2010.08895,Neural operator learning via spectral (Fourier) convolutions; resolution-invariant and highly data-efficient for PDE surrogates.,Can serve as the backbone surrogate for 3D thermo-mechanical field prediction from operating-condition inputs.
Galerkin Transformer: A One-Shot Experiment,Cao,2021,NeurIPS Workshop,arXiv:2105.14995,"Replaces softmax attention with Galerkin-type integral operators for solving PDEs, achieving O(N) complexity for N collocation points.",Scalable to the ~500k-element mesh used in SOFC multiphysics simulations.
Transolver: A Fast Transformer Solver for PDEs on General Geometries,Wu et al.,2024,ICML,arXiv:2402.02366,"Physics-aware attention that tokenises mesh points into physics states, achieving state-of-the-art accuracy on six PDE benchmarks.",Directly applicable to irregular SOFC stack geometry; physics-state tokens align well with electrochemical/mechanical sub-domains.
DeepONet: Learning nonlinear operators for identifying differential equations based on the universal approximation theorem of operators,Lu et al.,2021,Nature Machine Intelligence,arXiv:1910.03193,Operator-learning framework mapping input functions to output fields; extended to physics-informed (PI-DeepONet) training.,Maps HTGR thermal-power profiles to SOFC stack temperature and stress fields as an operator.
Self-attention based physics-informed neural networks for multi-fidelity modeling,Howard et al.,2023,arXiv preprint,arXiv:2207.00045,"Multi-fidelity PINN with self-attention fusion of coarse and fine data, substantially reducing high-fidelity simulation cost.",Enables combining cheap button-cell data with expensive short-stack simulations in a unified model.
