Mix_ID,Specimen_ID,Temperature_C,Depth_mm,Peak_Pore_Pressure_MPa,Time_to_Peak_min,Spalling_Occurred,Spalling_Type,Spalling_Depth_mm,Spalling_Area_cm2,Time_to_Spalling_min,Moisture_Content_%,Heating_Rate_C_min
RC0,RC0_Spall_T200_S1,200,10,0.651,18.0,False,None,0.0,0.0,,3.4473505490056255,4.710459672176534
RC0,RC0_Spall_T200_S1,200,20,0.534,26.1,False,None,0.0,0.0,,3.8773097361930358,4.790361885366681
RC0,RC0_Spall_T200_S1,200,30,0.473,31.0,False,None,0.0,0.0,,3.32876012755445,4.778112167553804
RC0,RC0_Spall_T200_S1,200,40,0.389,33.1,False,None,0.0,0.0,,3.4975164268744336,4.775948828157188
RC0,RC0_Spall_T200_S1,200,50,0.333,41.0,False,None,0.0,0.0,,3.23756001456777,4.989279261051603
RC0,RC0_Spall_T200_S2,200,10,0.647,21.3,False,None,0.0,0.0,,3.945307040251637,5.417076779469813
RC0,RC0_Spall_T200_S2,200,20,0.47,26.9,False,None,0.0,0.0,,3.6833263626277297,4.683564114216933
RC0,RC0_Spall_T200_S2,200,30,0.665,31.9,False,None,0.0,0.0,,3.4288843893947103,4.688985659971175
RC0,RC0_Spall_T200_S2,200,40,0.358,35.1,False,None,0.0,0.0,,3.2343700906778756,4.623566487401576
RC0,RC0_Spall_T200_S2,200,50,0.302,37.7,False,None,0.0,0.0,,3.5832761971390967,5.234759288849379
RC0,RC0_Spall_T300_S1,300,10,0.808,19.7,False,None,0.0,0.0,,3.038049178310091,5.228637022316899
RC0,RC0_Spall_T300_S1,300,20,0.813,25.2,False,None,0.0,0.0,,3.202080936086521,4.6100737601810575
RC0,RC0_Spall_T300_S1,300,30,0.734,32.2,False,None,0.0,0.0,,3.6028463803956363,5.227536427230143
RC0,RC0_Spall_T300_S1,300,40,0.509,32.7,False,None,0.0,0.0,,3.588126065467855,5.166965703487182
RC0,RC0_Spall_T300_S1,300,50,0.469,38.2,False,None,0.0,0.0,,3.31347735984645,5.120556847023458
RC0,RC0_Spall_T300_S2,300,10,0.783,21.2,False,None,0.0,0.0,,3.1120117130682057,5.349464429928555
RC0,RC0_Spall_T300_S2,300,20,0.498,27.9,False,None,0.0,0.0,,3.74037829694102,4.6180060266193745
RC0,RC0_Spall_T300_S2,300,30,0.852,31.5,False,None,0.0,0.0,,3.0952489339728695,4.527470562512985
RC0,RC0_Spall_T300_S2,300,40,0.582,33.0,False,None,0.0,0.0,,3.724786974958386,5.005353668237826
RC0,RC0_Spall_T300_S2,300,50,0.384,41.1,False,None,0.0,0.0,,3.2028731759142346,5.245628332520502
RC0,RC0_Spall_T400_S1,400,10,1.067,22.5,False,None,0.0,0.0,,3.0158518422318763,5.229923519285821
RC0,RC0_Spall_T400_S1,400,20,1.262,27.3,False,None,0.0,0.0,,3.0616745836209573,4.950064170415758
RC0,RC0_Spall_T400_S1,400,30,0.879,30.9,False,None,0.0,0.0,,3.302623182928755,4.9599816696781005
RC0,RC0_Spall_T400_S1,400,40,0.571,33.7,False,None,0.0,0.0,,3.3693911644551138,4.659539956688423
