simulation_id,material,dislocation_type,temperature_K,applied_stress_MPa,dislocation_density_m2,burgers_vector_A,base_mobility_m2_Pa_s,avg_velocity_A_ps,max_velocity_A_ps,total_displacement_A,simulation_time_ps,timestep_fs,crystal_orientation,slip_system,n_atoms
Disl_mob_0000,Cu,screw,435.55321619585555,118.89610774252486,860495020771317.5,2.588983341260861,8.162342275448803e-05,0.0002480886664544073,0.00032213453776570606,0.012404433322720355,50,0.5,[111],secondary,292621
Disl_mob_0001,Zn,screw,406.8377040764145,19.90518701382585,9120895484969596.0,2.640382626537257,0.00017945236029148103,3.406492209243437e-05,4.372999188357434e-05,0.0017032461046217176,50,0.5,[222],cross_slip,397379
Disl_mob_0002,Mg,mixed,433.134744857932,199.8708214652548,5709173603120767.0,3.339532088615663,0.00014765080236184947,0.0003445562004066289,0.00043522247152538767,0.01722781002033142,50,0.5,[111],cross_slip,358033
Disl_mob_0003,Mg,edge,790.7573231628963,96.69288122923318,8174350496015002.0,3.1349353288964097,0.000238050797853149,0.00022807443258315616,0.0003113400133516395,0.0114037216291578,50,0.5,[213],primary,60457
Disl_mob_0004,Zn,mixed,819.1585439233555,189.02102231468695,7387153458813368.0,2.6388579788302953,0.0002197065697006182,0.00042867252673934697,0.000561430817505844,0.02143362633696734,50,0.5,[021],primary,85363
Disl_mob_0005,Ti,edge,829.8565697294347,138.26792753252266,2769583646570138.5,2.973496604980033,2.738117853283674e-05,6.0787793142627496e-05,8.006123677402918e-05,0.0030393896571313745,50,0.5,[213],cross_slip,376693
Disl_mob_0006,Cu,screw,561.6574496536916,169.39226435227442,5567163744920450.0,2.5710615239971633,8.040740258430155e-05,0.00016183100771732412,0.00021039523653810003,0.008091550385866206,50,0.5,[003],secondary,163559
Disl_mob_0007,Mg,screw,944.431884453733,8.913474902053743,1077196334861039.9,3.106287929066286,0.0002070933305191061,4.299572422902219e-05,5.801664266109491e-05,0.002149786211451108,50,0.5,[022],primary,284942
Disl_mob_0008,Fe,screw,453.7259381336142,153.49128282172563,5126640862934751.0,2.5640640255736664,2.5388425506068444e-05,4.7175364163075496e-05,6.035749697140765e-05,0.0023587682081537753,50,0.5,[113],cross_slip,228042
Disl_mob_0009,Cu,edge,890.5743253682767,116.12753069923167,6829953129246764.0,2.577427116480746,0.00016549042535996024,0.0002061337770251109,0.0002713774605219921,0.01030668885125554,50,0.5,[221],primary,325527
Disl_mob_0010,Al,edge,751.9248417155317,82.02013762705033,6956216655310105.0,2.7828070526471924,0.0001765062007817301,0.0001555570875727233,0.0001997630818137087,0.007777854378636163,50,0.5,[002],primary,303846
Disl_mob_0011,Ni,mixed,676.9482849400038,152.3075057001658,1343395297831174.8,2.474790007871688,4.503523152770247e-05,0.0001459491309946907,0.00019747452431514116,0.007297456549734525,50,0.5,[122],cross_slip,455132
Disl_mob_0012,Zn,edge,976.9901237580815,106.58130689330973,2433559224556447.5,2.586096561679062,0.00038256740607834033,0.0006841011665184571,0.000897941278899232,0.03420505832592286,50,0.5,[111],primary,235389
Disl_mob_0013,Fe,edge,900.8671202557784,56.89837053622068,7829618994103609.0,2.3865279762904255,5.548776933554052e-05,3.219185099822205e-05,4.2352804815527594e-05,0.0016095925499111027,50,0.5,[123],cross_slip,309816
Disl_mob_0014,Fe,mixed,385.38448661832695,7.749282608338516,3073387209333997.5,2.4196223399362284,2.5269101075322823e-05,2.9960025845640285e-06,4.169034865391507e-06,0.00014980012922820136,50,0.5,[223],secondary,93898
Disl_mob_0015,Ni,screw,551.4511154654994,80.22431726922909,3501013156391357.0,2.5248906655626544,5.694293734980762e-05,6.610657437667106e-05,9.01609767449662e-05,0.0033053287188335506,50,0.5,[012],primary,216589
Disl_mob_0016,Mg,screw,938.5399648996448,152.56066010566443,9462002848164858.0,3.261901194957362,0.00022843977672056952,0.00032382205255322455,0.00042523358835634185,0.016191102627661234,50,0.5,[013],primary,428042
Disl_mob_0017,Ni,edge,848.826812414105,57.211183670981825,2426207078189489.0,2.4745636121356367,7.390568042865544e-05,7.197155762818348e-05,9.338628573543201e-05,0.003598577881409173,50,0.5,[212],secondary,208101
Disl_mob_0018,Zn,mixed,1089.3888446841997,98.13010382266104,125379430921626.86,2.7361146279455792,0.0002846702556021755,0.001307219761762062,0.001673629384827646,0.06536098808810316,50,0.5,[213],primary,186186
Disl_mob_0019,Cu,edge,762.0339741731182,167.86913059278453,9251808200896070.0,2.5998010853883433,0.00011284853337662863,0.00017858996043150052,0.00022679195129523224,0.00892949802157503,50,0.5,[122],primary,76310
Disl_mob_0020,Fe,screw,903.2774162667828,124.39772507095057,1222722890742520.2,2.485318901066412,3.437459795591598e-05,9.44207639132277e-05,0.00012394722497266445,0.004721038195661388,50,0.5,[021],primary,230579
Disl_mob_0021,Ni,edge,1145.564982588445,176.00109633513645,221034963271265.16,2.409681440680712,0.00010715887958476947,0.000754859649970055,0.0009858099801503708,0.037742982498502754,50,0.5,[223],primary,428642
Disl_mob_0022,Zn,mixed,904.1092794885637,25.55574533361422,6066719033643360.0,2.613254236362562,0.0003364053636173469,9.809512884648307e-05,0.00012781089455293602,0.004904756442324151,50,0.5,[212],cross_slip,260105
Disl_mob_0023,Cu,edge,967.6983404691036,101.25952284173077,1557809548042105.0,2.476512174899461,0.00014382024543560117,0.0002931489893291711,0.0003677498531545411,0.014657449466458543,50,0.5,[022],cross_slip,361934
Disl_mob_0024,Ti,edge,922.5978350039928,117.09074965332061,4739771299041221.0,2.857597674393411,4.063580492900948e-05,6.0386785351725696e-05,7.79491679915811e-05,0.0030193392675862876,50,0.5,[021],primary,183200
Disl_mob_0025,Cu,edge,834.7720499954469,43.7586060945988,3074766640444816.0,2.5144208983541,0.0001414902637599638,9.591491816818958e-05,0.00012939134428390514,0.004795745908409477,50,0.5,[211],cross_slip,138288
Disl_mob_0026,Ti,mixed,817.6444831978645,97.04879052673844,5241271444359079.0,2.9746024789794334,3.045908354065936e-05,3.5726071460252446e-05,4.547337684637688e-05,0.0017863035730126212,50,0.5,[023],cross_slip,430405
Disl_mob_0027,Zn,mixed,864.1253300986541,48.85922144368211,4734827865030579.0,2.659116907528626,0.00030692257635545793,0.00019047027159829527,0.0002455770959885951,0.009523513579914756,50,0.5,[112],secondary,275393
Disl_mob_0028,Mg,edge,724.5450027989664,147.39908880418687,724659326796547.8,3.207160420374644,0.0002539818033440013,0.0010158621545836323,0.0012922363170893283,0.05079310772918168,50,0.5,[122],primary,475481
Disl_mob_0029,Zn,mixed,396.64357054377984,130.3821040822538,7055095033380958.0,2.68583057768762,0.00016573747465992319,0.00023093148272427614,0.00029314765482660413,0.011546574136213818,50,0.5,[211],primary,238487
Disl_mob_0030,Zn,screw,778.2643900886465,170.24976069975762,7154764177302844.0,2.651714678492514,0.00027435563328868527,0.000492048422208836,0.0006248836047653839,0.024602421110441825,50,0.5,[203],secondary,438986
Disl_mob_0031,Zn,mixed,982.9013013540446,86.51328397752746,5163126275229255.0,2.6724176679745826,0.0002345065518517853,0.0002475156040874717,0.00031337015801556227,0.012375780204373596,50,0.5,[213],primary,269040
Disl_mob_0032,Al,mixed,613.7504880298623,141.2876461196422,5075580654383542.0,2.8712186958985155,0.00010910821604625445,0.00019011629150928415,0.00024911719069965695,0.009505814575464207,50,0.5,[102],cross_slip,243906
Disl_mob_0033,Ti,edge,525.2617197536701,165.99272661080818,5670216802304467.0,3.01247457945868,3.1751654579159114e-05,6.167635278377547e-05,7.859337502913563e-05,0.003083817639188773,50,0.5,[101],primary,475654
Disl_mob_0034,Al,mixed,524.2446379601731,135.3555408253821,899006835843930.8,2.7974678179982297,0.0001574114812782354,0.000535840515959775,0.0006739013383133153,0.026792025797988773,50,0.5,[013],cross_slip,282707
Disl_mob_0035,Fe,screw,1097.3702392142418,181.07793144441368,4264407579419621.0,2.52080154670919,3.7261042141241026e-05,8.939425360459051e-05,0.00011615761882354717,0.004469712680229518,50,0.5,[223],primary,203111
Disl_mob_0036,Al,screw,569.8254185166794,171.133062668625,9860273795561554.0,2.8592131420125573,0.0001040518545732754,0.0001638643213615694,0.00022347611481343926,0.008193216068078468,50,0.5,[203],secondary,459641
Disl_mob_0037,Fe,screw,1052.8979909041864,88.89240761436639,4473835499969910.5,2.455952671803722,4.324990216499633e-05,5.021206368214959e-05,6.494036802814474e-05,0.0025106031841074816,50,0.5,[121],primary,55335
Disl_mob_0038,Fe,mixed,420.9232467496934,1.5737201293880396,7532509204541083.0,2.4872172215963513,2.1554775724408883e-05,3.511552964611676e-07,4.7199217764087475e-07,1.755776482305837e-05,50,0.5,[023],cross_slip,163804
Disl_mob_0039,Ni,mixed,731.6393717657754,17.702455727592387,5048553167443736.0,2.5602613405371795,6.566415507457116e-05,1.433371939849745e-05,1.8571938471648523e-05,0.0007166859699248723,50,0.5,[202],primary,399901
Disl_mob_0040,Cu,screw,821.9494481970701,60.51855134626514,6405415123348696.0,2.5439712512448858,0.00011018165739811672,7.409172157144964e-05,9.460440471238609e-05,0.0037045860785724825,50,0.5,[002],primary,94362
Disl_mob_0041,Cu,mixed,797.8125054996538,38.568979269619675,5457897359356129.0,2.644401179139613,0.00010324078206897022,4.757435096954689e-05,6.084488984864433e-05,0.002378717548477345,50,0.5,[223],secondary,355238
Disl_mob_0042,Cu,mixed,703.5259875313156,46.57528486357903,4198092656423614.5,2.455211425882943,9.915151412031071e-05,6.197972454400221e-05,8.220472878339775e-05,0.003098986227200111,50,0.5,[113],cross_slip,410047
Disl_mob_0043,Mg,screw,431.6173776287729,91.86936323392443,9278066180917198.0,3.169666117456059,0.00014113855392916625,0.0001213070301794704,0.00015824834464364676,0.006065351508973532,50,0.5,[101],primary,276244
Disl_mob_0044,Fe,screw,1189.9462602653653,141.290763489017,1813663089168262.8,2.43542565286255,4.4848022743399186e-05,0.00012053381225490997,0.000155850048671713,0.006026690612745498,50,0.5,[103],primary,180021
Disl_mob_0045,Mg,screw,517.8201865648118,5.141984949997596,5959845541792229.0,3.2655122496875206,0.0001317632778175736,7.823859734221966e-06,1.0188192005445016e-05,0.0003911929867110984,50,0.5,[213],secondary,252447
Disl_mob_0046,Al,screw,1085.064622653657,12.183673633580785,7208828684166372.0,2.8141147104983886,0.00016487577580397893,2.135711426735299e-05,2.718254598088759e-05,0.0010678557133676494,50,0.5,[202],cross_slip,140399
Disl_mob_0047,Mg,screw,1063.0166503531732,111.82542621758964,2031137978213281.2,3.2344618146149045,0.00021163475187274078,0.0004271232110493499,0.0005529879014084621,0.021356160552467477,50,0.5,[002],cross_slip,374757
Disl_mob_0048,Ni,screw,662.7670760968829,187.77630097737855,8892521915884787.0,2.3890406069615135,6.074527114913044e-05,0.00010962202368122593,0.00014741043614960965,0.0054811011840612935,50,0.5,[113],primary,444504
Disl_mob_0049,Al,edge,1127.9859740096485,126.04001960336802,1114647404251062.0,2.8630565861822124,0.00018463617838973513,0.0005338424334317954,0.0006976877793588727,0.026692121671589773,50,0.5,[103],secondary,331776
Disl_mob_0050,Mg,screw,540.2826072818248,39.0364979570183,2173498782538015.5,3.1581603269131673,0.00015028646466993495,0.00010369560082195709,0.0001380122706007966,0.005184780041097854,50,0.5,[003],cross_slip,255143
Disl_mob_0051,Ni,mixed,1016.7443086035574,123.03651727235726,6574870936144976.0,2.5038736120384004,8.733819999175598e-05,0.000118338392783236,0.00015047033927743507,0.005916919639161797,50,0.5,[101],primary,123684
Disl_mob_0052,Mg,screw,990.5686159650543,2.677402528597969,9253139879578166.0,3.1559786494541346,0.0002118646778834421,5.328773845042139e-06,6.841901582097576e-06,0.00026643869225210706,50,0.5,[211],secondary,463101
Disl_mob_0053,Ti,screw,327.7560888882974,168.27786809680458,2783214148501708.5,2.9111457990098386,1.3400425317292885e-05,3.6108348044388205e-05,4.684464874460428e-05,0.001805417402219411,50,0.5,[001],cross_slip,191565
Disl_mob_0054,Mg,edge,487.29196641350967,179.78083929999997,4678827004015395.0,3.2967454617735323,0.00019271498610910325,0.0004404867022217097,0.0005703173184617237,0.022024335111085484,50,0.5,[011],cross_slip,58461
Disl_mob_0055,Fe,screw,638.1933051639353,77.95789271625637,4045984186327109.0,2.4418080718370945,2.4662492082365648e-05,2.620012517088635e-05,3.387123249327163e-05,0.0013100062585443162,50,0.5,[012],cross_slip,270896
Disl_mob_0056,Cu,mixed,512.5499458396263,124.96837497570162,2474793627679107.5,2.496107920984686,8.209726563449473e-05,0.00017150535993498456,0.0002267030111202498,0.008575267996749238,50,0.5,[202],cross_slip,89523
Disl_mob_0057,Al,mixed,1057.3922175086796,153.0633290725965,6750779636968831.0,2.9170961429703315,0.0001999465376808212,0.0003307927602387653,0.0004336383738425913,0.016539638011938265,50,0.5,[222],secondary,159875
Disl_mob_0058,Zn,edge,909.3615274730936,164.2184072895164,2081304798343578.0,2.6190237390225257,0.00032995933868733095,0.00097549999758646,0.0012561734561952961,0.048774999879323044,50,0.5,[123],cross_slip,248878
Disl_mob_0059,Zn,screw,640.127947951623,49.83046983201277,5675508732868723.0,2.67091354469504,0.00026389336705552266,0.00015460163884438766,0.0002080397877397927,0.007730081942219383,50,0.5,[102],secondary,180927
Disl_mob_0060,Zn,edge,710.9665454152191,87.29156588453313,2630618836077626.0,2.6351330161511557,0.00025606725755393815,0.0003674880899375265,0.0004721861601937327,0.018374404496876325,50,0.5,[201],cross_slip,200884
Disl_mob_0061,Cu,edge,1133.9833771281615,127.23126108545267,1260352387537880.8,2.5926963600393713,0.00015246868734156025,0.00042756741187698966,0.000563151110074358,0.02137837059384948,50,0.5,[022],cross_slip,227486
Disl_mob_0062,Zn,screw,1152.3819676999462,102.6975059487946,7914866817294492.0,2.7126591331024605,0.00019330560574477168,0.0002004717403919201,0.0002610805983099531,0.010023587019595997,50,0.5,[021],primary,121282
Disl_mob_0063,Cu,edge,627.9775299371684,14.1304862439159,6234704554482100.0,2.58114961672866,0.00010347082666635598,1.644933697627254e-05,2.108531798208566e-05,0.0008224668488136267,50,0.5,[003],cross_slip,466428
