time_hours,strain_sensor_0_mu_strain,strain_sensor_1_mu_strain,strain_sensor_2_mu_strain,strain_sensor_3_mu_strain,strain_sensor_4_mu_strain,strain_sensor_5_mu_strain,strain_sensor_6_mu_strain,strain_sensor_7_mu_strain
0.0,51.70565808512493,49.95791810644727,51.832737524681185,50.04552582657804,50.28384936849024,47.52494892861405,50.184173531967296,51.25089775374014
0.1,52.933717845174336,53.95237072725537,52.51303328217495,51.41127460493194,53.39557267163088,49.811860520800046,53.49494244569261,51.554684218507106
0.2,55.799396836660776,56.18146793688308,56.072290674622145,55.08045131988813,55.005785246704846,54.67806930586671,55.09246644787343,53.34048114892837
0.3,58.316600042331835,57.754859165955246,57.435735188711945,58.5800640203383,57.619097055451775,58.733084674105854,59.17001482055538,58.19260533739245
0.4,60.814927295104425,60.84072009198851,61.29615104011809,60.399297875331364,60.49557585971569,59.302728952283516,60.15137376499329,60.779505048340624
0.5,61.97840206757781,63.3978717329738,64.96669244417954,62.53208397398437,63.296745309979215,61.42877335435814,63.04221710240166,63.72902737894605
0.6,66.1912922788664,65.41719637096219,65.47147340492167,64.74716865138235,66.3556828785604,66.15164860351578,66.241794290647,65.11370108703562
0.7,68.23663601299447,69.78737773791262,69.36469207787937,69.7588416851615,70.07880688083212,68.71643426115928,68.57223490496328,69.35239267543535
0.8,69.93308958719042,70.00446103976844,71.45587616905489,71.59625499165291,71.09552496502417,70.97739922235883,69.38865484352263,70.94381347630971
0.9,73.08361043238617,71.2664951332266,74.57189672255316,73.53678207923436,74.84620190340867,74.41115607464062,74.02281252387986,74.31583551700318
1.0,77.78015032259864,76.51294268218604,76.77715037045868,75.96083394165825,75.92603350497649,74.5555061977449,76.07536168190285,75.91259029909479
1.1,78.76715452091405,80.49596705588245,78.26494555047773,80.21580573494062,78.24686788029041,78.89708184749679,79.59172676595018,79.07848144873618
1.2,80.66361802729969,82.15313213285809,82.80060249790432,81.52222548412105,82.1994331326641,80.14844242984601,81.02746117819595,82.65006581954384
1.3,84.57456287292857,85.04616539286164,83.96835302753217,84.14268281747388,83.2447577257962,85.45136219866859,85.04970523659381,84.77763312865072
1.4,86.90206993872852,86.39377943324138,85.54225923967482,86.9513597580639,86.85222375100577,86.42817808077275,85.51551292885583,86.03809007976116
1.5,88.11028770357578,87.4142139041613,87.3614878215854,88.68224432833333,88.46873213809477,90.30735559530194,87.40949594670661,90.30150705775091
1.6,92.10149968575715,90.16507418295399,91.72333553831152,91.65645987686172,92.04791575665794,91.90016619312027,91.2817484843304,92.15815514514313
1.7,95.55018046415974,92.7800763484796,94.85479531212906,93.85307713062925,92.99829156787396,95.45134627479469,93.99693774098559,93.77337224824443
1.8,98.73445978411841,95.15377883274039,96.58923462365944,96.5093488125234,98.12980423604328,95.20568924704476,97.49251075229856,96.24133335081471
1.9,98.57167434888919,98.67430956085045,99.09499931982917,98.2612674766091,98.60453805167816,99.91979303878553,98.43014177754199,97.92641845166584
2.0,102.3287698109503,100.18910194331961,99.92137888693925,101.27982313910739,103.30425147251312,102.39446695606772,104.0582775541598,100.07337991593258
2.1,101.80985862828098,104.11712453171396,103.20831132884022,102.78521859581154,103.43605395133254,103.38459471713716,103.37225411008446,104.20157471682151
2.2,105.24396052823808,106.4818331007212,105.33089030889344,106.22739302050333,106.21626191586051,106.48292990686312,106.8891559036756,105.43251152844924
2.3,106.22338871310205,108.92712953543818,107.84584651018976,107.72831092301196,109.63001922241983,108.08290077569303,106.92618488677643,108.45763486493986
2.4,110.38401761956523,109.58164442427174,111.28843689441325,111.2395777929259,110.53278230779567,110.47600946901163,112.10322726865051,109.01311881843196
2.5,113.4427689236435,111.73317005256771,111.98697727249305,111.07508204106622,112.83302549976752,112.6366662319704,113.48632952822012,111.56881737510383
2.6,114.14635599549706,115.56529814472923,114.31809402676633,114.67672397625262,115.29564101583317,113.96474146893411,114.31810857301144,115.29796041823023
2.7,115.514975454827,116.22008175947632,116.82560433209704,116.58652406712626,117.36879589019917,116.36800865888704,115.93351182218696,117.08980179339983
2.8,120.50716382430825,118.01649768072663,119.11805750360828,118.1523583117166,119.76804888670091,118.27163725857257,118.26085883476925,118.38812123139833
2.9,119.00120336826821,121.86208022833598,121.37384738157067,120.44628637278362,121.09859045174042,120.03643801141442,120.26540845843398,119.85089706573234
3.0,121.27850117198751,122.62613095826617,122.00875345056406,123.44263498338347,122.29695292780603,123.17469677814616,123.87854990631905,123.61611522457443
3.1,124.57739904567059,124.86580615046485,123.58148551603297,123.92053244459302,124.08025175514152,122.18803008077688,124.83521729343649,123.63980415480236
3.2,126.40684097184327,125.38962260796075,126.38091144822621,124.79448525518477,127.02240420995551,126.39957005948352,125.63301435292428,126.75120591435537
3.3,127.62120313777864,129.50173719899738,126.80720519318324,129.3468935691721,128.56899827067912,127.00229695766379,129.2547401906662,126.30072422996429
3.4,129.97137359277878,128.4791227663753,130.7961670901273,130.210993914788,127.95748410905901,131.4560622212342,130.18285037944352,128.79621408595528
3.5,130.71877784651033,129.7524406753401,132.15986966028254,131.14182807141933,131.96722292023094,133.77735053306003,131.42946886761828,130.76387145467615
3.6,133.00260848565154,134.19169230931874,133.65014155826046,134.68023268881265,133.94243149333812,133.13154409328317,133.78182613101174,133.52434249080335
3.7,134.85178242763075,134.94494860999353,134.13766968746418,135.29421687427146,134.46345055924,134.68873928368635,134.75390320228598,135.52016469040032
3.8,136.05820271634772,134.37455917504494,135.08108596000838,136.03424047500178,137.145776997789,137.9070943882235,135.9420465730224,136.84965305198497
3.9,138.76396454290324,138.24255066719013,136.90414395458316,139.1671788051158,136.84448365071637,138.57300328635614,137.48537575278124,137.77694703994948
4.0,139.60616761102486,139.9482248383191,139.3266466097935,140.1685069263489,139.56245448586986,139.99554610752367,138.52757741242084,139.54071031396435
4.1,139.78282487982185,141.83172242091456,139.84719866485068,140.31580271113293,140.16546540468005,139.5463453094128,140.31916255320988,141.2557354603891
4.2,141.18567478515317,142.0243947364775,142.3198533665723,140.7732134734825,141.3508633300184,141.10009348869394,142.54165594450373,142.64153109860982
4.3,143.40149285989636,144.05952695394052,142.46386554463106,141.20373399817456,142.27841643360145,144.01648276168245,143.56643907365955,143.38066755477942
4.4,145.62074485079435,143.92686706766636,144.36563064335303,145.87629671681955,144.45258627517254,145.2079557125416,142.5013432080384,146.02325613510823
4.5,147.25814067779882,145.46249779104545,145.22420927863806,146.58749848413868,146.21955216214997,144.3285956962618,143.66638882493268,144.28314294339873
4.6,146.26023145452146,146.96986392634835,145.67800781821623,145.96536674007683,145.74960461808197,148.2663276618491,145.3607678799524,148.91298823481313
4.7,148.62148768926403,146.6315648579011,146.60079012348922,146.68939088365573,147.7036716676665,147.66268681303953,145.92409202579222,147.99427519510638
4.8,148.7430455190748,149.15314819539103,146.98702319661635,145.75968648853214,150.03210288996672,147.6217643789994,147.50667803675626,148.96599963728428
4.9,146.71154240859843,150.77953025797083,149.14382180520533,149.94501305232117,146.64743793714894,148.42525160762713,149.72983323700225,149.93638413410346
5.0,150.22898531245087,149.57350764973813,148.55018841774225,149.82438724286726,147.86642905716556,151.30297977869805,147.79721550394947,149.14523988154824
5.1,149.92409877416537,151.89894423841955,149.7778421074271,149.72349678873118,150.28751148319685,150.23796901027555,150.91462979005627,150.39895581807107
5.2,151.48005778942147,150.24181733326154,152.43750788734647,150.90905527052635,150.08591565219214,152.1476531239719,151.2048460615914,150.3140149102871
5.3,150.13607030145033,151.26534482437722,152.50670420521567,151.2670270007501,150.1872222859099,152.581270497295,151.9309450665429,150.5629654021409
5.4,152.9589058261072,150.11326241678304,151.7285261875825,152.88081814370977,152.5552562034999,154.33843572301433,153.32991839993537,152.69620617099423
5.5,152.47224104739732,152.98529362921215,151.32650981058498,152.85010835429293,152.82189508415658,151.94215046865847,152.8771911336632,151.44735485157665
5.6,153.75507131128535,154.7126968675309,153.61764950367345,153.70136631950862,154.6789787844641,151.86425644498001,152.2323199458687,151.65224814616346
5.7,153.540095281584,154.6421768189946,155.3872683284458,152.61304110106073,154.37521138422548,151.8251980870923,154.8095464916858,154.1223008619889
5.8,152.70914580447203,152.44226895786866,152.01368512978036,154.11400401603643,153.44075509805947,153.67721027508912,152.69946475398564,153.4597006899005
5.9,155.37765184143043,152.96596119480802,153.60342618521864,154.85215563463638,152.15170523469973,151.75906297585985,153.57372668716545,154.37409058781583
6.0,153.20294274412345,153.14987448491584,153.85982532830937,152.31758805153808,153.14910041512508,152.45166463966223,153.66424381152032,153.22665913789146
6.1,152.125210904484,153.14645494880403,153.59529183970315,153.7378256132989,154.20612202843546,153.8756666041359,155.28086778953792,153.64962423782313
6.2,153.731565442313,155.03980588396982,154.89539985454692,153.56921421527392,153.86275554084108,154.2879645852385,154.3878422106496,152.99461191344213
6.3,153.3770935403497,152.5132041540075,152.49707377759802,152.48698744660203,152.63087189364032,154.3517773316105,152.7932082430875,152.86497995169609
6.4,154.81335639790638,153.59769306783195,152.1916415708334,154.28016382734873,152.7137061345988,152.15071793576323,155.54890993246966,152.61049343611737
6.5,154.88597336794342,152.34705036833554,153.41637526691312,152.3893392374438,153.71799115571525,153.1116071234781,154.4596713455182,153.39218189829464
6.6,151.69391751360254,152.18189834177926,154.1134751961861,153.41892439796106,153.38284795863885,153.54274328957644,153.17946865740245,153.1324901954302
6.7,151.47113893104844,152.9966757005929,152.58418307970834,152.03140028088114,153.07887930457412,152.59302818116495,153.09518188008866,152.87963429068205
6.8,153.0976592675044,151.50204500070447,152.19570086050567,150.1141945608006,153.16781794641867,150.68456252458478,153.51879289932165,151.5491631961005
6.9,151.0839630054055,149.97292203202477,151.24237071978223,151.79519873032064,150.65612639200887,151.90437121705693,151.11923633579616,150.6033586405351
7.0,150.09045452731127,152.44636424042375,151.88764628376313,150.96404972340497,150.72256364019907,150.70788453263145,150.02965386996416,150.94720143279366
7.1,147.92841941324022,150.89204924299278,149.2583347267939,151.30181649414806,149.77870149163948,148.78998000752523,150.9179764525579,150.51191006630083
7.2,148.292743154773,149.44226231387407,149.64038264685797,149.87022990231546,149.55082276443545,150.39109811332747,147.85157943698448,148.58001692903784
