batch_id,mix_id,slump_mm,air_content_pct,unit_weight_kg_per_m3,fresh_temperature_C,timestamp
B001,CTRL,205.0,1.75,2409.2,22.4,2025-10-01T09:15:00
B002,CTRL,197.4,1.83,2413.7,21.7,2025-10-01T09:30:00
B003,CTRL,193.5,1.8,2410.4,22.2,2025-10-01T09:45:00
B004,R05-14,189.9,2.86,2331.1,22.9,2025-10-01T10:00:00
B005,R05-14,183.1,2.78,2339.9,22.2,2025-10-01T10:15:00
B006,R05-14,190.8,2.79,2336.1,21.1,2025-10-01T10:30:00
B007,R05-48,175.6,2.64,2317.4,21.5,2025-10-01T10:45:00
B008,R05-48,173.6,2.64,2334.1,21.7,2025-10-01T11:00:00
B009,R05-48,177.9,2.6,2323.0,22.9,2025-10-01T11:15:00
B010,R10-14,172.4,3.55,2250.1,22.5,2025-10-01T11:30:00
B011,R10-14,164.6,3.44,2274.7,22.3,2025-10-01T11:45:00
B012,R10-14,170.9,3.59,2270.3,22.6,2025-10-01T12:00:00
B013,R10-48,155.7,3.27,2254.5,21.5,2025-10-01T12:15:00
B014,R10-48,155.4,3.72,2271.3,21.6,2025-10-01T12:30:00
B015,R10-48,162.5,3.45,2272.4,21.9,2025-10-01T12:45:00
B016,R15-14,151.2,4.12,2191.8,21.5,2025-10-01T13:00:00
B017,R15-14,156.4,4.45,2187.0,21.4,2025-10-01T13:15:00
B018,R15-14,163.0,4.25,2177.7,21.1,2025-10-01T13:30:00
B019,R15-48,133.8,4.31,2198.8,21.8,2025-10-01T13:45:00
B020,R15-48,133.0,4.19,2204.9,22.1,2025-10-01T14:00:00
B021,R15-48,147.5,4.43,2175.3,22.4,2025-10-01T14:15:00
B022,R20-14,142.9,5.02,2113.0,22.3,2025-10-01T14:30:00
B023,R20-14,133.8,4.97,2118.6,22.9,2025-10-01T14:45:00
B024,R20-14,146.0,4.88,2120.0,21.4,2025-10-01T15:00:00
B025,R20-48,126.6,5.19,2114.0,22.3,2025-10-01T15:15:00
B026,R20-48,121.7,4.83,2127.9,22.1,2025-10-01T15:30:00
B027,R20-48,124.5,5.02,2105.0,21.6,2025-10-01T15:45:00
