Temperature_C,Temperature_K,Oxygen_Pressure_atm,Environment,Electronic_Conductivity_S_per_cm,Ionic_Conductivity_S_per_cm,Mixed_Conductivity_S_per_cm,Ionic_Transference_Number,Electronic_Transference_Number,Oxide_Thickness_um_1000h,Activation_Energy_Electronic_kJ_per_mol,Activation_Energy_Ionic_kJ_per_mol,Oxygen_Vacancy_Concentration_per_cm3,Interstitial_Concentration_per_cm3,Measurement_Method,Sample_Type,Material
200,473.15,1e-20,Ultra_Low,5174.136292,1e-12,7.1931e-05,0.0,1.0,0.01,,,3.0193884743151043e+19,0.15,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
225,498.15,1e-20,Ultra_Low,5029.387436,1e-12,7.0918e-05,0.0,1.0,0.01,2.23,-0.0,5.714102819206843e+19,0.41,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
250,523.15,1e-20,Ultra_Low,4685.415825,1e-12,6.845e-05,0.0,1.0,0.01,6.14,-0.0,1.0174195744028801e+20,1.03,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
275,548.15,1e-20,Ultra_Low,4158.697428,1e-12,6.4488e-05,0.0,1.0,0.01,11.38,-0.0,1.7186909704585193e+20,2.38,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
300,573.15,1e-20,Ultra_Low,3832.675516,1e-12,6.1909e-05,0.0,1.0,0.01,8.53,-0.0,2.7735231286492024e+20,5.12,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
325,598.15,1e-20,Ultra_Low,3452.088169,1e-12,5.8754e-05,0.0,1.0,0.01,11.93,-0.0,4.3002402686067094e+20,10.32,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
350,623.15,1e-20,Ultra_Low,3188.701495,1e-12,5.6469e-05,0.0,1.0,0.01,9.84,-0.0,6.436822631170519e+20,19.67,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
375,648.15,1e-20,Ultra_Low,3113.422368,1e-12,5.5798e-05,0.0,1.0,0.01,3.21,-0.0,9.339779140156273e+20,35.69,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
400,673.15,1e-20,Ultra_Low,2894.203908,1e-12,5.3798e-05,0.0,1.0,0.01,10.6,-0.0,1.3182372204262699e+21,61.94,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
425,698.15,1e-20,Ultra_Low,2869.731523,1e-12,5.357e-05,0.0,1.0,0.01,1.33,-0.0,1.8152331895390045e+21,103.35,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
450,723.15,1e-20,Ultra_Low,2591.628959,1e-12,5.0908e-05,0.0,1.0,0.01,17.12,-0.0,2.444920681560554e+21,166.43,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
475,748.15,1e-20,Ultra_Low,2404.923831,1e-12,4.904e-05,0.0,1.0,0.01,13.46,-0.0,3.228149562269413e+21,259.61,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
500,773.15,1e-20,Ultra_Low,2442.295103,1e-12,4.942e-05,0.0,1.0,0.01,-2.97,-0.0,4.186369048494634e+21,393.5,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
525,798.15,1e-20,Ultra_Low,2327.067555,1e-12,4.824e-05,0.0,1.0,0.01,9.92,-0.0,5.34133453766589e+21,581.08,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
550,823.15,1e-20,Ultra_Low,2187.483818,1e-12,4.6771e-05,0.0,1.0,0.01,13.52,-0.0,6.714826113411783e+21,838.02,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
575,848.15,1e-20,Ultra_Low,2027.932174,1e-12,4.5033e-05,0.0,1.0,0.01,17.59,-0.0,8.328385783826222e+21,1182.76,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
