material,character,temperature_K,tau_GPa,solute_at_pct,mean_velocity_nm_ps,mobility_nm_ps_per_GPa,run_id
Fe,edge,500,0.05,0.0,0.113932,2.277,dl_Fe_edge_500K_0.0at_0.05GPa_2c59f335_001
Fe,edge,500,0.1,0.0,0.248709,2.503469,dl_Fe_edge_500K_0.0at_0.10GPa_2c59f335_002
Fe,edge,500,0.2,0.0,0.434778,2.180259,dl_Fe_edge_500K_0.0at_0.20GPa_2c59f335_003
Fe,edge,500,0.4,0.0,0.947856,2.374846,dl_Fe_edge_500K_0.0at_0.40GPa_2c59f335_004
Fe,edge,500,0.05,0.5,0.065277,1.305737,dl_Fe_edge_500K_0.5at_0.05GPa_2c59f335_005
Fe,edge,500,0.1,0.5,0.146455,1.46565,dl_Fe_edge_500K_0.5at_0.10GPa_2c59f335_006
Fe,edge,500,0.2,0.5,0.276286,1.391435,dl_Fe_edge_500K_0.5at_0.20GPa_2c59f335_007
Fe,edge,500,0.4,0.5,0.549916,1.373747,dl_Fe_edge_500K_0.5at_0.40GPa_2c59f335_008
Fe,edge,500,0.05,1.0,0.046798,0.904764,dl_Fe_edge_500K_1.0at_0.05GPa_2c59f335_009
Fe,edge,500,0.1,1.0,0.091599,0.938025,dl_Fe_edge_500K_1.0at_0.10GPa_2c59f335_010
Fe,edge,500,0.2,1.0,0.171533,0.861755,dl_Fe_edge_500K_1.0at_0.20GPa_2c59f335_011
Fe,edge,500,0.4,1.0,0.432509,1.081527,dl_Fe_edge_500K_1.0at_0.40GPa_2c59f335_012
Fe,edge,700,0.05,0.0,0.145825,2.87817,dl_Fe_edge_700K_0.0at_0.05GPa_2c59f335_013
Fe,edge,700,0.1,0.0,0.275297,2.752968,dl_Fe_edge_700K_0.0at_0.10GPa_2c59f335_014
Fe,edge,700,0.2,0.0,0.635835,3.170026,dl_Fe_edge_700K_0.0at_0.20GPa_2c59f335_015
Fe,edge,700,0.4,0.0,1.217837,3.043731,dl_Fe_edge_700K_0.0at_0.40GPa_2c59f335_016
Fe,edge,700,0.05,0.5,0.089236,1.766356,dl_Fe_edge_700K_0.5at_0.05GPa_2c59f335_017
Fe,edge,700,0.1,0.5,0.181717,1.804963,dl_Fe_edge_700K_0.5at_0.10GPa_2c59f335_018
Fe,edge,700,0.2,0.5,0.326654,1.633214,dl_Fe_edge_700K_0.5at_0.20GPa_2c59f335_019
Fe,edge,700,0.4,0.5,0.680677,1.699448,dl_Fe_edge_700K_0.5at_0.40GPa_2c59f335_020
Fe,edge,700,0.05,1.0,0.064829,1.287526,dl_Fe_edge_700K_1.0at_0.05GPa_2c59f335_021
Fe,edge,700,0.1,1.0,0.121965,1.206794,dl_Fe_edge_700K_1.0at_0.10GPa_2c59f335_022
Fe,edge,700,0.2,1.0,0.238349,1.187392,dl_Fe_edge_700K_1.0at_0.20GPa_2c59f335_023
Fe,edge,700,0.4,1.0,0.505744,1.266338,dl_Fe_edge_700K_1.0at_0.40GPa_2c59f335_024
Fe,edge,900,0.05,0.0,0.177183,3.569506,dl_Fe_edge_900K_0.0at_0.05GPa_2c59f335_025
Fe,edge,900,0.1,0.0,0.357207,3.590021,dl_Fe_edge_900K_0.0at_0.10GPa_2c59f335_026
Fe,edge,900,0.2,0.0,0.731746,3.653461,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
Fe,edge,900,0.4,0.0,1.455419,3.63792,dl_Fe_edge_900K_0.0at_0.40GPa_2c59f335_028
Fe,edge,900,0.05,0.5,0.109189,2.206024,dl_Fe_edge_900K_0.5at_0.05GPa_2c59f335_029
Fe,edge,900,0.1,0.5,0.186549,1.861936,dl_Fe_edge_900K_0.5at_0.10GPa_2c59f335_030
Fe,edge,900,0.2,0.5,0.397136,1.980748,dl_Fe_edge_900K_0.5at_0.20GPa_2c59f335_031
Fe,edge,900,0.4,0.5,0.849639,2.124571,dl_Fe_edge_900K_0.5at_0.40GPa_2c59f335_032
Fe,edge,900,0.05,1.0,0.06957,1.405511,dl_Fe_edge_900K_1.0at_0.05GPa_2c59f335_033
Fe,edge,900,0.1,1.0,0.13519,1.356314,dl_Fe_edge_900K_1.0at_0.10GPa_2c59f335_034
Fe,edge,900,0.2,1.0,0.289796,1.453735,dl_Fe_edge_900K_1.0at_0.20GPa_2c59f335_035
Fe,edge,900,0.4,1.0,0.567145,1.417251,dl_Fe_edge_900K_1.0at_0.40GPa_2c59f335_036
Fe,screw,500,0.05,0.0,0.076786,1.544199,dl_Fe_screw_500K_0.0at_0.05GPa_2c59f335_037
Fe,screw,500,0.1,0.0,0.140195,1.392569,dl_Fe_screw_500K_0.0at_0.10GPa_2c59f335_038
Fe,screw,500,0.2,0.0,0.267074,1.339554,dl_Fe_screw_500K_0.0at_0.20GPa_2c59f335_039
Fe,screw,500,0.4,0.0,0.567186,1.413672,dl_Fe_screw_500K_0.0at_0.40GPa_2c59f335_040
Fe,screw,500,0.05,0.5,0.0442,0.857331,dl_Fe_screw_500K_0.5at_0.05GPa_2c59f335_041
Fe,screw,500,0.1,0.5,0.083414,0.840387,dl_Fe_screw_500K_0.5at_0.10GPa_2c59f335_042
Fe,screw,500,0.2,0.5,0.150617,0.748228,dl_Fe_screw_500K_0.5at_0.20GPa_2c59f335_043
Fe,screw,500,0.4,0.5,0.333575,0.84019,dl_Fe_screw_500K_0.5at_0.40GPa_2c59f335_044
Fe,screw,500,0.05,1.0,0.030277,0.575072,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
Fe,screw,500,0.1,1.0,0.057463,0.558079,dl_Fe_screw_500K_1.0at_0.10GPa_2c59f335_046
