layer_id,relative_density,temperature_C,youngs_modulus_GPa,poisson_ratio
anode,0.55,25,51.125,0.298
anode,0.55,400,48.652,0.302
anode,0.55,600,47.334,0.304
anode,0.55,800,46.015,0.307
anode,0.55,1000,44.696,0.309
anode,0.55,1200,43.377,0.311
anode,0.7,25,84.836,0.292
anode,0.7,400,80.733,0.296
anode,0.7,600,78.544,0.298
anode,0.7,800,76.355,0.301
anode,0.7,1000,74.167,0.303
anode,0.7,1200,71.978,0.305
anode,0.85,25,127.542,0.286
anode,0.85,400,121.373,0.29
anode,0.85,600,118.083,0.292
anode,0.85,800,114.793,0.295
anode,0.85,1000,111.502,0.297
anode,0.85,1200,108.212,0.299
anode,0.95,25,161.099,0.282
anode,0.95,400,153.307,0.286
anode,0.95,600,149.151,0.288
anode,0.95,800,144.995,0.291
anode,0.95,1000,140.839,0.293
anode,0.95,1200,136.683,0.295
anode,1.0,25,179.421,0.28
anode,1.0,400,170.743,0.284
anode,1.0,600,166.114,0.286
anode,1.0,800,161.486,0.289
anode,1.0,1000,156.857,0.291
anode,1.0,1200,152.229,0.293
electrolyte,0.55,25,59.646,0.318
electrolyte,0.55,400,56.761,0.322
electrolyte,0.55,600,55.222,0.324
electrolyte,0.55,800,53.684,0.327
electrolyte,0.55,1000,52.145,0.329
electrolyte,0.55,1200,50.606,0.331
electrolyte,0.7,25,98.975,0.312
electrolyte,0.7,400,94.188,0.316
electrolyte,0.7,600,91.635,0.318
electrolyte,0.7,800,89.081,0.321
electrolyte,0.7,1000,86.528,0.323
electrolyte,0.7,1200,83.975,0.325
electrolyte,0.85,25,148.799,0.306
electrolyte,0.85,400,141.602,0.31
electrolyte,0.85,600,137.763,0.312
electrolyte,0.85,800,133.925,0.315
electrolyte,0.85,1000,130.086,0.317
electrolyte,0.85,1200,126.247,0.319
electrolyte,0.95,25,187.949,0.302
electrolyte,0.95,400,178.858,0.306
electrolyte,0.95,600,174.01,0.308
electrolyte,0.95,800,169.161,0.311
electrolyte,0.95,1000,164.313,0.313
electrolyte,0.95,1200,159.464,0.315
electrolyte,1.0,25,209.325,0.3
electrolyte,1.0,400,199.2,0.304
electrolyte,1.0,600,193.8,0.306
electrolyte,1.0,800,188.4,0.309
electrolyte,1.0,1000,183.0,0.311
electrolyte,1.0,1200,177.6,0.313
cathode,0.55,25,42.604,0.278
cathode,0.55,400,40.544,0.282
cathode,0.55,600,39.445,0.284
cathode,0.55,800,38.346,0.287
cathode,0.55,1000,37.246,0.289
cathode,0.55,1200,36.147,0.291
cathode,0.7,25,70.697,0.272
cathode,0.7,400,67.277,0.276
cathode,0.7,600,65.453,0.278
cathode,0.7,800,63.63,0.281
cathode,0.7,1000,61.806,0.283
cathode,0.7,1200,59.982,0.285
cathode,0.85,25,106.285,0.266
cathode,0.85,400,101.144,0.27
cathode,0.85,600,98.402,0.272
cathode,0.85,800,95.66,0.275
cathode,0.85,1000,92.919,0.277
cathode,0.85,1200,90.177,0.279
cathode,0.95,25,134.249,0.262
cathode,0.95,400,127.756,0.266
cathode,0.95,600,124.293,0.268
cathode,0.95,800,120.829,0.271
cathode,0.95,1000,117.366,0.273
cathode,0.95,1200,113.903,0.275
cathode,1.0,25,149.518,0.26
cathode,1.0,400,142.286,0.264
cathode,1.0,600,138.429,0.266
cathode,1.0,800,134.571,0.269
cathode,1.0,1000,130.714,0.271
cathode,1.0,1200,126.857,0.273
interconnect,0.55,25,62.486,0.328
interconnect,0.55,400,59.464,0.332
interconnect,0.55,600,57.852,0.334
interconnect,0.55,800,56.24,0.337
interconnect,0.55,1000,54.628,0.339
interconnect,0.55,1200,53.016,0.341
interconnect,0.7,25,103.688,0.322
interconnect,0.7,400,98.673,0.326
interconnect,0.7,600,95.998,0.328
interconnect,0.7,800,93.323,0.331
interconnect,0.7,1000,90.648,0.333
interconnect,0.7,1200,87.974,0.335
interconnect,0.85,25,155.885,0.316
interconnect,0.85,400,148.345,0.32
interconnect,0.85,600,144.323,0.322
interconnect,0.85,800,140.302,0.325
interconnect,0.85,1000,136.281,0.327
interconnect,0.85,1200,132.259,0.329
interconnect,0.95,25,196.899,0.312
interconnect,0.95,400,187.375,0.316
interconnect,0.95,600,182.296,0.318
interconnect,0.95,800,177.216,0.321
interconnect,0.95,1000,172.137,0.323
interconnect,0.95,1200,167.057,0.325
interconnect,1.0,25,219.293,0.31
interconnect,1.0,400,208.686,0.314
interconnect,1.0,600,203.029,0.316
interconnect,1.0,800,197.371,0.319
interconnect,1.0,1000,191.714,0.321
interconnect,1.0,1200,186.057,0.323
