layer_id,temperature_C,time_min,shrinkage_strain
anode,850,0,0.0
anode,850,15,0.00025
anode,850,30,0.000495
anode,850,60,0.000971
anode,850,90,0.001429
anode,850,120,0.001869
anode,850,180,0.0027
anode,950,0,0.0
anode,950,15,0.003128
anode,950,30,0.006142
anode,950,60,0.01184
anode,950,90,0.017126
anode,950,120,0.02203
anode,950,180,0.030802
anode,1050,0,0.0
anode,1050,15,0.010889
anode,1050,30,0.021024
anode,1050,60,0.039235
anode,1050,90,0.055008
anode,1050,120,0.068671
anode,1050,180,0.090756
anode,1150,0,0.0
anode,1150,15,0.021708
anode,1150,30,0.040624
anode,1150,60,0.071476
anode,1150,90,0.094905
anode,1150,120,0.112697
anode,1150,180,0.136471
anode,1250,0,0.0
anode,1250,15,0.039367
anode,1250,30,0.069613
anode,1250,60,0.110705
anode,1250,90,0.13496
anode,1250,120,0.149278
anode,1250,180,0.162719
anode,1350,0,0.0
anode,1350,15,0.06739
anode,1350,30,0.108064
anode,1350,60,0.147432
anode,1350,90,0.161774
anode,1350,120,0.166998
anode,1350,180,0.169595
electrolyte,850,0,0.0
electrolyte,850,15,1.9e-05
electrolyte,850,30,3.8e-05
electrolyte,850,60,7.6e-05
electrolyte,850,90,0.000112
electrolyte,850,120,0.000148
electrolyte,850,180,0.000217
electrolyte,950,0,0.0
electrolyte,950,15,0.000394
electrolyte,950,30,0.000778
electrolyte,950,60,0.001521
electrolyte,950,90,0.002231
electrolyte,950,120,0.002909
electrolyte,950,180,0.004174
electrolyte,1050,0,0.0
electrolyte,1050,15,0.003654
electrolyte,1050,30,0.007151
electrolyte,1050,60,0.013698
electrolyte,1050,90,0.019693
electrolyte,1050,120,0.025181
electrolyte,1050,180,0.034806
electrolyte,1150,0,0.0
electrolyte,1150,15,0.010091
electrolyte,1150,30,0.019365
electrolyte,1150,60,0.035718
electrolyte,1150,90,0.049528
electrolyte,1150,120,0.061191
electrolyte,1150,180,0.079358
electrolyte,1250,0,0.0
electrolyte,1250,15,0.019359
electrolyte,1250,30,0.035825
electrolyte,1250,60,0.061742
electrolyte,1250,90,0.080491
electrolyte,1250,120,0.094055
electrolyte,1250,180,0.110966
electrolyte,1350,0,0.0
electrolyte,1350,15,0.03465
electrolyte,1350,30,0.060061
electrolyte,1350,60,0.092365
electrolyte,1350,90,0.10974
electrolyte,1350,120,0.119085
electrolyte,1350,180,0.126815
cathode,850,0,0.0
cathode,850,15,0.001131
cathode,850,30,0.002232
cathode,850,60,0.004346
cathode,850,90,0.006349
cathode,850,120,0.008246
cathode,850,180,0.011745
cathode,950,0,0.0
cathode,950,15,0.00747
cathode,950,30,0.014561
cathode,950,60,0.027687
cathode,950,90,0.039519
cathode,950,120,0.050184
cathode,950,180,0.068463
cathode,1050,0,0.0
cathode,1050,15,0.017568
cathode,1050,30,0.033473
cathode,1050,60,0.06091
cathode,1050,90,0.0834
cathode,1050,120,0.101835
cathode,1050,180,0.129331
cathode,1150,0,0.0
cathode,1150,15,0.032884
cathode,1150,30,0.060065
cathode,1150,60,0.101105
cathode,1150,90,0.129146
cathode,1150,120,0.148305
cathode,1150,180,0.17034
cathode,1250,0,0.0
cathode,1250,15,0.058067
cathode,1250,30,0.098385
cathode,1250,60,0.145816
cathode,1250,90,0.168683
cathode,1250,120,0.179707
cathode,1250,180,0.187585
cathode,1350,0,0.0
cathode,1350,15,0.095533
cathode,1350,30,0.143031
cathode,1350,60,0.178387
cathode,1350,90,0.187128
cathode,1350,120,0.189288
cathode,1350,180,0.189954
interconnect,850,0,0.0
interconnect,850,15,0.0
interconnect,850,30,0.0
interconnect,850,60,0.0
interconnect,850,90,1e-06
interconnect,850,120,1e-06
interconnect,850,180,1e-06
interconnect,950,0,0.0
interconnect,950,15,3e-06
interconnect,950,30,5e-06
interconnect,950,60,1.1e-05
interconnect,950,90,1.6e-05
interconnect,950,120,2.1e-05
interconnect,950,180,3.1e-05
interconnect,1050,0,0.0
interconnect,1050,15,5.9e-05
interconnect,1050,30,0.000117
interconnect,1050,60,0.000229
interconnect,1050,90,0.000336
interconnect,1050,120,0.00044
interconnect,1050,180,0.000635
interconnect,1150,0,0.0
interconnect,1150,15,0.000736
interconnect,1150,30,0.001445
interconnect,1150,60,0.002786
interconnect,1150,90,0.00403
interconnect,1150,120,0.005184
interconnect,1150,180,0.007247
interconnect,1250,0,0.0
interconnect,1250,15,0.002562
interconnect,1250,30,0.004947
interconnect,1250,60,0.009232
interconnect,1250,90,0.012943
interconnect,1250,120,0.016158
interconnect,1250,180,0.021354
interconnect,1350,0,0.0
interconnect,1350,15,0.005108
interconnect,1350,30,0.009559
interconnect,1350,60,0.016818
interconnect,1350,90,0.022331
interconnect,1350,120,0.026517
interconnect,1350,180,0.032111
