layer_id,temperature_C,cte_1e6_per_C
anode,25,11.0
anode,100,11.0975
anode,175,11.195
anode,250,11.2925
anode,325,11.39
anode,400,11.4875
anode,475,11.585
anode,550,11.6825
anode,625,11.78
anode,700,11.8775
anode,775,11.975
anode,850,12.0725
anode,925,12.17
anode,1000,12.2675
anode,1075,12.365
anode,1150,12.4625
anode,1225,12.56
anode,1300,12.6575
anode,1375,12.755
electrolyte,25,10.3
electrolyte,100,10.36
electrolyte,175,10.42
electrolyte,250,10.48
electrolyte,325,10.54
electrolyte,400,10.6
electrolyte,475,10.66
electrolyte,550,10.72
electrolyte,625,10.78
electrolyte,700,10.84
electrolyte,775,10.9
electrolyte,850,10.96
electrolyte,925,11.02
electrolyte,1000,11.08
electrolyte,1075,11.14
electrolyte,1150,11.2
electrolyte,1225,11.26
electrolyte,1300,11.32
electrolyte,1375,11.38
cathode,25,12.4
cathode,100,12.52
cathode,175,12.64
cathode,250,12.76
cathode,325,12.88
cathode,400,13.0
cathode,475,13.12
cathode,550,13.24
cathode,625,13.36
cathode,700,13.48
cathode,775,13.6
cathode,850,13.72
cathode,925,13.84
cathode,1000,13.96
cathode,1075,14.08
cathode,1150,14.2
cathode,1225,14.32
cathode,1300,14.44
cathode,1375,14.56
interconnect,25,13.2
interconnect,100,13.23
interconnect,175,13.26
interconnect,250,13.29
interconnect,325,13.32
interconnect,400,13.35
interconnect,475,13.38
interconnect,550,13.41
interconnect,625,13.44
interconnect,700,13.47
interconnect,775,13.5
interconnect,850,13.53
interconnect,925,13.56
interconnect,1000,13.59
interconnect,1075,13.62
interconnect,1150,13.65
interconnect,1225,13.68
interconnect,1300,13.71
interconnect,1375,13.74
