bilayer_id,temperature_C,time_min,compatible_shrinkage_strain,strain_mismatch
anode-electrolyte,900,0,0.0,0.0
anode-electrolyte,900,15,0.000551,0.000922
anode-electrolyte,900,30,0.001088,0.001818
anode-electrolyte,900,60,0.00212,0.003537
anode-electrolyte,900,90,0.0031,0.00516
anode-electrolyte,900,120,0.00403,0.006696
anode-electrolyte,1050,0,0.0,0.0
anode-electrolyte,1050,15,0.007272,0.007235
anode-electrolyte,1050,30,0.014088,0.013873
anode-electrolyte,1050,60,0.026467,0.025537
anode-electrolyte,1050,90,0.037351,0.035315
anode-electrolyte,1050,120,0.046926,0.04349
anode-electrolyte,1200,0,0.0,0.0
anode-electrolyte,1200,15,0.021796,0.015251
anode-electrolyte,1200,30,0.04026,0.026964
anode-electrolyte,1200,60,0.069216,0.042492
anode-electrolyte,1200,90,0.090147,0.050808
anode-electrolyte,1200,120,0.105356,0.054677
anode-electrolyte,1300,0,0.0,0.0
anode-electrolyte,1300,15,0.039011,0.025887
anode-electrolyte,1300,30,0.067464,0.041127
anode-electrolyte,1300,60,0.103665,0.053603
anode-electrolyte,1300,90,0.123467,0.054921
anode-electrolyte,1300,120,0.134512,0.052557
cathode-electrolyte,900,0,0.0,0.0
cathode-electrolyte,900,15,0.001964,0.003407
cathode-electrolyte,900,30,0.003856,0.006685
cathode-electrolyte,900,60,0.007437,0.012881
cathode-electrolyte,900,90,0.010762,0.018621
cathode-electrolyte,900,120,0.013849,0.02394
cathode-electrolyte,1050,0,0.0,0.0
cathode-electrolyte,1050,15,0.011307,0.013914
cathode-electrolyte,1050,30,0.021628,0.026322
cathode-electrolyte,1050,60,0.039665,0.047212
cathode-electrolyte,1050,90,0.054732,0.063707
cathode-electrolyte,1050,120,0.067341,0.076654
cathode-electrolyte,1200,0,0.0,0.0
cathode-electrolyte,1200,15,0.030576,0.029828
cathode-electrolyte,1200,30,0.054842,0.051025
cathode-electrolyte,1200,60,0.089637,0.075759
cathode-electrolyte,1200,90,0.112095,0.086095
cathode-electrolyte,1200,120,0.12687,0.088823
cathode-electrolyte,1300,0,0.0,0.0
cathode-electrolyte,1300,15,0.053155,0.049251
cathode-electrolyte,1300,30,0.087533,0.073877
cathode-electrolyte,1300,60,0.125216,0.087913
cathode-electrolyte,1300,90,0.142646,0.0848
cathode-electrolyte,1300,120,0.15136,0.078411
anode-cathode,900,0,0.0,0.0
anode-cathode,900,15,0.002304,-0.002485
anode-cathode,900,30,0.004528,-0.004867
anode-cathode,900,60,0.008748,-0.009344
anode-cathode,900,90,0.01268,-0.013461
anode-cathode,900,120,0.016345,-0.017244
anode-cathode,1050,0,0.0,0.0
anode-cathode,1050,15,0.014362,-0.006679
anode-cathode,1050,30,0.027497,-0.012449
anode-cathode,1050,60,0.050506,-0.021675
anode-cathode,1050,90,0.069772,-0.028392
anode-cathode,1050,120,0.085916,-0.033164
anode-cathode,1200,0,0.0,0.0
anode-cathode,1200,15,0.037002,-0.014577
anode-cathode,1200,30,0.066254,-0.024061
anode-cathode,1200,60,0.107761,-0.033267
anode-cathode,1200,90,0.1339,-0.035287
anode-cathode,1200,120,0.15045,-0.034146
anode-cathode,1300,0,0.0,0.0
anode-cathode,1300,15,0.064103,-0.023364
anode-cathode,1300,30,0.105058,-0.03275
anode-cathode,1300,60,0.148308,-0.03431
anode-cathode,1300,90,0.166464,-0.029879
anode-cathode,1300,120,0.174235,-0.025854
