layer,temperature_C,time_min,ramp_rate_C_per_min,dL_over_L0,axial_strain_rate_per_min,relative_density
anode,600,0,4.5,0.0,3e-05,0.5849
anode,600,5,4.5,0.0,3e-05,0.5849
anode,600,15,4.5,6e-05,3e-05,0.5849
anode,600,30,4.5,0.00079,2e-05,0.5849
anode,600,60,4.5,0.00277,0.0,0.5849
anode,600,90,4.5,0.00139,1e-05,0.5849
anode,600,120,4.5,0.00131,1e-05,0.5849
anode,600,180,4.5,0.00153,0.0,0.5849
anode,700,0,4.5,0.0,7e-05,0.5902
anode,700,5,4.5,0.00044,6e-05,0.5902
anode,700,15,4.5,0.0011,5e-05,0.5902
anode,700,30,4.5,0.0,7e-05,0.5902
anode,700,60,4.5,0.00264,2e-05,0.5902
anode,700,90,4.5,0.00309,1e-05,0.5902
anode,700,120,4.5,0.00396,0.0,0.5902
anode,700,180,4.5,0.00362,0.0,0.5902
anode,800,0,4.5,7e-05,0.00015,0.6011
anode,800,5,4.5,0.00032,0.00014,0.6011
anode,800,15,4.5,0.00229,0.0001,0.6011
anode,800,30,4.5,0.00427,7e-05,0.6011
anode,800,60,4.5,0.0067,2e-05,0.6011
anode,800,90,4.5,0.00617,3e-05,0.6011
anode,800,120,4.5,0.00605,3e-05,0.6011
anode,800,180,4.5,0.0064,2e-05,0.6011
anode,900,0,4.5,0.0,0.00031,0.622
anode,900,5,4.5,0.00252,0.00026,0.622
anode,900,15,4.5,0.00339,0.00024,0.622
anode,900,30,4.5,0.00658,0.00018,0.622
anode,900,60,4.5,0.01103,9e-05,0.622
anode,900,90,4.5,0.01352,4e-05,0.622
anode,900,120,4.5,0.01533,1e-05,0.622
anode,900,180,4.5,0.01557,1e-05,0.622
anode,1000,0,4.5,0.0,0.0006,0.6593
anode,1000,5,4.5,0.00269,0.00055,0.6593
anode,1000,15,4.5,0.00852,0.00044,0.6593
anode,1000,30,4.5,0.01366,0.00034,0.6593
anode,1000,60,4.5,0.02116,0.00019,0.6593
anode,1000,90,4.5,0.02668,8e-05,0.6593
anode,1000,120,4.5,0.02699,8e-05,0.6593
anode,1000,180,4.5,0.02951,3e-05,0.6593
anode,1100,0,4.5,0.0,0.00107,0.7164
anode,1100,5,4.5,0.0057,0.00096,0.7164
anode,1100,15,4.5,0.01417,0.0008,0.7164
anode,1100,30,4.5,0.02377,0.00061,0.7164
anode,1100,60,4.5,0.03762,0.00034,0.7164
anode,1100,90,4.5,0.04463,0.0002,0.7164
