layer_a,layer_b,temperature_C,time_min,bilayer_dL_over_L0,shrinkage_mismatch,interfacial_stress_MPa,layer_a_creep_rate_per_s,layer_b_creep_rate_per_s
anode,electrolyte,600,0,0.0,0.0,0.0,0.0,0.0
anode,electrolyte,600,5,0.00014,0.00011,0.016,0.0,0.0
anode,electrolyte,600,15,0.00038,0.00031,0.045,0.0,0.0
anode,electrolyte,600,30,0.00066,0.00055,0.079,0.0,0.0
anode,electrolyte,600,60,0.00103,0.00085,0.124,0.0,0.0
anode,electrolyte,600,90,0.00123,0.00103,0.149,0.0,0.0
anode,electrolyte,600,120,0.00134,0.00113,0.163,0.0,0.0
anode,electrolyte,600,180,0.00144,0.00121,0.176,0.0,0.0
anode,electrolyte,700,0,0.0,0.0,0.0,0.0,0.0
anode,electrolyte,700,5,0.0003,0.00023,0.034,0.0,0.0
anode,electrolyte,700,15,0.00082,0.00063,0.092,0.0,0.0
anode,electrolyte,700,30,0.00143,0.00111,0.161,0.0,0.0
anode,electrolyte,700,60,0.00222,0.00174,0.253,0.0,0.0
anode,electrolyte,700,90,0.00267,0.0021,0.305,0.0,0.0
anode,electrolyte,700,120,0.00291,0.00231,0.334,0.0,0.0
anode,electrolyte,700,180,0.00312,0.00248,0.36,0.0,0.0
anode,electrolyte,800,0,0.0,0.0,0.0,7e-08,3e-08
anode,electrolyte,800,5,0.00064,0.00046,0.066,7e-08,3e-08
anode,electrolyte,800,15,0.00175,0.00126,0.182,7e-08,3e-08
anode,electrolyte,800,30,0.00306,0.0022,0.32,7e-08,3e-08
anode,electrolyte,800,60,0.00476,0.00346,0.502,7e-08,3e-08
anode,electrolyte,800,90,0.00571,0.00418,0.606,7e-08,3e-08
anode,electrolyte,800,120,0.00624,0.00458,0.665,7e-08,3e-08
anode,electrolyte,800,180,0.00669,0.00495,0.717,8e-08,3e-08
anode,electrolyte,900,0,0.0,0.0,0.0,8.6e-07,3.9e-07
anode,electrolyte,900,5,0.00134,0.00086,0.124,8.5e-07,4.1e-07
anode,electrolyte,900,15,0.00366,0.00235,0.341,8.7e-07,4.3e-07
anode,electrolyte,900,30,0.00639,0.00413,0.599,8.6e-07,4.3e-07
anode,electrolyte,900,60,0.00994,0.00651,0.943,8.3e-07,4.2e-07
anode,electrolyte,900,90,0.01191,0.00786,1.14,7.8e-07,4.3e-07
anode,electrolyte,900,120,0.01301,0.00864,1.253,8.6e-07,4.5e-07
anode,electrolyte,900,180,0.01395,0.00934,1.354,8.9e-07,4.3e-07
anode,electrolyte,1000,0,0.0,0.0,0.0,6.59e-06,3.71e-06
anode,electrolyte,1000,5,0.00266,0.00144,0.209,7.11e-06,3.63e-06
anode,electrolyte,1000,15,0.00726,0.00397,0.575,6.8e-06,3.56e-06
anode,electrolyte,1000,30,0.01266,0.00699,1.014,6.67e-06,4.01e-06
anode,electrolyte,1000,60,0.01969,0.01105,1.603,6.56e-06,3.8e-06
anode,electrolyte,1000,90,0.02359,0.0134,1.944,6.33e-06,3.65e-06
anode,electrolyte,1000,120,0.02576,0.01476,2.14,6.86e-06,3.67e-06
anode,electrolyte,1000,180,0.02763,0.01599,2.318,7.1e-06,3.75e-06
anode,electrolyte,1100,0,0.0,0.0,0.0,3.895e-05,2.26e-05
anode,electrolyte,1100,5,0.00481,0.00202,0.293,3.971e-05,2.406e-05
anode,electrolyte,1100,15,0.01313,0.00558,0.81,3.922e-05,2.26e-05
anode,electrolyte,1100,30,0.02292,0.00989,1.434,3.82e-05,2.524e-05
anode,electrolyte,1100,60,0.03563,0.01576,2.285,4.132e-05,2.576e-05
anode,electrolyte,1100,90,0.04268,0.01922,2.786,4.155e-05,2.417e-05
anode,electrolyte,1100,120,0.0466,0.02124,3.08,3.887e-05,2.544e-05
anode,electrolyte,1100,180,0.04998,0.02311,3.352,3.695e-05,2.465e-05
anode,electrolyte,1200,0,0.0,0.0,0.0,0.00018175,0.00012425
anode,electrolyte,1200,5,0.00764,0.00216,0.313,0.00018311,0.00012467
anode,electrolyte,1200,15,0.02084,0.00601,0.872,0.00019775,0.00012582
anode,electrolyte,1200,30,0.03636,0.01076,1.56,0.00018966,0.0001291
anode,electrolyte,1200,60,0.05651,0.01742,2.526,0.00018479,0.00011297
anode,electrolyte,1200,90,0.06769,0.02149,3.115,0.00018311,0.00012775
anode,electrolyte,1200,120,0.07388,0.02394,3.471,0.00017006,0.00013238
anode,electrolyte,1200,180,0.07923,0.02628,3.811,0.00018701,0.00012066
anode,electrolyte,1300,0,0.0,0.0,0.0,0.0006855,0.00048646
anode,electrolyte,1300,5,0.01043,0.00173,0.251,0.00074909,0.00049145
anode,electrolyte,1300,15,0.02845,0.00489,0.709,0.00070954,0.00046515
anode,electrolyte,1300,30,0.04962,0.00894,1.296,0.00068777,0.00046068
anode,electrolyte,1300,60,0.07712,0.01495,2.167,0.00070596,0.00047478
anode,electrolyte,1300,90,0.09235,0.01885,2.733,0.00068489,0.00047383
anode,electrolyte,1300,120,0.10079,0.02131,3.09,0.00069554,0.00047327
anode,electrolyte,1300,180,0.10807,0.02377,3.447,0.00073152,0.00049265
anode,electrolyte,1400,0,0.0,0.0,0.0,0.00232475,0.00173111
anode,electrolyte,1400,5,0.0125,0.0012,0.174,0.00223809,0.00173704
anode,electrolyte,1400,15,0.03409,0.0035,0.507,0.00225577,0.00158671
anode,electrolyte,1400,30,0.05945,0.00663,0.961,0.00216936,0.00171395
anode,electrolyte,1400,60,0.09238,0.01164,1.687,0.0024247,0.00166852
anode,electrolyte,1400,90,0.11062,0.01513,2.194,0.00220089,0.00161544
anode,electrolyte,1400,120,0.12072,0.01745,2.531,0.00229216,0.00163329
anode,electrolyte,1400,180,0.12942,0.01988,2.883,0.00238806,0.00166996
cathode,electrolyte,600,0,0.0,0.0,0.0,0.0,0.0
cathode,electrolyte,600,5,0.00026,0.00028,0.033,0.0,0.0
