layer,temperature_C,cte_per_C
anode,25,1.1976e-05
anode,200,1.2511e-05
anode,400,1.2743e-05
anode,600,1.3339e-05
anode,750,1.3072e-05
anode,900,1.3579e-05
anode,1000,1.3704e-05
anode,1100,1.3797e-05
anode,1200,1.413e-05
anode,1300,1.4382e-05
anode,1350,1.4089e-05
anode,1400,1.4536e-05
electrolyte,25,1.0361e-05
electrolyte,200,1.0676e-05
electrolyte,400,1.1113e-05
electrolyte,600,1.1788e-05
electrolyte,750,1.28e-05
electrolyte,900,1.3169e-05
electrolyte,1000,1.3767e-05
electrolyte,1100,1.4329e-05
electrolyte,1200,1.5256e-05
electrolyte,1300,1.6059e-05
electrolyte,1350,1.583e-05
electrolyte,1400,1.6238e-05
cathode,25,1.4042e-05
cathode,200,1.4444e-05
cathode,400,1.5328e-05
cathode,600,1.6257e-05
cathode,750,1.6929e-05
cathode,900,1.8663e-05
cathode,1000,1.9328e-05
cathode,1100,2.0422e-05
cathode,1200,2.1625e-05
cathode,1300,2.2574e-05
cathode,1350,2.3458e-05
cathode,1400,2.3181e-05
interconnect,25,1.244e-05
interconnect,200,1.2519e-05
interconnect,400,1.322e-05
interconnect,600,1.3507e-05
interconnect,750,1.4066e-05
interconnect,900,1.4588e-05
interconnect,1000,1.4818e-05
interconnect,1100,1.5154e-05
interconnect,1200,1.6078e-05
interconnect,1300,1.6745e-05
interconnect,1350,1.6682e-05
interconnect,1400,1.7268e-05
