layer,material_name,temperature_C,density_g_cm3,relative_density,porosity,binder_content_fraction
anode,NiO-YSZ Anode,25,3.898,0.5801,0.4199,0.085
anode,NiO-YSZ Anode,200,3.8993,0.5802,0.4198,0.04221
anode,NiO-YSZ Anode,400,3.905,0.5811,0.4189,0.01897
anode,NiO-YSZ Anode,600,3.9306,0.5849,0.4151,0.00852
anode,NiO-YSZ Anode,750,3.9965,0.5947,0.4053,0.00468
anode,NiO-YSZ Anode,900,4.1799,0.622,0.378,0.00257
anode,NiO-YSZ Anode,1000,4.4302,0.6593,0.3407,0.00172
anode,NiO-YSZ Anode,1100,4.8144,0.7164,0.2836,0.00115
anode,NiO-YSZ Anode,1200,5.288,0.7869,0.2131,0.00077
anode,NiO-YSZ Anode,1300,5.737,0.8537,0.1463,0.00052
anode,NiO-YSZ Anode,1350,5.9197,0.8809,0.1191,0.00042
anode,NiO-YSZ Anode,1400,6.068,0.903,0.097,0.0004
electrolyte,8YSZ Electrolyte,25,3.751,0.62,0.38,0.061
electrolyte,8YSZ Electrolyte,200,3.751,0.62,0.38,0.03137
electrolyte,8YSZ Electrolyte,400,3.7513,0.62,0.38,0.01467
electrolyte,8YSZ Electrolyte,600,3.7531,0.6203,0.3797,0.00686
electrolyte,8YSZ Electrolyte,750,3.761,0.6217,0.3783,0.00388
electrolyte,8YSZ Electrolyte,900,3.7987,0.6279,0.3721,0.00219
electrolyte,8YSZ Electrolyte,1000,3.8822,0.6417,0.3583,0.0015
electrolyte,8YSZ Electrolyte,1100,4.0892,0.6759,0.3241,0.00103
electrolyte,8YSZ Electrolyte,1200,4.5065,0.7449,0.2551,0.0007
electrolyte,8YSZ Electrolyte,1300,5.0808,0.8398,0.1602,0.00048
electrolyte,8YSZ Electrolyte,1350,5.3476,0.8839,0.1161,0.0004
electrolyte,8YSZ Electrolyte,1400,5.5626,0.9194,0.0806,0.00033
cathode,LSCF Cathode,25,3.4938,0.5502,0.4498,0.118
cathode,LSCF Cathode,200,3.4969,0.5507,0.4493,0.05369
cathode,LSCF Cathode,400,3.5095,0.5527,0.4473,0.02183
cathode,LSCF Cathode,600,3.5573,0.5602,0.4398,0.00887
cathode,LSCF Cathode,750,3.6641,0.577,0.423,0.00452
cathode,LSCF Cathode,900,3.9156,0.6166,0.3834,0.0023
cathode,LSCF Cathode,1000,4.2072,0.6626,0.3374,0.00147
cathode,LSCF Cathode,1100,4.5906,0.7229,0.2771,0.00094
cathode,LSCF Cathode,1200,5.0004,0.7875,0.2125,0.0006
cathode,LSCF Cathode,1300,5.352,0.8428,0.1572,0.0005
cathode,LSCF Cathode,1350,5.4898,0.8645,0.1355,0.0005
cathode,LSCF Cathode,1400,5.601,0.8821,0.1179,0.0005
interconnect,Crofer 22 APU Interconnect,25,5.2852,0.7,0.3,0.024
interconnect,Crofer 22 APU Interconnect,200,5.2859,0.7001,0.2999,0.01523
interconnect,Crofer 22 APU Interconnect,400,5.2909,0.7008,0.2992,0.00905
interconnect,Crofer 22 APU Interconnect,600,5.3219,0.7049,0.2951,0.00538
interconnect,Crofer 22 APU Interconnect,750,5.4246,0.7185,0.2815,0.00364
interconnect,Crofer 22 APU Interconnect,900,5.7502,0.7616,0.2384,0.00247
interconnect,Crofer 22 APU Interconnect,1000,6.1651,0.8166,0.1834,0.0019
interconnect,Crofer 22 APU Interconnect,1100,6.6505,0.8809,0.1191,0.00147
interconnect,Crofer 22 APU Interconnect,1200,7.0351,0.9318,0.0682,0.00113
interconnect,Crofer 22 APU Interconnect,1300,7.2565,0.9611,0.0389,0.00087
interconnect,Crofer 22 APU Interconnect,1350,7.3193,0.9694,0.0306,0.00077
interconnect,Crofer 22 APU Interconnect,1400,7.3611,0.975,0.025,0.00067
