layer,temperature_C,relative_density,youngs_modulus_GPa,poissons_ratio
anode,25,0.58,38.174,0.2638
anode,25,0.65,50.467,0.2715
anode,25,0.75,71.659,0.2825
anode,25,0.85,97.374,0.2935
anode,25,0.92,118.208,0.3012
anode,25,0.965,132.88,0.3061
anode,200,0.58,36.437,0.2694
anode,200,0.65,48.171,0.2771
anode,200,0.75,68.398,0.2881
anode,200,0.85,92.944,0.2991
anode,200,0.92,112.83,0.3068
anode,200,0.965,126.834,0.3117
anode,400,0.58,34.452,0.2758
anode,400,0.65,45.546,0.2835
anode,400,0.75,64.672,0.2945
anode,400,0.85,87.88,0.3055
anode,400,0.92,106.683,0.3132
anode,400,0.965,119.924,0.3181
anode,600,0.58,32.467,0.2822
anode,600,0.65,42.922,0.2899
anode,600,0.75,60.946,0.3009
anode,600,0.85,82.817,0.3119
anode,600,0.92,100.536,0.3196
anode,600,0.965,113.015,0.3246
anode,750,0.58,30.978,0.287
anode,750,0.65,40.954,0.2947
anode,750,0.75,58.151,0.3057
anode,750,0.85,79.019,0.3167
anode,750,0.92,95.926,0.3244
anode,750,0.965,107.832,0.3293
anode,900,0.58,29.489,0.2918
anode,900,0.65,38.986,0.2995
anode,900,0.75,55.356,0.3105
anode,900,0.85,75.222,0.3215
anode,900,0.92,91.316,0.3292
anode,900,0.965,102.65,0.3341
anode,1000,0.58,28.497,0.295
anode,1000,0.65,37.673,0.3027
anode,1000,0.75,53.493,0.3137
anode,1000,0.85,72.69,0.3247
anode,1000,0.92,88.243,0.3324
anode,1000,0.965,99.195,0.3373
anode,1100,0.58,27.504,0.2982
anode,1100,0.65,36.361,0.3059
anode,1100,0.75,51.63,0.3169
anode,1100,0.85,70.158,0.3279
anode,1100,0.92,85.169,0.3356
anode,1100,0.965,95.74,0.34
anode,1200,0.58,26.512,0.3014
anode,1200,0.65,35.049,0.3091
anode,1200,0.75,49.767,0.3201
anode,1200,0.85,67.626,0.3311
anode,1200,0.92,82.096,0.3388
anode,1200,0.965,92.285,0.34
anode,1300,0.58,25.519,0.3046
anode,1300,0.65,33.737,0.3123
anode,1300,0.75,47.904,0.3233
anode,1300,0.85,65.095,0.3343
anode,1300,0.92,79.022,0.34
anode,1300,0.965,88.83,0.34
anode,1350,0.58,25.023,0.3062
anode,1350,0.65,33.081,0.3139
anode,1350,0.75,46.972,0.3249
anode,1350,0.85,63.829,0.3359
anode,1350,0.92,77.486,0.34
anode,1350,0.965,87.103,0.34
anode,1400,0.58,24.527,0.3078
anode,1400,0.65,32.425,0.3155
