Sample_ID,Mix_ID,Temperature_C,Rubber_Content_%,Validation
C-28-R-25C-Furnace,C-28-R,25,10,False
C-28-R-100C-Furnace,C-28-R,100,10,False
C-28-R-200C-Furnace,C-28-R,200,10,False
C-28-R-300C-Furnace,C-28-R,300,10,False
C-28-R-400C-Furnace,C-28-R,400,10,True
C-28-R-500C-ISO834,C-28-R,500,10,False
C-28-R-600C-ISO834,C-28-R,600,10,False
C-28-R-700C-ISO834,C-28-R,700,10,False
C-28-R-800C-ISO834,C-28-R,800,10,False
C-35-R-25C-Furnace,C-35-R,25,10,False
C-35-R-100C-Furnace,C-35-R,100,10,False
C-35-R-200C-Furnace,C-35-R,200,10,False
C-35-R-300C-Furnace,C-35-R,300,10,False
C-35-R-400C-Furnace,C-35-R,400,10,False
C-35-R-500C-ISO834,C-35-R,500,10,False
C-35-R-600C-ISO834,C-35-R,600,10,False
C-35-R-700C-ISO834,C-35-R,700,10,False
C-35-R-800C-ISO834,C-35-R,800,10,False
C-45-R-25C-Furnace,C-45-R,25,10,False
C-45-R-100C-Furnace,C-45-R,100,10,False
C-45-R-200C-Furnace,C-45-R,200,10,False
C-45-R-300C-Furnace,C-45-R,300,10,False
C-45-R-400C-Furnace,C-45-R,400,10,False
C-45-R-500C-ISO834,C-45-R,500,10,False
C-45-R-600C-ISO834,C-45-R,600,10,False
C-45-R-700C-ISO834,C-45-R,700,10,False
C-45-R-800C-ISO834,C-45-R,800,10,False
C-55-R-25C-Furnace,C-55-R,25,10,False
C-55-R-100C-Furnace,C-55-R,100,10,False
C-55-R-200C-Furnace,C-55-R,200,10,False
C-55-R-300C-Furnace,C-55-R,300,10,False
C-55-R-400C-Furnace,C-55-R,400,10,False
C-55-R-500C-ISO834,C-55-R,500,10,False
C-55-R-600C-ISO834,C-55-R,600,10,False
C-55-R-700C-ISO834,C-55-R,700,10,False
C-55-R-800C-ISO834,C-55-R,800,10,False
C-28-R15-25C-Furnace,C-28-R15,25,15,False
C-28-R15-100C-Furnace,C-28-R15,100,15,False
C-28-R15-200C-Furnace,C-28-R15,200,15,False
C-28-R15-300C-Furnace,C-28-R15,300,15,False
C-28-R15-400C-Furnace,C-28-R15,400,15,False
C-28-R15-500C-ISO834,C-28-R15,500,15,False
C-28-R15-600C-ISO834,C-28-R15,600,15,False
C-28-R15-700C-ISO834,C-28-R15,700,15,False
C-28-R15-800C-ISO834,C-28-R15,800,15,False
C-35-R15-25C-Furnace,C-35-R15,25,15,False
C-35-R15-100C-Furnace,C-35-R15,100,15,False
C-35-R15-200C-Furnace,C-35-R15,200,15,False
C-35-R15-300C-Furnace,C-35-R15,300,15,False
C-35-R15-400C-Furnace,C-35-R15,400,15,False
C-35-R15-500C-ISO834,C-35-R15,500,15,False
C-35-R15-600C-ISO834,C-35-R15,600,15,False
C-35-R15-700C-ISO834,C-35-R15,700,15,False
C-35-R15-800C-ISO834,C-35-R15,800,15,False
C-28-R20-25C-Furnace,C-28-R20,25,20,False
C-28-R20-100C-Furnace,C-28-R20,100,20,False
C-28-R20-200C-Furnace,C-28-R20,200,20,False
C-28-R20-300C-Furnace,C-28-R20,300,20,False
C-28-R20-400C-Furnace,C-28-R20,400,20,False
C-28-R20-500C-ISO834,C-28-R20,500,20,False
C-28-R20-600C-ISO834,C-28-R20,600,20,False
C-28-R20-700C-ISO834,C-28-R20,700,20,False
C-28-R20-800C-ISO834,C-28-R20,800,20,False
C-35-R20-25C-Furnace,C-35-R20,25,20,False
C-35-R20-100C-Furnace,C-35-R20,100,20,False
C-35-R20-200C-Furnace,C-35-R20,200,20,False
C-35-R20-300C-Furnace,C-35-R20,300,20,False
C-35-R20-400C-Furnace,C-35-R20,400,20,False
C-35-R20-500C-ISO834,C-35-R20,500,20,False
C-35-R20-600C-ISO834,C-35-R20,600,20,False
C-35-R20-700C-ISO834,C-35-R20,700,20,False
C-35-R20-800C-ISO834,C-35-R20,800,20,False
C-28-Control-25C-Furnace,C-28-Control,25,0,True
C-28-Control-100C-Furnace,C-28-Control,100,0,True
C-28-Control-200C-Furnace,C-28-Control,200,0,False
C-28-Control-300C-Furnace,C-28-Control,300,0,False
C-28-Control-400C-Furnace,C-28-Control,400,0,True
C-28-Control-500C-ISO834,C-28-Control,500,0,False
C-28-Control-600C-ISO834,C-28-Control,600,0,False
C-28-Control-700C-ISO834,C-28-Control,700,0,False
C-28-Control-800C-ISO834,C-28-Control,800,0,False
C-35-Control-25C-Furnace,C-35-Control,25,0,True
C-35-Control-100C-Furnace,C-35-Control,100,0,False
C-35-Control-200C-Furnace,C-35-Control,200,0,True
C-35-Control-300C-Furnace,C-35-Control,300,0,False
C-35-Control-400C-Furnace,C-35-Control,400,0,True
C-35-Control-500C-ISO834,C-35-Control,500,0,False
C-35-Control-600C-ISO834,C-35-Control,600,0,False
C-35-Control-700C-ISO834,C-35-Control,700,0,False
C-35-Control-800C-ISO834,C-35-Control,800,0,False
C-45-Control-25C-Furnace,C-45-Control,25,0,False
C-45-Control-100C-Furnace,C-45-Control,100,0,True
C-45-Control-200C-Furnace,C-45-Control,200,0,True
C-45-Control-300C-Furnace,C-45-Control,300,0,True
