Material,Analysis,Component,Content (%)
Cement,XRF,SiO2,20.45
Cement,XRF,Al2O3,5.28
Cement,XRF,Fe2O3,3.12
Cement,XRF,CaO,63.85
Cement,XRF,MgO,2.15
Cement,XRF,SO3,2.95
Cement,XRF,Na2O,0.18
Cement,XRF,K2O,0.52
Cement,XRF,TiO2,0.25
Cement,XRF,P2O5,0.12
Cement,XRF,Cl,0.008
Cement,XRF,free_CaO,1.05
Cement,XRD,Alite_M3,54.8
Cement,XRD,Belite_β,15.2
Cement,XRD,Aluminate_cubic,6.8
Cement,XRD,Ferrite,9.2
Cement,XRD,Gypsum,4.5
Cement,XRD,Calcite,2.1
Cement,XRD,Quartz,0.8
Cement,XRD,Portlandite,0.6
Cement,XRD,Amorphous,6.0
Crumb Rubber,Elemental,Carbon,86.5
Crumb Rubber,Elemental,Hydrogen,7.8
Crumb Rubber,Elemental,Oxygen,2.5
Crumb Rubber,Elemental,Sulfur,1.85
Crumb Rubber,Elemental,Zinc,1.2
Crumb Rubber,Elemental,Silicon,0.08
Crumb Rubber,Elemental,Iron,0.05
Crumb Rubber,Elemental,Others,0.02
Crumb Rubber,Polymer,Natural Rubber Nr,22.5
Crumb Rubber,Polymer,Styrene Butadiene Rubber Sbr,45.8
Crumb Rubber,Polymer,Polybutadiene Rubber Br,18.2
Crumb Rubber,Polymer,Carbon Black,28.5
Crumb Rubber,Polymer,Extender Oil,7.8
Crumb Rubber,Polymer,Zinc Oxide,1.8
Crumb Rubber,Polymer,Stearic Acid,1.2
Crumb Rubber,Polymer,Sulfur,1.5
Crumb Rubber,Polymer,Accelerators,0.8
Crumb Rubber,Polymer,Antioxidants,1.5
Crumb Rubber,Polymer,Others,0.4
