Material,Sieve Size (mm),Retained (g),Retained (%),Cumulative Retained (%),Passing (%)
Coarse Aggregate,25.0,0,0.0,0.0,100.0
Coarse Aggregate,19.0,250,5.0,5.0,95.0
Coarse Aggregate,12.5,1750,35.0,40.0,60.0
Coarse Aggregate,9.5,1500,30.0,70.0,30.0
Coarse Aggregate,4.75,1350,27.0,97.0,3.0
Coarse Aggregate,2.36,100,2.0,99.0,1.0
Fine Aggregate,4.75,10,2.0,2.0,98.0
Fine Aggregate,2.36,65,13.0,15.0,85.0
Fine Aggregate,1.18,90,18.0,33.0,67.0
Fine Aggregate,0.6,100,20.0,53.0,47.0
Fine Aggregate,0.3,115,23.0,76.0,24.0
Fine Aggregate,0.15,85,17.0,93.0,7.0
Fine Aggregate,0.075,25,5.0,98.0,2.0
Rubber Fine (1-4mm),4.75,0,0.0,0.0,100.0
Rubber Fine (1-4mm),4.0,0,2.5,2.5,97.5
Rubber Fine (1-4mm),2.36,0,35.8,38.3,61.7
Rubber Fine (1-4mm),1.18,0,42.5,80.8,19.2
Rubber Fine (1-4mm),0.6,0,15.2,96.0,4.0
Rubber Fine (1-4mm),0.3,0,3.5,99.5,0.5
Rubber Coarse (4-8mm),9.5,0,0.0,0.0,100.0
Rubber Coarse (4-8mm),8.0,0,3.2,3.2,96.8
Rubber Coarse (4-8mm),6.3,0,28.5,31.7,68.3
Rubber Coarse (4-8mm),4.75,0,45.8,77.5,22.5
Rubber Coarse (4-8mm),4.0,0,18.5,96.0,4.0
Rubber Coarse (4-8mm),2.36,0,3.5,99.5,0.5
