component,temperature_C,elastic_modulus_GPa,poisson_ratio,cte_ppm,thermal_conductivity_WmK,density_kgm3
8YSZ Electrolyte,25,205.0,0.23,9.8,2.0,5900
8YSZ Electrolyte,400,190.0,0.23,10.1375,2.1125,5900
8YSZ Electrolyte,800,174.0,0.23,10.4975,2.2325,5900
8YSZ Electrolyte,1000,166.0,0.23,10.6775,2.2925,5900
Ni-YSZ Anode,25,65.0,0.29,12.2,6.2,6500
Ni-YSZ Anode,400,33.095,0.29,12.6125,5.2625,6500
Ni-YSZ Anode,800,16.109,0.29,13.0525,4.2625,6500
Ni-YSZ Anode,1000,11.239,0.29,13.2725,3.7625,6500
LSM Cathode,25,48.0,0.25,11.3,3.4,6200
LSM Cathode,400,45.0,0.25,11.5625,2.95,6200
LSM Cathode,800,41.8,0.25,11.8425,2.47,6200
LSM Cathode,1000,40.2,0.25,11.9825,2.23,6200
Crofer 22 APU,25,165.0,0.3,11.0,11.5,7700
Crofer 22 APU,400,155.625,0.3,11.3375,10.3375,7700
Crofer 22 APU,800,145.625,0.3,11.6975,9.0975,7700
Crofer 22 APU,1000,140.625,0.3,11.8775,8.4775,7700
