shear_strain,shear_stress_GPa,temperature_K,strain_rate_s^-1,gb_sigma,gb_plane,material,run_id
0.0,0.0,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.002,0.21027,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.004,0.31233,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.006,0.53226,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.008,0.67049,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.01,0.78206,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.012,0.94827,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.014,1.01082,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.016,1.06199,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.018,1.10236,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.02,1.20506,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.022,1.26051,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.024,1.3411,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.026,1.33267,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.028,1.44768,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.03,1.47618,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.032,1.42452,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.034,1.45077,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.036,1.53493,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.038,1.53198,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.04,1.59823,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.042,1.61674,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.044,1.60064,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.046,1.63944,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.048,1.67863,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.05,1.66415,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.052,1.67125,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.054,1.65253,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.056,1.7046,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.058,1.69453,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.06,1.66957,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.062,1.7069,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.064,1.71278,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.066,1.64546,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.068,1.76816,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.07,1.72693,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.072,1.71478,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.074,1.73926,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
0.076,1.72233,800,1000000.0,11,(113),Al,gbs_Al_S11_800K_1000000s-1_057
