shear_strain,shear_stress_GPa,temperature_K,strain_rate_s^-1,gb_sigma,gb_plane,material,run_id
0.0,0.0,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.002,0.27273,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.004,0.43584,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.006,0.64144,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.008,0.72519,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.01,0.85211,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.012,1.01758,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.014,1.12845,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.016,1.10682,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.018,1.2354,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.02,1.2459,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.022,1.27486,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.024,1.34551,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.026,1.34603,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.028,1.40588,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.03,1.34823,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.032,1.44963,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.034,1.46618,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.036,1.44857,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.038,1.45835,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.04,1.4277,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.042,1.44341,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.044,1.48497,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.046,1.48055,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.048,1.41971,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.05,1.49731,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.052,1.45366,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.054,1.49196,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.056,1.49356,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.058,1.4611,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.06,1.51159,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.062,1.51141,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.064,1.40947,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.066,1.53091,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.068,1.53422,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.07,1.50832,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.072,1.52718,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.074,1.50135,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.076,1.49861,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.078,1.51768,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.08,1.50441,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.082,1.49857,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.084,1.49791,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.086,1.44932,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.088,1.51725,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.09,1.5612,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.092,1.48149,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.094,1.53901,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.096,1.44456,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.098,1.42355,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.1,1.47488,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.102,1.41542,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.104,1.49785,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.106,1.4698,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.108,1.45642,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.11,1.47987,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.112,1.44001,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.114,1.47517,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.116,1.46689,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.118,1.4264,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.12,1.49126,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.122,1.4498,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.124,1.45427,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.126,1.47332,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.128,1.45281,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.13,1.52106,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.132,1.51327,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.134,1.42887,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.136,1.47545,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.138,1.44587,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.14,1.47133,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.142,1.51229,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.144,1.47585,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.146,1.49453,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.148,1.47887,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
0.15,1.46608,600,1000000.0,17,(410),Cu,gbs_Cu_S17_600K_1000000s-1_115
