shear_strain,shear_stress_GPa,temperature_K,strain_rate_s^-1,gb_sigma,gb_plane,material,run_id
0.0,0.0,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.002,0.26178,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.004,0.37427,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.006,0.56343,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.008,0.72679,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.01,0.88211,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.012,1.0105,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.014,1.02406,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.016,1.05201,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.018,1.12147,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.02,1.17518,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.022,1.22849,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.024,1.2283,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.026,1.2742,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.028,1.26933,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.03,1.36565,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.032,1.33832,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.034,1.32195,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.036,1.37994,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.038,1.31456,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.04,1.40056,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.042,1.39971,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.044,1.35955,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.046,1.33987,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.048,1.43544,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.05,1.42256,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.052,1.41351,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.054,1.44561,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.056,1.37437,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.058,1.41391,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.06,1.41229,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.062,1.42182,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.064,1.36821,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.066,1.41844,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.068,1.38253,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.07,1.41524,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.072,1.42952,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.074,1.35665,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.076,1.39983,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.078,1.43091,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.08,1.39676,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.082,1.42673,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.084,1.40408,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.086,1.36014,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.088,1.44466,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.09,1.36879,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.092,1.39304,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.094,1.40525,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.096,1.34258,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
0.098,1.43567,1000,1000000.0,11,(113),Ti,gbs_Ti_S11_1000K_1000000s-1_083
