material,gb_sigma,gb_plane,temperature_K,strain_rate_s^-1,peak_shear_stress_GPa,yield_like_shear_GPa,run_id
Fe,5,(210),600,1000000.0,2.44348,1.51507,gbs_Fe_S5_600K_1000000s-1_001
Fe,5,(210),600,10000000.0,2.24821,1.53959,gbs_Fe_S5_600K_10000000s-1_002
Fe,5,(210),800,1000000.0,2.39077,1.49996,gbs_Fe_S5_800K_1000000s-1_003
Fe,5,(210),800,10000000.0,2.47145,1.5058,gbs_Fe_S5_800K_10000000s-1_004
Fe,5,(210),1000,1000000.0,1.66838,1.05079,gbs_Fe_S5_1000K_1000000s-1_005
Fe,5,(210),1000,10000000.0,2.02032,1.33619,gbs_Fe_S5_1000K_10000000s-1_006
Fe,11,(113),600,1000000.0,2.14678,1.40566,gbs_Fe_S11_600K_1000000s-1_007
Fe,11,(113),600,10000000.0,1.97896,1.29697,gbs_Fe_S11_600K_10000000s-1_008
Fe,11,(113),800,1000000.0,2.19654,1.34743,gbs_Fe_S11_800K_1000000s-1_009
Fe,11,(113),800,10000000.0,1.80165,1.17204,gbs_Fe_S11_800K_10000000s-1_010
Fe,11,(113),1000,1000000.0,2.04531,1.30711,gbs_Fe_S11_1000K_1000000s-1_011
Fe,11,(113),1000,10000000.0,1.97552,1.25504,gbs_Fe_S11_1000K_10000000s-1_012
Fe,13,(510),600,1000000.0,2.61773,1.76415,gbs_Fe_S13_600K_1000000s-1_013
Fe,13,(510),600,10000000.0,2.01595,1.24199,gbs_Fe_S13_600K_10000000s-1_014
Fe,13,(510),800,1000000.0,2.24032,1.44317,gbs_Fe_S13_800K_1000000s-1_015
Fe,13,(510),800,10000000.0,1.81809,1.21268,gbs_Fe_S13_800K_10000000s-1_016
Fe,13,(510),1000,1000000.0,1.44717,0.8659,gbs_Fe_S13_1000K_1000000s-1_017
Fe,13,(510),1000,10000000.0,1.59408,1.09733,gbs_Fe_S13_1000K_10000000s-1_018
Fe,17,(410),600,1000000.0,1.90902,1.25182,gbs_Fe_S17_600K_1000000s-1_019
Fe,17,(410),600,10000000.0,1.85334,1.15795,gbs_Fe_S17_600K_10000000s-1_020
