frequency_hz,TL_dB_sensor1,TL_dB_sensor2,TL_dB_sensor3
0.0,-65.440506,-64.36286,-52.790596
9.765625,-62.569904,-65.57721,-50.646282
19.53125,-60.80845,-64.54696,-49.56532
29.296875,-58.769485,-66.19441,-52.413082
39.0625,-55.75776,-66.81589,-44.365265
48.828125,-51.261757,-60.782665,-49.005157
58.59375,-53.57509,-57.37739,-50.158466
68.359375,-55.639793,-59.37282,-45.114388
78.125,-52.121315,-58.60726,-42.51417
87.890625,-42.156757,-59.009647,-42.965755
97.65625,-47.721497,-58.429302,-39.47068
107.421875,-42.2699,-56.729034,-37.189083
117.1875,-41.76654,-50.462112,-32.564903
126.953125,-41.32128,-44.120556,-31.704817
136.71875,-36.6762,-33.342823,-27.529516
146.48438,-26.206642,-34.34579,-25.459917
156.25,-31.789879,-36.652153,-26.91735
166.01562,-30.23961,-30.88793,-22.29628
175.78125,-20.950443,-27.662085,-15.443531
185.54688,-12.783756,-26.5502,-7.049563
195.3125,-6.8242054,-19.375109,-4.6331873
205.07812,-6.37737,-18.674582,-7.618714
214.84375,-2.354755,-7.4043655,-1.8003464
224.60938,-1.9802386,-3.4474566,-0.70237464
234.375,-3.6189616,-3.1005404,-2.829833
244.14062,-1.5780809,-3.0163362,0.5728906
253.90625,-0.60713273,-0.11384953,-0.5615385
263.67188,-0.6967778,-4.0942636,0.0024382912
273.4375,0.4365066,-1.4533292,-0.1670845
283.20312,-0.11438954,-1.4277095,-0.061239246
292.96875,-0.11073623,0.040085748,-0.17141886
302.73438,0.27168855,-2.1305993,-0.14311422
312.5,-0.16219097,-1.3673824,0.4836823
322.26562,0.060762707,-0.9000587,-0.11600226
332.03125,-0.43366507,-1.3710918,-0.19117376
341.79688,0.05239632,-1.331641,0.08130257
351.5625,0.2012018,0.077627316,-0.019827247
361.32812,-0.23677425,1.5334277,-0.21736018
371.09375,0.11120272,0.81887513,-0.301944
380.85938,0.39892298,-0.8786687,-0.12467019
390.625,-0.07926898,-1.7973702,0.18141173
400.39062,-0.3742625,-1.6874628,0.2960051
410.15625,-0.21728617,-1.0093229,0.06283546
419.92188,-0.35899565,-1.0296415,-0.29262012
429.6875,-0.8287103,-2.1868684,-0.37678802
439.45312,-0.87207735,-1.9582618,-0.32810625
449.21875,-0.8499054,0.19983886,-0.32312393
458.98438,-0.39169753,-0.45144868,-0.14309068
468.75,0.90973794,-0.7172307,0.23679164
478.51562,0.19845372,-1.8699576,0.31851715
488.28125,0.030818945,-1.3776274,-0.06019002
498.04688,0.4542568,-0.79433405,0.014710387
507.8125,0.39622587,-0.4534585,0.65729207
517.5781,-0.74917585,0.060709618,0.27935886
527.34375,0.36999917,-1.3259853,-0.61359733
537.1094,0.827078,1.5910226,-0.37555754
546.875,0.15190768,-1.1009331,0.18014684
556.6406,0.13355526,-0.39488432,-0.7764616
566.40625,-0.24738666,-0.40836465,0.7146393
576.1719,0.22111025,-3.0220203,0.28590095
585.9375,-0.559557,-2.9102998,-0.26952043
595.7031,-0.50251,-2.2060366,-0.18460673
605.46875,-1.0175587,-1.4870992,-0.41352612
615.2344,-0.57009476,0.8364672,0.23961797
625.0,-0.10229241,-2.271447,0.35533
634.7656,0.35720247,-2.7693515,0.20987421
644.53125,0.30101097,-0.2660098,0.25569895
654.2969,0.8817773,0.40997875,-0.09764575
664.0625,0.49314487,-2.6566277,0.02273145
673.8281,-0.26995453,-3.5689893,0.20845821
683.59375,0.41263905,-0.66416913,0.038285393
693.3594,1.4458218,1.5439937,-0.109913915
703.125,0.458854,0.7647202,0.0051208483
712.8906,-0.5889621,0.070388734,-0.059019025
722.65625,-1.0616813,0.6183748,0.19291617
732.4219,-1.1283166,-0.1814852,0.33233327
