Mix_ID,Temperature_C,Data_Type,Property_Type,Tensile_Strength_Mean_MPa,Tensile_Strength_Std_MPa,Rubber_Content_Percent,Particle_Size
C,20,Calibration,Mechanical,4.2,0.63,0.0,small
C,30,Validation,Mechanical,4.216,0.632,0.0,small
C,40,Calibration,Mechanical,4.232,0.635,0.0,small
C,50,Calibration,Mechanical,4.248,0.637,0.0,small
C,60,Validation,Mechanical,4.265,0.64,0.0,small
C,70,Calibration,Mechanical,4.281,0.642,0.0,small
C,80,Calibration,Mechanical,4.297,0.645,0.0,small
C,90,Calibration,Mechanical,4.313,0.647,0.0,small
C,100,Calibration,Mechanical,4.329,0.649,0.0,small
C,110,Calibration,Mechanical,4.345,0.652,0.0,small
C,120,Calibration,Mechanical,4.362,0.654,0.0,small
C,130,Validation,Mechanical,4.378,0.657,0.0,small
C,140,Calibration,Mechanical,4.394,0.659,0.0,small
C,150,Calibration,Mechanical,4.41,0.662,0.0,small
C,160,Validation,Mechanical,4.234,0.635,0.0,small
C,170,Validation,Mechanical,4.066,0.61,0.0,small
C,180,Calibration,Mechanical,3.904,0.586,0.0,small
C,190,Calibration,Mechanical,3.749,0.562,0.0,small
C,200,Calibration,Mechanical,3.6,0.54,0.0,small
C,210,Calibration,Mechanical,3.456,0.518,0.0,small
C,220,Calibration,Mechanical,3.319,0.498,0.0,small
C,230,Calibration,Mechanical,3.187,0.478,0.0,small
C,240,Calibration,Mechanical,3.06,0.459,0.0,small
C,250,Calibration,Mechanical,2.938,0.441,0.0,small
C,260,Validation,Mechanical,2.821,0.423,0.0,small
C,270,Validation,Mechanical,2.709,0.406,0.0,small
C,280,Calibration,Mechanical,2.601,0.39,0.0,small
C,290,Calibration,Mechanical,2.497,0.375,0.0,small
C,300,Calibration,Mechanical,2.398,0.36,0.0,small
C,310,Validation,Mechanical,2.303,0.345,0.0,small
C,320,Calibration,Mechanical,2.211,0.332,0.0,small
C,330,Calibration,Mechanical,2.123,0.318,0.0,small
C,340,Validation,Mechanical,2.038,0.306,0.0,small
C,350,Validation,Mechanical,1.957,0.294,0.0,small
C,360,Validation,Mechanical,1.879,0.282,0.0,small
C,370,Validation,Mechanical,1.805,0.271,0.0,small
C,380,Calibration,Mechanical,1.733,0.26,0.0,small
C,390,Calibration,Mechanical,1.664,0.25,0.0,small
C,400,Validation,Mechanical,1.598,0.24,0.0,small
C,410,Validation,Mechanical,1.534,0.23,0.0,small
C,420,Calibration,Mechanical,1.473,0.221,0.0,small
C,430,Calibration,Mechanical,1.414,0.212,0.0,small
C,440,Calibration,Mechanical,1.358,0.204,0.0,small
C,450,Validation,Mechanical,1.304,0.196,0.0,small
C,460,Validation,Mechanical,1.252,0.188,0.0,small
C,470,Calibration,Mechanical,1.202,0.18,0.0,small
C,480,Calibration,Mechanical,1.154,0.173,0.0,small
C,490,Calibration,Mechanical,1.108,0.166,0.0,small
