Mix_ID,Temperature_C,Data_Type,Property_Type,Fracture_Toughness_Mean_MPa_m05,Fracture_Toughness_Std_MPa_m05,Fracture_Energy_Mean_J_m2,Fracture_Energy_Std_J_m2,Rubber_Content_Percent,Particle_Size
C,20,Calibration,Mechanical,1.2,0.216,120.0,24.0,0.0,small
C,30,Calibration,Mechanical,1.2008,0.2161,120.2,24.0,0.0,small
C,40,Calibration,Mechanical,1.2015,0.2163,120.3,24.1,0.0,small
C,50,Validation,Mechanical,1.2023,0.2164,120.5,24.1,0.0,small
C,60,Calibration,Mechanical,1.2031,0.2166,120.6,24.1,0.0,small
C,70,Calibration,Mechanical,1.2038,0.2167,120.8,24.2,0.0,small
C,80,Validation,Mechanical,1.2046,0.2168,120.9,24.2,0.0,small
C,90,Calibration,Mechanical,1.2054,0.217,121.1,24.2,0.0,small
C,100,Validation,Mechanical,1.2062,0.2171,121.2,24.2,0.0,small
C,110,Calibration,Mechanical,1.2069,0.2172,121.4,24.3,0.0,small
C,120,Validation,Mechanical,1.2077,0.2174,121.5,24.3,0.0,small
C,130,Calibration,Mechanical,1.2085,0.2175,121.7,24.3,0.0,small
C,140,Calibration,Mechanical,1.2092,0.2177,121.8,24.4,0.0,small
C,150,Calibration,Mechanical,1.21,0.2178,122.0,24.4,0.0,small
C,160,Calibration,Mechanical,1.2108,0.2179,122.2,24.4,0.0,small
C,170,Validation,Mechanical,1.2115,0.2181,122.3,24.5,0.0,small
C,180,Validation,Mechanical,1.2123,0.2182,122.5,24.5,0.0,small
C,190,Calibration,Mechanical,1.2131,0.2184,122.6,24.5,0.0,small
C,200,Calibration,Mechanical,1.2138,0.2185,122.8,24.6,0.0,small
C,210,Validation,Mechanical,1.2146,0.2186,122.9,24.6,0.0,small
C,220,Validation,Mechanical,1.2154,0.2188,123.1,24.6,0.0,small
C,230,Calibration,Mechanical,1.2162,0.2189,123.2,24.6,0.0,small
C,240,Calibration,Mechanical,1.2169,0.219,123.4,24.7,0.0,small
C,250,Calibration,Mechanical,1.2177,0.2192,123.5,24.7,0.0,small
C,260,Calibration,Mechanical,1.2185,0.2193,120.9,24.2,0.0,small
C,270,Calibration,Mechanical,1.2192,0.2195,118.3,23.7,0.0,small
C,280,Calibration,Mechanical,1.22,0.2196,115.7,23.1,0.0,small
C,290,Calibration,Mechanical,1.2208,0.2197,113.2,22.6,0.0,small
C,300,Validation,Mechanical,1.2215,0.2199,110.8,22.2,0.0,small
C,310,Calibration,Mechanical,1.2021,0.2164,108.4,21.7,0.0,small
C,320,Calibration,Mechanical,1.1831,0.213,106.0,21.2,0.0,small
C,330,Calibration,Mechanical,1.1643,0.2096,103.8,20.8,0.0,small
C,340,Calibration,Mechanical,1.1458,0.2062,101.5,20.3,0.0,small
C,350,Calibration,Mechanical,1.1276,0.203,99.3,19.9,0.0,small
C,360,Calibration,Mechanical,1.1097,0.1998,97.2,19.4,0.0,small
C,370,Calibration,Mechanical,1.0921,0.1966,95.1,19.0,0.0,small
C,380,Calibration,Mechanical,1.0748,0.1935,93.0,18.6,0.0,small
C,390,Calibration,Mechanical,1.0577,0.1904,91.0,18.2,0.0,small
C,400,Calibration,Mechanical,1.0409,0.1874,89.1,17.8,0.0,small
C,410,Validation,Mechanical,1.0244,0.1844,87.1,17.4,0.0,small
C,420,Calibration,Mechanical,1.0081,0.1815,85.3,17.1,0.0,small
C,430,Validation,Mechanical,0.9921,0.1786,83.4,16.7,0.0,small
C,440,Calibration,Mechanical,0.9764,0.1758,81.6,16.3,0.0,small
C,450,Calibration,Mechanical,0.9609,0.173,79.9,16.0,0.0,small
C,460,Calibration,Mechanical,0.9456,0.1702,78.1,15.6,0.0,small
C,470,Calibration,Mechanical,0.9306,0.1675,76.4,15.3,0.0,small
C,480,Validation,Mechanical,0.9159,0.1649,74.8,15.0,0.0,small
C,490,Validation,Mechanical,0.9013,0.1622,73.2,14.6,0.0,small
C,500,Validation,Mechanical,0.887,0.1597,71.6,14.3,0.0,small
C,510,Calibration,Mechanical,0.8729,0.1571,70.1,14.0,0.0,small
C,520,Calibration,Mechanical,0.8591,0.1546,68.5,13.7,0.0,small
C,530,Calibration,Mechanical,0.8454,0.1522,67.1,13.4,0.0,small
C,540,Calibration,Mechanical,0.832,0.1498,65.6,13.1,0.0,small
C,550,Calibration,Mechanical,0.8188,0.1474,64.2,12.8,0.0,small
C,560,Calibration,Mechanical,0.8058,0.145,62.8,12.6,0.0,small
C,570,Calibration,Mechanical,0.793,0.1427,61.5,12.3,0.0,small
C,580,Calibration,Mechanical,0.7804,0.1405,60.1,12.0,0.0,small
C,590,Validation,Mechanical,0.7681,0.1383,58.8,11.8,0.0,small
C,600,Validation,Mechanical,0.7559,0.1361,57.6,11.5,0.0,small
C,610,Validation,Mechanical,0.7439,0.1339,56.3,11.3,0.0,small
C,620,Calibration,Mechanical,0.7321,0.1318,55.1,11.0,0.0,small
C,630,Calibration,Mechanical,0.7204,0.1297,53.9,10.8,0.0,small
C,640,Calibration,Mechanical,0.709,0.1276,52.8,10.6,0.0,small
C,650,Validation,Mechanical,0.6978,0.1256,51.6,10.3,0.0,small
C,660,Calibration,Mechanical,0.6867,0.1236,50.5,10.1,0.0,small
C,670,Calibration,Mechanical,0.6758,0.1216,49.4,9.9,0.0,small
C,680,Validation,Mechanical,0.6651,0.1197,48.3,9.7,0.0,small
C,690,Calibration,Mechanical,0.6545,0.1178,47.3,9.5,0.0,small
C,700,Calibration,Mechanical,0.6441,0.1159,46.3,9.3,0.0,small
C,710,Calibration,Mechanical,0.6339,0.1141,45.3,9.1,0.0,small
C,720,Calibration,Mechanical,0.6238,0.1123,44.3,8.9,0.0,small
C,730,Calibration,Mechanical,0.6139,0.1105,43.3,8.7,0.0,small
C,740,Calibration,Mechanical,0.6042,0.1088,42.4,8.5,0.0,small
C,750,Calibration,Mechanical,0.5946,0.107,41.5,8.3,0.0,small
C,760,Calibration,Mechanical,0.5851,0.1053,40.6,8.1,0.0,small
C,770,Validation,Mechanical,0.5759,0.1037,39.7,7.9,0.0,small
C,780,Calibration,Mechanical,0.5667,0.102,38.9,7.8,0.0,small
C,790,Calibration,Mechanical,0.5577,0.1004,38.0,7.6,0.0,small
C,800,Calibration,Mechanical,0.5489,0.0988,37.2,7.4,0.0,small
R5S,20,Validation,Mechanical,1.23,0.2214,125.4,25.1,10.0,small
R5S,30,Calibration,Mechanical,1.2308,0.2215,125.6,25.1,10.0,small
R5S,40,Calibration,Mechanical,1.2316,0.2217,125.7,25.1,10.0,small
R5S,50,Validation,Mechanical,1.2325,0.2218,125.9,25.2,10.0,small
R5S,60,Validation,Mechanical,1.2333,0.222,126.1,25.2,10.0,small
R5S,70,Calibration,Mechanical,1.2341,0.2221,126.2,25.2,10.0,small
R5S,80,Validation,Mechanical,1.2349,0.2223,126.4,25.3,10.0,small
R5S,90,Calibration,Mechanical,1.2357,0.2224,126.6,25.3,10.0,small
R5S,100,Calibration,Mechanical,1.2366,0.2226,126.8,25.4,10.0,small
R5S,110,Calibration,Mechanical,1.2374,0.2227,126.9,25.4,10.0,small
R5S,120,Calibration,Mechanical,1.2382,0.2229,127.1,25.4,10.0,small
R5S,130,Validation,Mechanical,1.239,0.223,127.3,25.5,10.0,small
R5S,140,Calibration,Mechanical,1.2398,0.2232,127.4,25.5,10.0,small
R5S,150,Calibration,Mechanical,1.2407,0.2233,127.6,25.5,10.0,small
R5S,160,Validation,Mechanical,1.2415,0.2235,127.8,25.6,10.0,small
R5S,170,Validation,Mechanical,1.2423,0.2236,127.9,25.6,10.0,small
R5S,180,Calibration,Mechanical,1.2431,0.2238,128.1,25.6,10.0,small
R5S,190,Calibration,Mechanical,1.2439,0.2239,128.3,25.7,10.0,small
R5S,200,Calibration,Mechanical,1.2448,0.2241,128.4,25.7,10.0,small
R5S,210,Validation,Mechanical,1.2456,0.2242,128.6,25.7,10.0,small
R5S,220,Calibration,Mechanical,1.2464,0.2244,128.8,25.8,10.0,small
R5S,230,Validation,Mechanical,1.2472,0.2245,128.9,25.8,10.0,small
R5S,240,Calibration,Mechanical,1.248,0.2246,129.1,25.8,10.0,small
R5S,250,Calibration,Mechanical,1.2489,0.2248,129.3,25.9,10.0,small
R5S,260,Calibration,Mechanical,1.2497,0.2249,126.5,25.3,10.0,small
