Mix_ID,Temperature_C,Data_Type,Property_Type,Elastic_Modulus_Mean_MPa,Elastic_Modulus_Std_MPa,Rubber_Content_Percent,Particle_Size
C,20,Validation,Mechanical,32000.0,3200.0,0.0,small
C,30,Calibration,Mechanical,31633.0,3163.0,0.0,small
C,40,Calibration,Mechanical,31270.0,3127.0,0.0,small
C,50,Calibration,Mechanical,30911.0,3091.0,0.0,small
C,60,Calibration,Mechanical,30557.0,3056.0,0.0,small
C,70,Validation,Mechanical,30206.0,3021.0,0.0,small
C,80,Calibration,Mechanical,29860.0,2986.0,0.0,small
C,90,Calibration,Mechanical,29517.0,2952.0,0.0,small
C,100,Calibration,Mechanical,29178.0,2918.0,0.0,small
C,110,Calibration,Mechanical,28844.0,2884.0,0.0,small
C,120,Calibration,Mechanical,28513.0,2851.0,0.0,small
C,130,Validation,Mechanical,28186.0,2819.0,0.0,small
C,140,Calibration,Mechanical,27862.0,2786.0,0.0,small
C,150,Calibration,Mechanical,27543.0,2754.0,0.0,small
C,160,Calibration,Mechanical,27227.0,2723.0,0.0,small
C,170,Calibration,Mechanical,26914.0,2691.0,0.0,small
C,180,Calibration,Mechanical,26606.0,2661.0,0.0,small
C,190,Calibration,Mechanical,26300.0,2630.0,0.0,small
C,200,Validation,Mechanical,25999.0,2600.0,0.0,small
C,210,Calibration,Mechanical,25700.0,2570.0,0.0,small
C,220,Calibration,Mechanical,25406.0,2541.0,0.0,small
C,230,Calibration,Mechanical,25114.0,2511.0,0.0,small
C,240,Calibration,Mechanical,24826.0,2483.0,0.0,small
C,250,Validation,Mechanical,24541.0,2454.0,0.0,small
C,260,Validation,Mechanical,24260.0,2426.0,0.0,small
C,270,Calibration,Mechanical,23981.0,2398.0,0.0,small
C,280,Calibration,Mechanical,23706.0,2371.0,0.0,small
C,290,Calibration,Mechanical,23434.0,2343.0,0.0,small
C,300,Calibration,Mechanical,23165.0,2317.0,0.0,small
C,310,Calibration,Mechanical,22900.0,2290.0,0.0,small
C,320,Calibration,Mechanical,22637.0,2264.0,0.0,small
C,330,Calibration,Mechanical,22377.0,2238.0,0.0,small
C,340,Calibration,Mechanical,22121.0,2212.0,0.0,small
C,350,Validation,Mechanical,21867.0,2187.0,0.0,small
C,360,Calibration,Mechanical,21616.0,2162.0,0.0,small
C,370,Calibration,Mechanical,21368.0,2137.0,0.0,small
C,380,Validation,Mechanical,21123.0,2112.0,0.0,small
C,390,Calibration,Mechanical,20880.0,2088.0,0.0,small
C,400,Calibration,Mechanical,20641.0,2064.0,0.0,small
C,410,Calibration,Mechanical,20404.0,2040.0,0.0,small
C,420,Calibration,Mechanical,20170.0,2017.0,0.0,small
C,430,Validation,Mechanical,19939.0,1994.0,0.0,small
C,440,Validation,Mechanical,19710.0,1971.0,0.0,small
C,450,Calibration,Mechanical,19484.0,1948.0,0.0,small
C,460,Calibration,Mechanical,19260.0,1926.0,0.0,small
C,470,Calibration,Mechanical,19039.0,1904.0,0.0,small
C,480,Calibration,Mechanical,18821.0,1882.0,0.0,small
C,490,Calibration,Mechanical,18605.0,1860.0,0.0,small
C,500,Validation,Mechanical,18392.0,1839.0,0.0,small
C,510,Calibration,Mechanical,18181.0,1818.0,0.0,small
C,520,Validation,Mechanical,17972.0,1797.0,0.0,small
C,530,Calibration,Mechanical,17766.0,1777.0,0.0,small
C,540,Calibration,Mechanical,17562.0,1756.0,0.0,small
C,550,Calibration,Mechanical,17360.0,1736.0,0.0,small
C,560,Validation,Mechanical,17161.0,1716.0,0.0,small
C,570,Validation,Mechanical,16964.0,1696.0,0.0,small
C,580,Validation,Mechanical,16770.0,1677.0,0.0,small
C,590,Calibration,Mechanical,16577.0,1658.0,0.0,small
C,600,Calibration,Mechanical,16387.0,1639.0,0.0,small
C,610,Validation,Mechanical,16199.0,1620.0,0.0,small
C,620,Calibration,Mechanical,16013.0,1601.0,0.0,small
C,630,Calibration,Mechanical,15830.0,1583.0,0.0,small
C,640,Calibration,Mechanical,15648.0,1565.0,0.0,small
C,650,Validation,Mechanical,15469.0,1547.0,0.0,small
C,660,Validation,Mechanical,15291.0,1529.0,0.0,small
C,670,Calibration,Mechanical,15116.0,1512.0,0.0,small
C,680,Validation,Mechanical,14942.0,1494.0,0.0,small
C,690,Validation,Mechanical,14771.0,1477.0,0.0,small
C,700,Calibration,Mechanical,14601.0,1460.0,0.0,small
C,710,Calibration,Mechanical,14434.0,1443.0,0.0,small
C,720,Validation,Mechanical,14268.0,1427.0,0.0,small
C,730,Calibration,Mechanical,14105.0,1410.0,0.0,small
C,740,Calibration,Mechanical,13943.0,1394.0,0.0,small
C,750,Calibration,Mechanical,13783.0,1378.0,0.0,small
C,760,Validation,Mechanical,13625.0,1362.0,0.0,small
C,770,Validation,Mechanical,13468.0,1347.0,0.0,small
C,780,Validation,Mechanical,13314.0,1331.0,0.0,small
C,790,Calibration,Mechanical,13161.0,1316.0,0.0,small
C,800,Validation,Mechanical,13010.0,1301.0,0.0,small
R5S,20,Validation,Mechanical,29280.0,2928.0,10.0,small
R5S,30,Calibration,Mechanical,28924.0,2892.0,10.0,small
R5S,40,Validation,Mechanical,28572.0,2857.0,10.0,small
R5S,50,Calibration,Mechanical,28225.0,2823.0,10.0,small
R5S,60,Calibration,Mechanical,27882.0,2788.0,10.0,small
R5S,70,Calibration,Mechanical,27543.0,2754.0,10.0,small
R5S,80,Calibration,Mechanical,27208.0,2721.0,10.0,small
R5S,90,Calibration,Mechanical,26877.0,2688.0,10.0,small
R5S,100,Calibration,Mechanical,26551.0,2655.0,10.0,small
R5S,110,Calibration,Mechanical,26228.0,2623.0,10.0,small
R5S,120,Validation,Mechanical,25909.0,2591.0,10.0,small
R5S,130,Calibration,Mechanical,25594.0,2559.0,10.0,small
R5S,140,Calibration,Mechanical,25283.0,2528.0,10.0,small
R5S,150,Calibration,Mechanical,24976.0,2498.0,10.0,small
R5S,160,Validation,Mechanical,24672.0,2467.0,10.0,small
R5S,170,Calibration,Mechanical,24372.0,2437.0,10.0,small
R5S,180,Calibration,Mechanical,24076.0,2408.0,10.0,small
R5S,190,Validation,Mechanical,23783.0,2378.0,10.0,small
R5S,200,Calibration,Mechanical,23494.0,2349.0,10.0,small
R5S,210,Calibration,Mechanical,23209.0,2321.0,10.0,small
R5S,220,Calibration,Mechanical,22926.0,2293.0,10.0,small
R5S,230,Validation,Mechanical,22648.0,2265.0,10.0,small
R5S,240,Calibration,Mechanical,22372.0,2237.0,10.0,small
R5S,250,Validation,Mechanical,22100.0,2210.0,10.0,small
R5S,260,Calibration,Mechanical,21832.0,2183.0,10.0,small
R5S,270,Validation,Mechanical,21566.0,2157.0,10.0,small
R5S,280,Validation,Mechanical,21304.0,2130.0,10.0,small
R5S,290,Validation,Mechanical,21045.0,2105.0,10.0,small
R5S,300,Calibration,Mechanical,20789.0,2079.0,10.0,small
R5S,310,Validation,Mechanical,20537.0,2054.0,10.0,small
R5S,320,Calibration,Mechanical,20287.0,2029.0,10.0,small
R5S,330,Calibration,Mechanical,20040.0,2004.0,10.0,small
R5S,340,Calibration,Mechanical,19797.0,1980.0,10.0,small
R5S,350,Validation,Mechanical,19556.0,1956.0,10.0,small
R5S,360,Validation,Mechanical,19318.0,1932.0,10.0,small
R5S,370,Validation,Mechanical,19084.0,1908.0,10.0,small
R5S,380,Calibration,Mechanical,18852.0,1885.0,10.0,small
R5S,390,Calibration,Mechanical,18622.0,1862.0,10.0,small
R5S,400,Validation,Mechanical,18396.0,1840.0,10.0,small
R5S,410,Calibration,Mechanical,18172.0,1817.0,10.0,small
R5S,420,Calibration,Mechanical,17952.0,1795.0,10.0,small
R5S,430,Calibration,Mechanical,17733.0,1773.0,10.0,small
R5S,440,Calibration,Mechanical,17518.0,1752.0,10.0,small
R5S,450,Calibration,Mechanical,17305.0,1730.0,10.0,small
R5S,460,Calibration,Mechanical,17094.0,1709.0,10.0,small
R5S,470,Calibration,Mechanical,16887.0,1689.0,10.0,small
R5S,480,Calibration,Mechanical,16681.0,1668.0,10.0,small
R5S,490,Validation,Mechanical,16479.0,1648.0,10.0,small
R5S,500,Calibration,Mechanical,16278.0,1628.0,10.0,small
R5S,510,Calibration,Mechanical,16080.0,1608.0,10.0,small
R5S,520,Calibration,Mechanical,15885.0,1588.0,10.0,small
R5S,530,Calibration,Mechanical,15692.0,1569.0,10.0,small
R5S,540,Validation,Mechanical,15501.0,1550.0,10.0,small
R5S,550,Validation,Mechanical,15313.0,1531.0,10.0,small
R5S,560,Calibration,Mechanical,15126.0,1513.0,10.0,small
R5S,570,Calibration,Mechanical,14943.0,1494.0,10.0,small
R5S,580,Validation,Mechanical,14761.0,1476.0,10.0,small
R5S,590,Validation,Mechanical,14581.0,1458.0,10.0,small
R5S,600,Calibration,Mechanical,14404.0,1440.0,10.0,small
R5S,610,Calibration,Mechanical,14229.0,1423.0,10.0,small
R5S,620,Calibration,Mechanical,14056.0,1406.0,10.0,small
R5S,630,Validation,Mechanical,13885.0,1389.0,10.0,small
R5S,640,Calibration,Mechanical,13716.0,1372.0,10.0,small
R5S,650,Validation,Mechanical,13550.0,1355.0,10.0,small
R5S,660,Calibration,Mechanical,13385.0,1339.0,10.0,small
R5S,670,Calibration,Mechanical,13222.0,1322.0,10.0,small
R5S,680,Calibration,Mechanical,13062.0,1306.0,10.0,small
R5S,690,Calibration,Mechanical,12903.0,1290.0,10.0,small
R5S,700,Calibration,Mechanical,12746.0,1275.0,10.0,small
R5S,710,Calibration,Mechanical,12591.0,1259.0,10.0,small
R5S,720,Calibration,Mechanical,12438.0,1244.0,10.0,small
R5S,730,Validation,Mechanical,12287.0,1229.0,10.0,small
R5S,740,Calibration,Mechanical,12137.0,1214.0,10.0,small
R5S,750,Calibration,Mechanical,11990.0,1199.0,10.0,small
R5S,760,Validation,Mechanical,11844.0,1184.0,10.0,small
R5S,770,Validation,Mechanical,11700.0,1170.0,10.0,small
R5S,780,Validation,Mechanical,11558.0,1156.0,10.0,small
