Mix_ID,Temperature_C,Data_Type,Property_Type,Compressive_Strength_Mean_MPa,Compressive_Strength_Std_MPa,Rubber_Content_Percent,Particle_Size
C,20,Calibration,Mechanical,45.0,5.4,0.0,small
C,30,Validation,Mechanical,45.38,5.44,0.0,small
C,40,Validation,Mechanical,45.75,5.49,0.0,small
C,50,Calibration,Mechanical,46.12,5.53,0.0,small
C,60,Calibration,Mechanical,46.5,5.58,0.0,small
C,70,Calibration,Mechanical,46.88,5.62,0.0,small
C,80,Calibration,Mechanical,47.25,5.67,0.0,small
C,90,Validation,Mechanical,47.62,5.72,0.0,small
C,100,Calibration,Mechanical,48.0,5.76,0.0,small
C,110,Validation,Mechanical,48.38,5.8,0.0,small
C,120,Calibration,Mechanical,48.75,5.85,0.0,small
C,130,Validation,Mechanical,49.12,5.89,0.0,small
C,140,Validation,Mechanical,49.5,5.94,0.0,small
C,150,Calibration,Mechanical,49.88,5.98,0.0,small
C,160,Calibration,Mechanical,50.25,6.03,0.0,small
C,170,Calibration,Mechanical,50.62,6.08,0.0,small
C,180,Calibration,Mechanical,51.0,6.12,0.0,small
C,190,Calibration,Mechanical,51.38,6.16,0.0,small
C,200,Calibration,Mechanical,51.75,6.21,0.0,small
C,210,Calibration,Mechanical,50.22,6.03,0.0,small
C,220,Calibration,Mechanical,48.74,5.85,0.0,small
C,230,Calibration,Mechanical,47.3,5.68,0.0,small
C,240,Calibration,Mechanical,45.9,5.51,0.0,small
C,250,Calibration,Mechanical,44.54,5.34,0.0,small
C,260,Calibration,Mechanical,43.23,5.19,0.0,small
C,270,Validation,Mechanical,41.95,5.03,0.0,small
C,280,Calibration,Mechanical,40.71,4.88,0.0,small
C,290,Calibration,Mechanical,39.5,4.74,0.0,small
C,300,Calibration,Mechanical,38.34,4.6,0.0,small
C,310,Calibration,Mechanical,37.2,4.46,0.0,small
C,320,Calibration,Mechanical,36.1,4.33,0.0,small
C,330,Calibration,Mechanical,35.04,4.2,0.0,small
C,340,Calibration,Mechanical,34.0,4.08,0.0,small
C,350,Validation,Mechanical,33.0,3.96,0.0,small
C,360,Validation,Mechanical,32.02,3.84,0.0,small
C,370,Validation,Mechanical,31.08,3.73,0.0,small
C,380,Calibration,Mechanical,30.16,3.62,0.0,small
