Mix_ID,Temperature_C,Data_Type,Property_Type,Poissons_Ratio_Mean,Poissons_Ratio_Std,Rubber_Content_Percent,Particle_Size
C,20,Calibration,Mechanical,0.18,0.0144,0.0,small
C,30,Calibration,Mechanical,0.1806,0.0144,0.0,small
C,40,Validation,Mechanical,0.1812,0.0145,0.0,small
C,50,Validation,Mechanical,0.1817,0.0145,0.0,small
C,60,Calibration,Mechanical,0.1823,0.0146,0.0,small
C,70,Validation,Mechanical,0.1829,0.0146,0.0,small
C,80,Calibration,Mechanical,0.1835,0.0147,0.0,small
C,90,Validation,Mechanical,0.184,0.0147,0.0,small
C,100,Calibration,Mechanical,0.1846,0.0148,0.0,small
C,110,Calibration,Mechanical,0.1852,0.0148,0.0,small
C,120,Calibration,Mechanical,0.1858,0.0149,0.0,small
C,130,Calibration,Mechanical,0.1863,0.0149,0.0,small
C,140,Calibration,Mechanical,0.1869,0.015,0.0,small
C,150,Calibration,Mechanical,0.1875,0.015,0.0,small
C,160,Calibration,Mechanical,0.1881,0.015,0.0,small
C,170,Validation,Mechanical,0.1887,0.0151,0.0,small
C,180,Calibration,Mechanical,0.1892,0.0151,0.0,small
C,190,Calibration,Mechanical,0.1898,0.0152,0.0,small
C,200,Validation,Mechanical,0.1904,0.0152,0.0,small
C,210,Calibration,Mechanical,0.191,0.0153,0.0,small
C,220,Calibration,Mechanical,0.1915,0.0153,0.0,small
C,230,Calibration,Mechanical,0.1921,0.0154,0.0,small
C,240,Validation,Mechanical,0.1927,0.0154,0.0,small
C,250,Calibration,Mechanical,0.1933,0.0155,0.0,small
C,260,Calibration,Mechanical,0.1938,0.0155,0.0,small
C,270,Validation,Mechanical,0.1944,0.0156,0.0,small
C,280,Validation,Mechanical,0.195,0.0156,0.0,small
C,290,Calibration,Mechanical,0.1956,0.0156,0.0,small
C,300,Calibration,Mechanical,0.1962,0.0157,0.0,small
C,310,Calibration,Mechanical,0.1967,0.0157,0.0,small
C,320,Validation,Mechanical,0.1973,0.0158,0.0,small
C,330,Calibration,Mechanical,0.1979,0.0158,0.0,small
C,340,Calibration,Mechanical,0.1985,0.0159,0.0,small
C,350,Validation,Mechanical,0.199,0.0159,0.0,small
C,360,Calibration,Mechanical,0.1996,0.016,0.0,small
C,370,Calibration,Mechanical,0.2002,0.016,0.0,small
C,380,Calibration,Mechanical,0.2008,0.0161,0.0,small
C,390,Calibration,Mechanical,0.2013,0.0161,0.0,small
C,400,Calibration,Mechanical,0.2019,0.0162,0.0,small
C,410,Calibration,Mechanical,0.2025,0.0162,0.0,small
C,420,Calibration,Mechanical,0.2031,0.0162,0.0,small
C,430,Calibration,Mechanical,0.2037,0.0163,0.0,small
C,440,Validation,Mechanical,0.2042,0.0163,0.0,small
C,450,Calibration,Mechanical,0.2048,0.0164,0.0,small
C,460,Validation,Mechanical,0.2054,0.0164,0.0,small
C,470,Calibration,Mechanical,0.206,0.0165,0.0,small
C,480,Validation,Mechanical,0.2065,0.0165,0.0,small
C,490,Validation,Mechanical,0.2071,0.0166,0.0,small
C,500,Calibration,Mechanical,0.2077,0.0166,0.0,small
C,510,Validation,Mechanical,0.2083,0.0167,0.0,small
C,520,Validation,Mechanical,0.2088,0.0167,0.0,small
C,530,Calibration,Mechanical,0.2094,0.0168,0.0,small
C,540,Calibration,Mechanical,0.21,0.0168,0.0,small
C,550,Calibration,Mechanical,0.2106,0.0168,0.0,small
C,560,Validation,Mechanical,0.2112,0.0169,0.0,small
C,570,Validation,Mechanical,0.2117,0.0169,0.0,small
C,580,Validation,Mechanical,0.2123,0.017,0.0,small
C,590,Calibration,Mechanical,0.2129,0.017,0.0,small
C,600,Validation,Mechanical,0.2135,0.0171,0.0,small
C,610,Calibration,Mechanical,0.214,0.0171,0.0,small
C,620,Calibration,Mechanical,0.2146,0.0172,0.0,small
C,630,Calibration,Mechanical,0.2152,0.0172,0.0,small
C,640,Calibration,Mechanical,0.2158,0.0173,0.0,small
C,650,Calibration,Mechanical,0.2163,0.0173,0.0,small
C,660,Calibration,Mechanical,0.2169,0.0174,0.0,small
C,670,Calibration,Mechanical,0.2175,0.0174,0.0,small
C,680,Calibration,Mechanical,0.2181,0.0174,0.0,small
C,690,Calibration,Mechanical,0.2187,0.0175,0.0,small
C,700,Calibration,Mechanical,0.2192,0.0175,0.0,small
C,710,Calibration,Mechanical,0.2198,0.0176,0.0,small
C,720,Calibration,Mechanical,0.2204,0.0176,0.0,small
C,730,Calibration,Mechanical,0.221,0.0177,0.0,small
C,740,Calibration,Mechanical,0.2215,0.0177,0.0,small
C,750,Calibration,Mechanical,0.2221,0.0178,0.0,small
C,760,Calibration,Mechanical,0.2227,0.0178,0.0,small
C,770,Calibration,Mechanical,0.2233,0.0179,0.0,small
C,780,Calibration,Mechanical,0.2238,0.0179,0.0,small
C,790,Validation,Mechanical,0.2244,0.018,0.0,small
