Mix_ID,Temperature_C,Data_Type,Property_Type,Thermal_Conductivity_W_mK,Thermal_Conductivity_Std,Specific_Heat_J_kgK,Specific_Heat_Std,Density_kg_m3,Density_Std,Compressive_Strength_MPa,Compressive_Strength_Std,Tensile_Strength_MPa,Tensile_Strength_Std,Elastic_Modulus_MPa,Elastic_Modulus_Std,Poisson_Ratio,Poisson_Ratio_Std,Fracture_Energy_N_m,Fracture_Energy_Std,Gas_Permeability_m2,Gas_Permeability_Std,Moisture_Diffusivity_m2_s,Moisture_Diffusivity_Std,Porosity,Porosity_Std,Thermal_Strain,Thermal_Strain_Std,Creep_Coefficient,Creep_Coefficient_Std,Shrinkage_Strain,Shrinkage_Strain_Std
C,20,Calibration,Thermal,2.2823,0.1826,911.02,91.1,2388.02,71.64,,,,,,,,,,,,,,,,,,,,,,
C,40,Calibration,Thermal,2.2669,0.1814,946.67,94.67,2377.53,71.33,,,,,,,,,,,,,,,,,,,,,,
C,60,Calibration,Thermal,2.2497,0.18,1181.72,118.17,2368.35,71.05,,,,,,,,,,,,,,,,,,,,,,
C,80,Calibration,Thermal,2.2306,0.1784,1898.57,189.86,2360.32,70.81,,,,,,,,,,,,,,,,,,,,,,
C,100,Calibration,Thermal,2.2093,0.1767,2445.0,244.5,2353.29,70.6,,,,,,,,,,,,,,,,,,,,,,
C,120,Calibration,Thermal,2.1857,0.1749,1914.57,191.46,2347.14,70.41,,,,,,,,,,,,,,,,,,,,,,
C,140,Calibration,Thermal,2.1597,0.1728,1213.72,121.37,2341.75,70.25,,,,,,,,,,,,,,,,,,,,,,
C,160,Calibration,Thermal,2.1312,0.1705,994.68,99.47,2337.04,70.11,,,,,,,,,,,,,,,,,,,,,,
C,180,Calibration,Thermal,2.1001,0.168,975.03,97.5,2332.91,69.99,,,,,,,,,,,,,,,,,,,,,,
C,200,Calibration,Thermal,2.0662,0.1653,980.07,98.01,2329.31,69.88,,,,,,,,,,,,,,,,,,,,,,
C,220,Calibration,Thermal,2.0296,0.1624,986.01,98.6,2326.15,69.78,,,,,,,,,,,,,,,,,,,,,,
C,240,Calibration,Thermal,1.9903,0.1592,992.01,99.2,2323.38,69.7,,,,,,,,,,,,,,,,,,,,,,
C,260,Calibration,Thermal,1.9484,0.1559,999.04,99.9,2320.96,69.63,,,,,,,,,,,,,,,,,,,,,,
C,280,Calibration,Thermal,1.904,0.1523,1009.55,100.95,2318.85,69.57,,,,,,,,,,,,,,,,,,,,,,
C,300,Calibration,Thermal,1.8572,0.1486,1028.78,102.88,2316.99,69.51,,,,,,,,,,,,,,,,,,,,,,
C,320,Calibration,Thermal,1.8084,0.1447,1065.85,106.59,2315.37,69.46,,,,,,,,,,,,,,,,,,,,,,
C,340,Calibration,Thermal,1.7579,0.1406,1132.98,113.3,2313.95,69.42,,,,,,,,,,,,,,,,,,,,,,
C,360,Calibration,Thermal,1.706,0.1365,1240.85,124.09,2312.71,69.38,,,,,,,,,,,,,,,,,,,,,,
C,380,Calibration,Thermal,1.6533,0.1323,1389.83,138.98,2311.62,69.35,,,,,,,,,,,,,,,,,,,,,,
C,400,Calibration,Thermal,1.6,0.128,1561.31,156.13,2310.67,69.32,,,,,,,,,,,,,,,,,,,,,,
C,420,Calibration,Thermal,1.5467,0.1237,1716.85,171.69,2309.84,69.3,,,,,,,,,,,,,,,,,,,,,,
C,440,Calibration,Thermal,1.494,0.1195,1810.8,181.08,2309.11,69.27,,,,,,,,,,,,,,,,,,,,,,
C,460,Calibration,Thermal,1.4421,0.1154,1811.8,181.18,2308.47,69.25,,,,,,,,,,,,,,,,,,,,,,
C,480,Calibration,Thermal,1.3916,0.1113,1719.85,171.99,2307.91,69.24,,,,,,,,,,,,,,,,,,,,,,
C,500,Calibration,Thermal,1.3428,0.1074,1566.31,156.63,2307.42,69.22,,,,,,,,,,,,,,,,,,,,,,
C,520,Calibration,Thermal,1.296,0.1037,1396.83,139.68,2307.0,69.21,,,,,,,,,,,,,,,,,,,,,,
C,540,Calibration,Thermal,1.2516,0.1001,1249.85,124.99,2306.62,69.2,,,,,,,,,,,,,,,,,,,,,,
C,560,Calibration,Thermal,1.2097,0.0968,1143.98,114.4,2306.3,69.19,,,,,,,,,,,,,,,,,,,,,,
C,580,Calibration,Thermal,1.1704,0.0936,1078.85,107.89,2306.01,69.18,,,,,,,,,,,,,,,,,,,,,,
C,600,Calibration,Thermal,1.1338,0.0907,1043.78,104.38,2305.76,69.17,,,,,,,,,,,,,,,,,,,,,,
C,620,Calibration,Thermal,1.0999,0.088,1026.55,102.65,2305.54,69.17,,,,,,,,,,,,,,,,,,,,,,
C,640,Calibration,Thermal,1.0688,0.0855,1018.04,101.8,2305.35,69.16,,,,,,,,,,,,,,,,,,,,,,
C,660,Calibration,Thermal,1.0403,0.0832,1013.01,101.3,2305.18,69.16,,,,,,,,,,,,,,,,,,,,,,
C,680,Calibration,Thermal,1.0143,0.0811,1009.01,100.9,2305.03,69.15,,,,,,,,,,,,,,,,,,,,,,
C,700,Calibration,Thermal,0.9907,0.0793,1005.05,100.5,2304.9,69.15,,,,,,,,,,,,,,,,,,,,,,
C,720,Calibration,Thermal,0.9694,0.0776,1000.81,100.08,2304.79,69.14,,,,,,,,,,,,,,,,,,,,,,
C,740,Calibration,Thermal,0.9503,0.076,996.2,99.62,2304.69,69.14,,,,,,,,,,,,,,,,,,,,,,
C,760,Calibration,Thermal,0.9331,0.0746,991.2,99.12,2304.61,69.14,,,,,,,,,,,,,,,,,,,,,,
C,780,Calibration,Thermal,0.9177,0.0734,985.8,98.58,2304.53,69.14,,,,,,,,,,,,,,,,,,,,,,
C,800,Calibration,Thermal,0.904,0.0723,980.0,98.0,2304.46,69.13,,,,,,,,,,,,,,,,,,,,,,
C,20,Validation,Thermal,2.0992,0.1679,837.94,83.79,2196.45,65.89,,,,,,,,,,,,,,,,,,,,,,
C,40,Validation,Thermal,2.0851,0.1668,870.73,87.07,2186.8,65.6,,,,,,,,,,,,,,,,,,,,,,
C,60,Validation,Thermal,2.0693,0.1655,1086.92,108.69,2178.36,65.35,,,,,,,,,,,,,,,,,,,,,,
C,80,Validation,Thermal,2.0516,0.1641,1746.27,174.63,2170.97,65.13,,,,,,,,,,,,,,,,,,,,,,
C,100,Validation,Thermal,2.032,0.1626,2248.86,224.89,2164.5,64.94,,,,,,,,,,,,,,,,,,,,,,
C,120,Validation,Thermal,2.0104,0.1608,1760.98,176.1,2158.85,64.77,,,,,,,,,,,,,,,,,,,,,,
C,140,Validation,Thermal,1.9865,0.1589,1116.35,111.64,2153.89,64.62,,,,,,,,,,,,,,,,,,,,,,
C,160,Validation,Thermal,1.9603,0.1568,914.88,91.49,2149.56,64.49,,,,,,,,,,,,,,,,,,,,,,
C,180,Validation,Thermal,1.9316,0.1545,896.81,89.68,2145.77,64.37,,,,,,,,,,,,,,,,,,,,,,
C,200,Validation,Thermal,1.9005,0.152,901.45,90.14,2142.45,64.27,,,,,,,,,,,,,,,,,,,,,,
C,220,Validation,Thermal,1.8668,0.1493,906.91,90.69,2139.54,64.19,,,,,,,,,,,,,,,,,,,,,,
C,240,Validation,Thermal,1.8307,0.1465,912.43,91.24,2137.0,64.11,,,,,,,,,,,,,,,,,,,,,,
C,260,Validation,Thermal,1.7921,0.1434,918.9,91.89,2134.77,64.04,,,,,,,,,,,,,,,,,,,,,,
C,280,Validation,Thermal,1.7512,0.1401,928.56,92.86,2132.83,63.98,,,,,,,,,,,,,,,,,,,,,,
C,300,Validation,Thermal,1.7082,0.1367,946.25,94.63,2131.12,63.93,,,,,,,,,,,,,,,,,,,,,,
C,320,Validation,Thermal,1.6633,0.1331,980.35,98.03,2129.63,63.89,,,,,,,,,,,,,,,,,,,,,,
C,340,Validation,Thermal,1.6169,0.1294,1042.09,104.21,2128.32,63.85,,,,,,,,,,,,,,,,,,,,,,
C,360,Validation,Thermal,1.5692,0.1255,1141.31,114.13,2127.18,63.82,,,,,,,,,,,,,,,,,,,,,,
C,380,Validation,Thermal,1.5206,0.1217,1278.34,127.83,2126.18,63.79,,,,,,,,,,,,,,,,,,,,,,
C,400,Validation,Thermal,1.4716,0.1177,1436.06,143.61,2125.31,63.76,,,,,,,,,,,,,,,,,,,,,,
C,420,Validation,Thermal,1.4227,0.1138,1579.12,157.91,2124.54,63.74,,,,,,,,,,,,,,,,,,,,,,
C,440,Validation,Thermal,1.3741,0.1099,1665.53,166.55,2123.87,63.72,,,,,,,,,,,,,,,,,,,,,,
C,460,Validation,Thermal,1.3264,0.1061,1666.45,166.65,2123.28,63.7,,,,,,,,,,,,,,,,,,,,,,
C,480,Validation,Thermal,1.2799,0.1024,1581.88,158.19,2122.77,63.68,,,,,,,,,,,,,,,,,,,,,,
C,500,Validation,Thermal,1.2351,0.0988,1440.66,144.07,2122.32,63.67,,,,,,,,,,,,,,,,,,,,,,
C,520,Validation,Thermal,1.1921,0.0954,1284.78,128.48,2121.93,63.66,,,,,,,,,,,,,,,,,,,,,,
C,540,Validation,Thermal,1.1512,0.0921,1149.59,114.96,2121.58,63.65,,,,,,,,,,,,,,,,,,,,,,
C,560,Validation,Thermal,1.1126,0.089,1052.21,105.22,2121.28,63.64,,,,,,,,,,,,,,,,,,,,,,
C,580,Validation,Thermal,1.0765,0.0861,992.31,99.23,2121.02,63.63,,,,,,,,,,,,,,,,,,,,,,
C,600,Validation,Thermal,1.0428,0.0834,960.05,96.01,2120.79,63.62,,,,,,,,,,,,,,,,,,,,,,
C,620,Validation,Thermal,1.0117,0.0809,944.2,94.42,2120.59,63.62,,,,,,,,,,,,,,,,,,,,,,
C,640,Validation,Thermal,0.983,0.0786,936.37,93.64,2120.41,63.61,,,,,,,,,,,,,,,,,,,,,,
C,660,Validation,Thermal,0.9568,0.0765,931.75,93.17,2120.25,63.61,,,,,,,,,,,,,,,,,,,,,,
C,680,Validation,Thermal,0.9329,0.0746,928.06,92.81,2120.12,63.6,,,,,,,,,,,,,,,,,,,,,,
C,700,Validation,Thermal,0.9112,0.0729,924.42,92.44,2120.0,63.6,,,,,,,,,,,,,,,,,,,,,,
C,720,Validation,Thermal,0.8917,0.0713,920.52,92.05,2119.9,63.6,,,,,,,,,,,,,,,,,,,,,,
C,740,Validation,Thermal,0.874,0.0699,916.29,91.63,2119.81,63.59,,,,,,,,,,,,,,,,,,,,,,
C,760,Validation,Thermal,0.8582,0.0687,911.69,91.17,2119.73,63.59,,,,,,,,,,,,,,,,,,,,,,
