Mix_ID,Temperature_C,Data_Type,Property_Type,Creep_Coefficient,Creep_Coefficient_Std,Shrinkage_Strain,Shrinkage_Strain_Std,Thermal_Strain,Thermal_Strain_Std,Creep_Modulus_GPa,Creep_Modulus_Std
C,20.0,Calibration,Deformation,2.0,0.3,0.0003,5.9999999999999995e-05,0.0,0.0,30.0,5.3999999999999995
C,25.0,Calibration,Deformation,2.005128205128205,0.30076923076923073,0.0003011538461538461,6.023076923076923e-05,6e-05,6e-06,29.903846153846153,5.382692307692308
C,30.0,Calibration,Deformation,2.01025641025641,0.30153846153846153,0.00030230769230769227,6.0461538461538456e-05,0.00012,1.2e-05,29.807692307692307,5.365384615384615
C,35.0,Calibration,Deformation,2.0153846153846153,0.3023076923076923,0.0003034615384615384,6.069230769230769e-05,0.00018,1.8e-05,29.711538461538463,5.348076923076923
C,40.0,Calibration,Deformation,2.0205128205128204,0.3030769230769231,0.00030461538461538457,6.0923076923076916e-05,0.00024,2.4e-05,29.615384615384617,5.3307692307692305
C,45.0,Calibration,Deformation,2.0256410256410255,0.3038461538461538,0.0003057692307692307,6.115384615384614e-05,0.00030000000000000003,3.0000000000000004e-05,29.51923076923077,5.313461538461539
C,50.0,Calibration,Deformation,2.0307692307692307,0.30461538461538457,0.00030692307692307686,6.138461538461537e-05,0.00036,3.6e-05,29.423076923076923,5.296153846153846
C,55.0,Calibration,Deformation,2.0358974358974358,0.30538461538461537,0.000308076923076923,6.161538461538461e-05,0.00042,4.2000000000000004e-05,29.326923076923077,5.278846153846153
C,60.0,Calibration,Deformation,2.041025641025641,0.3061538461538461,0.00030923076923076916,6.184615384615384e-05,0.00048,4.8e-05,29.23076923076923,5.2615384615384615
C,65.0,Calibration,Deformation,2.046153846153846,0.3069230769230769,0.00031038461538461536,6.207692307692308e-05,0.00054,5.4000000000000005e-05,29.134615384615383,5.244230769230769
C,70.0,Validation,Deformation,2.051282051282051,0.30769230769230765,0.0003115384615384615,6.23076923076923e-05,0.0006000000000000001,6.000000000000001e-05,29.03846153846154,5.226923076923077
C,75.0,Calibration,Deformation,2.056410256410256,0.3084615384615384,0.00031269230769230766,6.253846153846153e-05,0.00066,6.6e-05,28.942307692307693,5.209615384615384
C,80.0,Calibration,Deformation,2.0615384615384613,0.3092307692307692,0.0003138461538461538,6.276923076923076e-05,0.00072,7.2e-05,28.846153846153847,5.1923076923076925
C,85.0,Validation,Deformation,2.066666666666667,0.31,0.00031499999999999996,6.3e-05,0.00078,7.8e-05,28.75,5.175
C,90.0,Validation,Deformation,2.071794871794872,0.3107692307692308,0.00031615384615384616,6.323076923076924e-05,0.00084,8.400000000000001e-05,28.653846153846157,5.157692307692308
C,95.0,Validation,Deformation,2.076923076923077,0.31153846153846154,0.0003173076923076923,6.346153846153847e-05,0.0009,9e-05,28.557692307692307,5.140384615384615
C,100.0,Calibration,Deformation,2.082051282051282,0.31230769230769234,0.00031846153846153846,6.36923076923077e-05,0.00096,9.6e-05,28.46153846153846,5.123076923076923
C,105.0,Calibration,Deformation,2.0871794871794873,0.3130769230769231,0.0003196153846153846,6.392307692307692e-05,0.00102,0.00010200000000000001,28.365384615384613,5.10576923076923
C,110.0,Validation,Deformation,2.0923076923076924,0.31384615384615383,0.00032076923076923076,6.415384615384615e-05,0.00108,0.00010800000000000001,28.26923076923077,5.088461538461538
C,115.0,Validation,Deformation,2.0974358974358975,0.31461538461538463,0.0003219230769230769,6.438461538461539e-05,0.00114,0.000114,28.173076923076923,5.071153846153846
C,120.0,Calibration,Deformation,2.1025641025641026,0.3153846153846154,0.00032307692307692305,6.461538461538462e-05,0.0012000000000000001,0.00012000000000000002,28.076923076923077,5.053846153846154
C,125.0,Validation,Deformation,2.1076923076923078,0.3161538461538462,0.0003242307692307692,6.484615384615384e-05,0.00126,0.000126,27.98076923076923,5.036538461538461
C,130.0,Calibration,Deformation,2.112820512820513,0.3169230769230769,0.00032538461538461535,6.507692307692307e-05,0.00132,0.000132,27.884615384615387,5.019230769230769
C,135.0,Calibration,Deformation,2.117948717948718,0.31769230769230766,0.0003265384615384615,6.53076923076923e-05,0.00138,0.000138,27.78846153846154,5.001923076923077
C,140.0,Calibration,Deformation,2.123076923076923,0.31846153846153846,0.0003276923076923077,6.553846153846154e-05,0.00144,0.000144,27.692307692307693,4.984615384615385
C,145.0,Calibration,Deformation,2.128205128205128,0.3192307692307692,0.00032884615384615385,6.576923076923078e-05,0.0015,0.00015000000000000001,27.596153846153843,4.967307692307692
C,150.0,Calibration,Deformation,2.1333333333333333,0.32,0.00033,6.6e-05,0.00156,0.000156,27.5,4.95
C,155.0,Calibration,Deformation,2.1384615384615384,0.32076923076923075,0.00033115384615384615,6.623076923076923e-05,0.0016200000000000001,0.00016200000000000003,27.403846153846153,4.9326923076923075
C,160.0,Validation,Deformation,2.1435897435897435,0.3215384615384615,0.0003323076923076923,6.646153846153846e-05,0.00168,0.00016800000000000002,27.307692307692307,4.915384615384615
C,165.0,Validation,Deformation,2.1487179487179486,0.3223076923076923,0.00033346153846153844,6.669230769230769e-05,0.00174,0.000174,27.21153846153846,4.898076923076923
C,170.0,Validation,Deformation,2.1538461538461537,0.32307692307692304,0.0003346153846153846,6.692307692307693e-05,0.0018,0.00018,27.115384615384617,4.880769230769231
C,175.0,Calibration,Deformation,2.158974358974359,0.32384615384615384,0.00033576923076923074,6.715384615384615e-05,0.00186,0.00018600000000000002,27.01923076923077,4.8634615384615385
