Mix_ID,Temperature_C,Data_Type,Property_Type,Thermal_Conductivity_W_mK,Thermal_Conductivity_Std,Specific_Heat_J_kgK,Specific_Heat_Std,Thermal_Expansion_1_K,Thermal_Expansion_Std,Density_kg_m3,Density_Std
C,20.0,Validation,Thermal,2.1,0.10500000000000001,900.0,72.0,1.2e-05,1.2000000000000002e-06,2400.0,72.0
C,25.0,Calibration,Thermal,2.0946153846153845,0.10473076923076924,901.7307692307692,72.13846153846154,1.2038461538461538e-05,1.203846153846154e-06,2399.230769230769,71.97692307692307
C,30.0,Validation,Thermal,2.0892307692307694,0.10446153846153848,903.4615384615385,72.27692307692308,1.2076923076923078e-05,1.2076923076923078e-06,2398.4615384615386,71.95384615384616
C,35.0,Calibration,Thermal,2.083846153846154,0.1041923076923077,905.1923076923076,72.41538461538461,1.2115384615384615e-05,1.2115384615384616e-06,2397.6923076923076,71.93076923076923
C,40.0,Calibration,Thermal,2.078461538461539,0.10392307692307695,906.9230769230769,72.55384615384615,1.2153846153846153e-05,1.2153846153846155e-06,2396.923076923077,71.90769230769232
C,45.0,Calibration,Thermal,2.0730769230769233,0.10365384615384617,908.6538461538461,72.6923076923077,1.2192307692307691e-05,1.2192307692307693e-06,2396.153846153846,71.88461538461539
C,50.0,Calibration,Thermal,2.0676923076923077,0.1033846153846154,910.3846153846154,72.83076923076923,1.223076923076923e-05,1.2230769230769231e-06,2395.3846153846152,71.86153846153846
C,55.0,Validation,Thermal,2.062307692307692,0.10311538461538461,912.1153846153845,72.96923076923076,1.2269230769230769e-05,1.226923076923077e-06,2394.6153846153848,71.83846153846154
C,60.0,Calibration,Thermal,2.056923076923077,0.10284615384615386,913.8461538461538,73.1076923076923,1.2307692307692306e-05,1.2307692307692308e-06,2393.846153846154,71.81538461538462
C,65.0,Validation,Thermal,2.0515384615384615,0.10257692307692308,915.576923076923,73.24615384615385,1.2346153846153846e-05,1.2346153846153846e-06,2393.0769230769233,71.7923076923077
C,70.0,Calibration,Thermal,2.046153846153846,0.10230769230769231,917.3076923076923,73.38461538461539,1.2384615384615384e-05,1.2384615384615384e-06,2392.3076923076924,71.76923076923077
C,75.0,Calibration,Thermal,2.040769230769231,0.10203846153846155,919.0384615384614,73.52307692307691,1.2423076923076925e-05,1.2423076923076927e-06,2391.5384615384614,71.74615384615385
C,80.0,Calibration,Thermal,2.0353846153846153,0.10176923076923078,920.7692307692307,73.66153846153846,1.2461538461538463e-05,1.2461538461538463e-06,2390.769230769231,71.72307692307693
C,85.0,Calibration,Thermal,2.0300000000000002,0.10150000000000002,922.4999999999999,73.8,1.25e-05,1.25e-06,2390.0,71.7
C,90.0,Validation,Thermal,2.0246153846153847,0.10123076923076924,924.2307692307692,73.93846153846154,1.253846153846154e-05,1.2538461538461541e-06,2389.230769230769,71.67692307692307
