timestamp,occupancy_ratio,people_count,building_id,building_type
2020-01-01 00:00:00,0.06733191567605695,6,B002,office
2020-01-01 01:00:00,0.0,0,B002,office
2020-01-01 02:00:00,0.01937203031418082,1,B002,office
2020-01-01 03:00:00,0.21437521109744395,21,B002,office
2020-01-01 04:00:00,0.11954424669071163,11,B002,office
2020-01-01 05:00:00,0.0,0,B002,office
2020-01-01 06:00:00,0.08341412539464166,8,B002,office
2020-01-01 07:00:00,0.09524912850578544,9,B002,office
2020-01-01 08:00:00,0.868164363415946,86,B002,office
2020-01-01 09:00:00,0.7136216348336113,71,B002,office
2020-01-01 10:00:00,0.7872677057622766,78,B002,office
2020-01-01 11:00:00,0.8037429001249158,80,B002,office
2020-01-01 12:00:00,0.8847536909874397,88,B002,office
2020-01-01 13:00:00,0.8375069978227527,83,B002,office
2020-01-01 14:00:00,0.8906965583234665,89,B002,office
2020-01-01 15:00:00,1.0,100,B002,office
2020-01-01 16:00:00,0.6671089887263943,66,B002,office
2020-01-01 17:00:00,0.7416228890955994,74,B002,office
2020-01-01 18:00:00,0.7456308631213213,74,B002,office
2020-01-01 19:00:00,0.028903566236528663,2,B002,office
2020-01-01 20:00:00,0.0,0,B002,office
2020-01-01 21:00:00,0.012322862886708488,1,B002,office
2020-01-01 22:00:00,0.1698637581852513,16,B002,office
2020-01-01 23:00:00,0.2025162068433627,20,B002,office
2020-01-02 00:00:00,0.0865563357712,8,B002,office
2020-01-02 01:00:00,0.3296976459212675,32,B002,office
2020-01-02 02:00:00,0.0,0,B002,office
2020-01-02 03:00:00,0.22418333375053515,22,B002,office
2020-01-02 04:00:00,0.02884139134731091,2,B002,office
2020-01-02 05:00:00,0.1260218488642611,12,B002,office
2020-01-02 06:00:00,0.15225955352076084,15,B002,office
2020-01-02 07:00:00,0.1584483795722863,15,B002,office
2020-01-02 08:00:00,0.905292466696915,90,B002,office
2020-01-02 09:00:00,0.8317448090163304,83,B002,office
2020-01-02 10:00:00,0.6485931009718355,64,B002,office
2020-01-02 11:00:00,0.8161352151599519,81,B002,office
2020-01-02 12:00:00,0.831432293291788,83,B002,office
2020-01-02 13:00:00,0.7269403311134576,72,B002,office
2020-01-02 14:00:00,0.8505211772805257,85,B002,office
2020-01-02 15:00:00,0.7740055431616442,77,B002,office
2020-01-02 16:00:00,0.7011247637979963,70,B002,office
2020-01-02 17:00:00,0.6231528514551461,62,B002,office
2020-01-02 18:00:00,0.9349924071181341,93,B002,office
2020-01-02 19:00:00,0.30169331551282585,30,B002,office
2020-01-02 20:00:00,0.09782248330636197,9,B002,office
2020-01-02 21:00:00,0.1768419937321663,17,B002,office
2020-01-02 22:00:00,0.164957721805283,16,B002,office
2020-01-02 23:00:00,0.19294706303411685,19,B002,office
2020-01-03 00:00:00,0.0,0,B002,office
2020-01-03 01:00:00,0.0,0,B002,office
2020-01-03 02:00:00,0.16753246973715025,16,B002,office
2020-01-03 03:00:00,0.024893540730110575,2,B002,office
2020-01-03 04:00:00,0.2070747548659295,20,B002,office
2020-01-03 05:00:00,0.07073965854310374,7,B002,office
2020-01-03 06:00:00,0.1749058527027077,17,B002,office
2020-01-03 07:00:00,0.17121543462261238,17,B002,office
2020-01-03 08:00:00,0.7204108544741852,72,B002,office
2020-01-03 09:00:00,0.728477933258318,72,B002,office
2020-01-03 10:00:00,0.7303218468935775,73,B002,office
2020-01-03 11:00:00,0.5779173238430498,57,B002,office
2020-01-03 12:00:00,0.8521837192426694,85,B002,office
2020-01-03 13:00:00,0.6124413091049901,61,B002,office
2020-01-03 14:00:00,0.8788982963574556,87,B002,office
2020-01-03 15:00:00,0.9454866276766724,94,B002,office
2020-01-03 16:00:00,0.7319951824712408,73,B002,office
2020-01-03 17:00:00,0.59707857325572,59,B002,office
2020-01-03 18:00:00,0.7895835619559483,78,B002,office
2020-01-03 19:00:00,0.20419261089011945,20,B002,office
2020-01-03 20:00:00,0.018289315280813748,1,B002,office
2020-01-03 21:00:00,0.008201307848262576,0,B002,office
2020-01-03 22:00:00,0.11073704223664059,11,B002,office
2020-01-03 23:00:00,0.0070561714095012384,0,B002,office
2020-01-04 00:00:00,0.0,0,B002,office
2020-01-04 01:00:00,0.18208807650980968,18,B002,office
2020-01-04 02:00:00,0.22309770290428502,22,B002,office
2020-01-04 03:00:00,0.1594912632618245,15,B002,office
2020-01-04 04:00:00,0.1904056320260405,19,B002,office
2020-01-04 05:00:00,0.030894634052941336,3,B002,office
2020-01-04 06:00:00,0.0,0,B002,office
2020-01-04 07:00:00,0.0006574472647222218,0,B002,office
2020-01-04 08:00:00,0.0,0,B002,office
2020-01-04 09:00:00,0.16094284476986617,16,B002,office
2020-01-04 10:00:00,0.15983792302835562,15,B002,office
2020-01-04 11:00:00,0.12069823206242179,12,B002,office
2020-01-04 12:00:00,0.046211023038958354,4,B002,office
2020-01-04 13:00:00,0.1323863504065667,13,B002,office
2020-01-04 14:00:00,0.10858676994177485,10,B002,office
2020-01-04 15:00:00,0.0,0,B002,office
2020-01-04 16:00:00,0.09013434654950113,9,B002,office
2020-01-04 17:00:00,0.13365873214765447,13,B002,office
2020-01-04 18:00:00,0.0,0,B002,office
2020-01-04 19:00:00,0.0,0,B002,office
2020-01-04 20:00:00,0.1026526425638634,10,B002,office
