cycle_idx,phase,temperature_C,epsilon_xx,epsilon_yy,epsilon_xy,hotspot
1,heating,200.0,0.001000,0.001000,0.000000,0
1,heating,204.0,0.001040,0.001030,0.000030,0
1,heating,208.0,0.001080,0.001060,0.000060,0
1,heating,212.0,0.001120,0.001090,0.000089,0
1,heating,216.0,0.001160,0.001120,0.000117,0
1,heating,220.0,0.001200,0.001150,0.000144,0
1,heating,224.0,0.001240,0.001180,0.000169,0
1,heating,228.0,0.001280,0.001210,0.000193,0
1,heating,232.0,0.001320,0.001240,0.000215,0
1,heating,236.0,0.001360,0.001270,0.000235,0
1,heating,240.0,0.001400,0.001300,0.000252,0
1,heating,244.0,0.001440,0.001330,0.000267,0
1,heating,248.0,0.001480,0.001360,0.000280,0
1,heating,252.0,0.001520,0.001390,0.000289,0
1,heating,256.0,0.001560,0.001420,0.000296,0
1,heating,260.0,0.001600,0.001450,0.000299,0
1,heating,264.0,0.001640,0.001480,0.000300,0
1,heating,268.0,0.001680,0.001510,0.000297,0
1,heating,272.0,0.001720,0.001540,0.000292,0
1,heating,276.0,0.001760,0.001570,0.000284,0
1,heating,280.0,0.001800,0.001600,0.000273,0
1,heating,284.0,0.001840,0.001630,0.000259,0
1,heating,288.0,0.001880,0.001660,0.000243,0
1,heating,292.0,0.001920,0.001690,0.000224,0
1,heating,296.0,0.001960,0.001720,0.000203,0
1,heating,300.0,0.002000,0.001750,0.000180,0
1,heating,304.0,0.002040,0.001780,0.000155,0
1,heating,308.0,0.002080,0.001810,0.000128,0
1,heating,312.0,0.002120,0.001840,0.000100,0
1,heating,316.0,0.002160,0.001870,0.000072,0
1,heating,320.0,0.002200,0.001900,0.000042,0
1,heating,324.0,0.002240,0.001930,0.000012,0
1,heating,328.0,0.002280,0.001960,-0.000018,0
1,heating,332.0,0.002320,0.001990,-0.000047,0
1,heating,336.0,0.002360,0.002020,-0.000077,0
1,heating,340.0,0.002400,0.002050,-0.000105,0
1,heating,344.0,0.002440,0.002080,-0.000133,0
1,heating,348.0,0.002480,0.002110,-0.000159,0
1,heating,352.0,0.002520,0.002140,-0.000184,0
1,heating,356.0,0.002560,0.002170,-0.000206,0
1,heating,360.0,0.002600,0.002200,-0.000227,0
1,heating,364.0,0.002640,0.002230,-0.000245,0
1,heating,368.0,0.002680,0.002260,-0.000261,0
1,heating,372.0,0.002720,0.002290,-0.000275,0
1,heating,376.0,0.002760,0.002320,-0.000285,0
1,heating,380.0,0.002800,0.002350,-0.000293,0
1,heating,384.0,0.002840,0.002380,-0.000298,0
1,heating,388.0,0.002880,0.002410,-0.000300,0
1,heating,392.0,0.002920,0.002440,-0.000299,0
1,heating,396.0,0.002960,0.002470,-0.000295,0
1,heating,400.0,0.003000,0.002500,-0.000288,0
1,heating,404.0,0.003040,0.002530,-0.000278,0
1,heating,408.0,0.003080,0.002560,-0.000265,0
1,heating,412.0,0.003120,0.002590,-0.000250,0
