timestamp_s,temperature_C,epsilon_xx,epsilon_yy,epsilon_xy,hotspot
0,1200.0,0.002000,0.003000,0.000000,0
1,1200.5,0.002033,0.003000,0.000010,0
2,1201.0,0.002067,0.002999,0.000020,0
3,1201.5,0.002100,0.002997,0.000030,0
4,1202.0,0.002133,0.002995,0.000040,0
5,1202.5,0.002166,0.002992,0.000050,0
6,1203.0,0.002199,0.002989,0.000060,0
7,1203.5,0.002231,0.002985,0.000070,0
8,1204.0,0.002264,0.002980,0.000080,0
9,1204.5,0.002296,0.002975,0.000090,0
10,1205.0,0.002327,0.002969,0.000099,0
11,1205.5,0.002359,0.002962,0.000109,0
12,1206.0,0.002389,0.002955,0.000119,0
13,1206.5,0.002420,0.002948,0.000129,0
14,1207.0,0.002450,0.002939,0.000138,0
15,1207.5,0.002479,0.002931,0.000148,0
16,1208.0,0.002508,0.002921,0.000157,0
17,1208.5,0.002537,0.002911,0.000167,0
18,1209.0,0.002565,0.002900,0.000176,0
19,1209.5,0.002592,0.002889,0.000185,0
20,1210.0,0.002618,0.002878,0.000195,0
21,1210.5,0.002644,0.002865,0.000204,0
22,1211.0,0.002669,0.002853,0.000213,0
23,1211.5,0.002694,0.002839,0.000222,0
24,1212.0,0.002717,0.002825,0.000231,0
25,1212.5,0.002740,0.002811,0.000240,0
26,1213.0,0.002762,0.002796,0.000248,0
27,1213.5,0.002783,0.002781,0.000257,0
28,1214.0,0.002804,0.002765,0.000266,0
29,1214.5,0.002823,0.002748,0.000274,0
30,1215.0,0.002841,0.002732,0.000282,0
31,1215.5,0.002859,0.002714,0.000291,0
32,1216.0,0.002876,0.002697,0.000299,0
33,1216.5,0.002891,0.002679,0.000307,0
34,1217.0,0.002906,0.002660,0.000314,0
35,1217.5,0.002919,0.002641,0.000322,0
36,1218.0,0.002932,0.002622,0.000330,0
37,1218.5,0.002944,0.002602,0.000337,0
38,1219.0,0.002954,0.002582,0.000344,0
39,1219.5,0.002964,0.002561,0.000352,0
40,1220.0,0.002972,0.002540,0.000359,0
41,1220.5,0.002979,0.002519,0.000366,0
42,1221.0,0.002985,0.002498,0.000372,0
43,1221.5,0.002991,0.002476,0.000379,0
44,1222.0,0.002995,0.002454,0.000385,0
45,1222.5,0.002997,0.002431,0.000392,0
46,1223.0,0.002999,0.002408,0.000398,0
47,1223.5,0.003000,0.002386,0.000404,0
48,1224.0,0.003000,0.002362,0.000410,0
49,1224.5,0.002998,0.002339,0.000415,0
50,1225.0,0.002995,0.002315,0.000421,0
51,1225.5,0.002992,0.002292,0.000426,0
52,1226.0,0.002987,0.002267,0.000431,0
53,1226.5,0.002981,0.002243,0.000436,0
