Material,Temperature_C,Relative_Density,Youngs_Modulus_GPa,Poissons_Ratio,Measurement_Method
Ni-YSZ,25,0.60,28.5,0.28,Nanoindentation
Ni-YSZ,25,0.70,52.8,0.27,Nanoindentation
Ni-YSZ,25,0.80,85.2,0.26,Nanoindentation
Ni-YSZ,25,0.90,125.5,0.25,Nanoindentation
Ni-YSZ,25,0.98,168.2,0.24,Nanoindentation
Ni-YSZ,400,0.60,26.8,0.28,RUS
Ni-YSZ,400,0.70,49.6,0.27,RUS
Ni-YSZ,400,0.80,80.1,0.26,RUS
Ni-YSZ,400,0.90,117.8,0.25,RUS
Ni-YSZ,400,0.98,157.8,0.24,RUS
Ni-YSZ,800,0.60,24.2,0.29,RUS
Ni-YSZ,800,0.70,44.8,0.28,RUS
Ni-YSZ,800,0.80,72.3,0.27,RUS
Ni-YSZ,800,0.90,106.5,0.26,RUS
Ni-YSZ,800,0.98,142.6,0.25,RUS
Ni-YSZ,1000,0.60,21.8,0.30,RUS
Ni-YSZ,1000,0.70,40.4,0.29,RUS
Ni-YSZ,1000,0.80,65.2,0.28,RUS
Ni-YSZ,1000,0.90,96.0,0.27,RUS
Ni-YSZ,1000,0.98,128.5,0.26,RUS
Ni-YSZ,1200,0.60,18.5,0.31,RUS
Ni-YSZ,1200,0.70,34.2,0.30,RUS
Ni-YSZ,1200,0.80,55.2,0.29,RUS
Ni-YSZ,1200,0.90,81.3,0.28,RUS
Ni-YSZ,1200,0.98,108.9,0.27,RUS
Ni-YSZ,1400,0.60,14.8,0.32,RUS
Ni-YSZ,1400,0.70,27.4,0.31,RUS
Ni-YSZ,1400,0.80,44.2,0.30,RUS
Ni-YSZ,1400,0.90,65.0,0.29,RUS
Ni-YSZ,1400,0.98,87.1,0.28,RUS
8YSZ,25,0.55,42.5,0.30,Nanoindentation
8YSZ,25,0.68,78.2,0.29,Nanoindentation
8YSZ,25,0.80,125.8,0.28,Nanoindentation
8YSZ,25,0.90,175.5,0.27,Nanoindentation
8YSZ,25,0.99,215.2,0.26,Nanoindentation
8YSZ,400,0.55,40.2,0.30,RUS
8YSZ,400,0.68,73.9,0.29,RUS
8YSZ,400,0.80,118.8,0.28,RUS
8YSZ,400,0.90,165.7,0.27,RUS
8YSZ,400,0.99,203.2,0.26,RUS
8YSZ,800,0.55,36.8,0.31,RUS
8YSZ,800,0.68,67.7,0.30,RUS
8YSZ,800,0.80,108.8,0.29,RUS
8YSZ,800,0.90,151.7,0.28,RUS
8YSZ,800,0.99,186.1,0.27,RUS
8YSZ,1000,0.55,34.0,0.32,RUS
8YSZ,1000,0.68,62.5,0.31,RUS
8YSZ,1000,0.80,100.5,0.30,RUS
8YSZ,1000,0.90,140.1,0.29,RUS
8YSZ,1000,0.99,171.8,0.28,RUS
8YSZ,1200,0.55,30.6,0.33,RUS
8YSZ,1200,0.68,56.3,0.32,RUS
8YSZ,1200,0.80,90.5,0.31,RUS
8YSZ,1200,0.90,126.2,0.30,RUS
8YSZ,1200,0.99,154.8,0.29,RUS
8YSZ,1400,0.55,26.5,0.34,RUS
8YSZ,1400,0.68,48.8,0.33,RUS
8YSZ,1400,0.80,78.4,0.32,RUS
8YSZ,1400,0.90,109.3,0.31,RUS
8YSZ,1400,0.99,134.1,0.30,RUS
LSM-YSZ,25,0.54,32.8,0.29,Nanoindentation
LSM-YSZ,25,0.64,58.5,0.28,Nanoindentation
LSM-YSZ,25,0.78,98.2,0.27,Nanoindentation
LSM-YSZ,25,0.88,142.5,0.26,Nanoindentation
LSM-YSZ,25,0.95,175.8,0.25,Nanoindentation
LSM-YSZ,400,0.54,30.8,0.29,RUS
LSM-YSZ,400,0.64,55.0,0.28,RUS
LSM-YSZ,400,0.78,92.3,0.27,RUS
LSM-YSZ,400,0.88,133.9,0.26,RUS
LSM-YSZ,400,0.95,165.2,0.25,RUS
LSM-YSZ,800,0.54,27.9,0.30,RUS
LSM-YSZ,800,0.64,49.8,0.29,RUS
LSM-YSZ,800,0.78,83.6,0.28,RUS
LSM-YSZ,800,0.88,121.3,0.27,RUS
LSM-YSZ,800,0.95,149.6,0.26,RUS
LSM-YSZ,1000,0.54,25.2,0.31,RUS
LSM-YSZ,1000,0.64,45.0,0.30,RUS
LSM-YSZ,1000,0.78,75.5,0.29,RUS
LSM-YSZ,1000,0.88,109.6,0.28,RUS
LSM-YSZ,1000,0.95,135.2,0.27,RUS
LSM-YSZ,1200,0.54,21.8,0.32,RUS
LSM-YSZ,1200,0.64,38.9,0.31,RUS
LSM-YSZ,1200,0.78,65.3,0.30,RUS
LSM-YSZ,1200,0.88,94.7,0.29,RUS
LSM-YSZ,1200,0.95,116.8,0.28,RUS
LSM-YSZ,1300,0.54,18.5,0.33,RUS
LSM-YSZ,1300,0.64,33.0,0.32,RUS
LSM-YSZ,1300,0.78,55.4,0.31,RUS
LSM-YSZ,1300,0.88,80.4,0.30,RUS
LSM-YSZ,1300,0.95,99.2,0.29,RUS
